qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9546:phnJ:HGG68_RS23410|2b84de5415a5ca9477dbe99a5510e5bf_9546	NZ_QOYG01000022.1	94.444	846	47	0	1	846	61676	60831	0.0	1303	67964	NZ_QOYG01000022.1
ECOR11_PROKKA|ECOR11_00066:phnJ:ECOR11_00066|ECOR11_00066	NZ_QOYG01000022.1	96.927	846	26	0	1	846	61676	60831	0.0	1419	67964	NZ_QOYG01000022.1
ECOR14_PROKKA|ECOR14_00369:phnJ:ECOR14_00369|ECOR14_00369	NZ_QOYG01000022.1	97.045	846	25	0	1	846	61676	60831	0.0	1424	67964	NZ_QOYG01000022.1
ECOR16_PROKKA|ECOR16_01124:phnJ:ECOR16_01124|ECOR16_01124	NZ_QOYG01000022.1	96.927	846	26	0	1	846	61676	60831	0.0	1419	67964	NZ_QOYG01000022.1
ECOR23_PROKKA|ECOR23_04133:-:ECOR23_04133|ECOR23_04133	NZ_QOYG01000022.1	94.444	846	47	0	1	846	61676	60831	0.0	1303	67964	NZ_QOYG01000022.1
ECOR44_PROKKA|ECOR44_02399:-:ECOR44_02399|ECOR44_02399	NZ_QOYG01000022.1	100.000	846	0	0	1	846	61676	60831	0.0	1563	67964	NZ_QOYG01000022.1
ECOR48_PROKKA|ECOR48_04329:-:ECOR48_04329|ECOR48_04329	NZ_QOYG01000022.1	98.582	846	12	0	1	846	61676	60831	0.0	1496	67964	NZ_QOYG01000022.1
ECOR49_PROKKA|ECOR49_02700:-:ECOR49_02700|ECOR49_02700	NZ_QOYG01000022.1	97.991	846	17	0	1	846	61676	60831	0.0	1469	67964	NZ_QOYG01000022.1
ECOR4_PROKKA|ECOR4_02747:-:ECOR4_02747|ECOR4_02747	NZ_QOYG01000022.1	97.636	846	20	0	1	846	61676	60831	0.0	1452	67964	NZ_QOYG01000022.1
ECOR50_PROKKA|ECOR50_02046:-:ECOR50_02046|ECOR50_02046	NZ_QOYG01000022.1	97.991	846	17	0	1	846	61676	60831	0.0	1469	67964	NZ_QOYG01000022.1
ECOR51_PROKKA|ECOR51_04428:-:ECOR51_04428|ECOR51_04428	NZ_QOYG01000022.1	94.444	846	47	0	1	846	61676	60831	0.0	1303	67964	NZ_QOYG01000022.1
ECOR52_PROKKA|ECOR52_04141:-:ECOR52_04141|ECOR52_04141	NZ_QOYG01000022.1	94.444	846	47	0	1	846	61676	60831	0.0	1303	67964	NZ_QOYG01000022.1
