qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_4037:ynjF:HGG68_RS09885|2b84de5415a5ca9477dbe99a5510e5bf_4037	NZ_QOYG01000001.1	93.559	621	40	0	1	621	259743	259123	0.0	926	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_03383:ynjF:ECOR11_03383|ECOR11_03383	NZ_QOYG01000001.1	97.424	621	16	0	1	621	259743	259123	0.0	1059	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_02588:ynjF:ECOR14_02588|ECOR14_02588	NZ_QOYG01000001.1	97.424	621	16	0	1	621	259743	259123	0.0	1059	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_01230:ynjF:ECOR16_01230|ECOR16_01230	NZ_QOYG01000001.1	93.559	621	40	0	1	621	259743	259123	0.0	926	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02304:-:ECOR23_02304|ECOR23_02304	NZ_QOYG01000001.1	93.559	621	40	0	1	621	259743	259123	0.0	926	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_02706:-:ECOR44_02706|ECOR44_02706	NZ_QOYG01000001.1	90.660	621	58	0	1	621	259743	259123	0.0	826	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_00707:-:ECOR49_00707|ECOR49_00707	NZ_QOYG01000001.1	98.390	621	10	0	1	621	259743	259123	0.0	1092	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_02957:-:ECOR4_02957|ECOR4_02957	NZ_QOYG01000001.1	92.432	621	47	0	1	621	259743	259123	0.0	887	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01474:-:ECOR50_01474|ECOR50_01474	NZ_QOYG01000001.1	98.390	621	10	0	1	621	259743	259123	0.0	1092	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02434:-:ECOR51_02434|ECOR51_02434	NZ_QOYG01000001.1	93.559	621	40	0	1	621	259743	259123	0.0	926	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01403:-:ECOR52_01403|ECOR52_01403	NZ_QOYG01000001.1	93.559	621	40	0	1	621	259743	259123	0.0	926	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02474:-:ECOR53_02474|ECOR53_02474	NZ_QOYG01000001.1	93.076	621	43	0	1	621	259743	259123	0.0	909	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02184:-:ECOR54_02184|ECOR54_02184	NZ_QOYG01000001.1	93.559	621	40	0	1	621	259743	259123	0.0	926	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_03853:-:ECOR55_03853|ECOR55_03853	NZ_QOYG01000001.1	93.559	621	40	0	1	621	259743	259123	0.0	926	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_03337:-:ECOR56_03337|ECOR56_03337	NZ_QOYG01000001.1	93.559	621	40	0	1	621	259743	259123	0.0	926	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_03463:-:ECOR60_03463|ECOR60_03463	NZ_QOYG01000001.1	93.076	621	43	0	1	621	259743	259123	0.0	909	782163	NZ_QOYG01000001.1
ECOR61_PROKKA|ECOR61_00999:-:ECOR61_00999|ECOR61_00999	NZ_QOYG01000001.1	92.926	622	42	2	1	621	259743	259123	0.0	904	782163	NZ_QOYG01000001.1
ECOR62_PROKKA|ECOR62_03054:-:ECOR62_03054|ECOR62_03054	NZ_QOYG01000001.1	92.926	622	42	2	1	621	259743	259123	0.0	904	782163	NZ_QOYG01000001.1
ECOR64_PROKKA|ECOR64_04257:-:ECOR64_04257|ECOR64_04257	NZ_QOYG01000001.1	93.237	621	42	0	1	621	259743	259123	0.0	915	782163	NZ_QOYG01000001.1
ECOR66_PROKKA|ECOR66_03448:-:ECOR66_03448|ECOR66_03448	NZ_QOYG01000001.1	93.398	621	41	0	1	621	259743	259123	0.0	920	782163	NZ_QOYG01000001.1
ECOR6_PROKKA|ECOR6_02473:-:ECOR6_02473|ECOR6_02473	NZ_QOYG01000001.1	97.101	621	18	0	1	621	259743	259123	0.0	1048	782163	NZ_QOYG01000001.1
ECOR8_PROKKA|ECOR8_01332:-:ECOR8_01332|ECOR8_01332	NZ_QOYG01000001.1	97.424	621	16	0	1	621	259743	259123	0.0	1059	782163	NZ_QOYG01000001.1
KE21|HKKLMMAK_00419:ynjF:HKKLMMAK_00419|HKKLMMAK_00419	NZ_QOYG01000001.1	93.398	621	41	0	1	621	259743	259123	0.0	920	782163	NZ_QOYG01000001.1
KE24|FLBELDDJ_03981:ynjF:FLBELDDJ_03981|FLBELDDJ_03981	NZ_QOYG01000001.1	93.237	621	42	0	1	621	259743	259123	0.0	915	782163	NZ_QOYG01000001.1
KE25|NKLEEENC_04862:ynjF:NKLEEENC_04862|NKLEEENC_04862	NZ_QOYG01000001.1	93.398	621	41	0	1	621	259743	259123	0.0	920	782163	NZ_QOYG01000001.1
KE26|AFHKKBMH_02473:ynjF:AFHKKBMH_02473|AFHKKBMH_02473	NZ_QOYG01000001.1	93.398	621	41	0	1	621	259743	259123	0.0	920	782163	NZ_QOYG01000001.1
KE4|NBLHDMPF_01729:ynjF:NBLHDMPF_01729|NBLHDMPF_01729	NZ_QOYG01000001.1	93.076	621	43	0	1	621	259743	259123	0.0	909	782163	NZ_QOYG01000001.1
KE40|EEHHMH_13895:ynjF:EEHHMH_13895|EEHHMH_13895	NZ_QOYG01000001.1	100.000	621	0	0	1	621	259743	259123	0.0	1147	782163	NZ_QOYG01000001.1
KE41|PNKGMM_15230:pgsA:PNKGMM_15230|PNKGMM_15230	NZ_QOYG01000001.1	93.237	621	42	0	1	621	259743	259123	0.0	915	782163	NZ_QOYG01000001.1
KE46|DADKIG_10335:ynjF:DADKIG_10335|DADKIG_10335	NZ_QOYG01000001.1	97.101	621	18	0	1	621	259743	259123	0.0	1048	782163	NZ_QOYG01000001.1
KE47|NHFOKF_22655:ynjF:NHFOKF_22655|NHFOKF_22655	NZ_QOYG01000001.1	100.000	621	0	0	1	621	259743	259123	0.0	1147	782163	NZ_QOYG01000001.1
KE48_PROKKA|KE48_04069:ynjF:KE48_04069|KE48_04069	NZ_QOYG01000001.1	93.559	621	40	0	1	621	259743	259123	0.0	926	782163	NZ_QOYG01000001.1
KE50|OOFCCB_16985:ynjF:OOFCCB_16985|OOFCCB_16985	NZ_QOYG01000001.1	93.398	621	41	0	1	621	259743	259123	0.0	920	782163	NZ_QOYG01000001.1
KE51|BHDFJC_15490:ynjF:BHDFJC_15490|BHDFJC_15490	NZ_QOYG01000001.1	93.559	621	40	0	1	621	259743	259123	0.0	926	782163	NZ_QOYG01000001.1
KE54|NBPOCE_04155:ynjF:NBPOCE_04155|NBPOCE_04155	NZ_QOYG01000001.1	93.398	621	41	0	1	621	259743	259123	0.0	920	782163	NZ_QOYG01000001.1
KE55|HDLJKA_10460:ynjF:HDLJKA_10460|HDLJKA_10460	NZ_QOYG01000001.1	92.271	621	48	0	1	621	259743	259123	0.0	881	782163	NZ_QOYG01000001.1
KE58|FKGHDH_10665:ynjF:FKGHDH_10665|FKGHDH_10665	NZ_QOYG01000001.1	97.424	621	16	0	1	621	259743	259123	0.0	1059	782163	NZ_QOYG01000001.1
LRPF007|PGOAJBJE_01989:ynjF:PGOAJBJE_01989|PGOAJBJE_01989	NZ_QOYG01000001.1	93.076	621	43	0	1	621	259743	259123	0.0	909	782163	NZ_QOYG01000001.1
LRPF62|CPONALDP_02453:ynjF:CPONALDP_02453|CPONALDP_02453	NZ_QOYG01000001.1	93.398	621	41	0	1	621	259743	259123	0.0	920	782163	NZ_QOYG01000001.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_3788:ynjF:b1758|9d38f563c3a26fdef9221ebcd767f53a_3788	NZ_QOYG01000001.1	97.424	621	16	0	1	621	259743	259123	0.0	1059	782163	NZ_QOYG01000001.1
UTI89|a370e86af943a50f23d4c066bcb16592_3759:ynjF:IFE20_RS09240|a370e86af943a50f23d4c066bcb16592_3759	NZ_QOYG01000001.1	92.926	622	42	2	1	621	259743	259123	0.0	904	782163	NZ_QOYG01000001.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_3689:ynjF:Y75_RS09255|a99aee7d8774ee1318b35b64abeb3eab_3689	NZ_QOYG01000001.1	97.424	621	16	0	1	621	259743	259123	0.0	1059	782163	NZ_QOYG01000001.1
