qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9836:yjfJ:HGG68_RS24115|2b84de5415a5ca9477dbe99a5510e5bf_9836	NZ_QOYG01000015.1	98.569	699	10	0	1	699	18511	17813	0.0	1236	101862	NZ_QOYG01000015.1
ECOR11_PROKKA|ECOR11_00381:yjfJ:ECOR11_00381|ECOR11_00381	NZ_QOYG01000015.1	98.712	699	9	0	1	699	18511	17813	0.0	1242	101862	NZ_QOYG01000015.1
ECOR14_PROKKA|ECOR14_04118:-:ECOR14_04118|ECOR14_04118	NZ_QOYG01000015.1	98.712	699	9	0	1	699	18511	17813	0.0	1242	101862	NZ_QOYG01000015.1
ECOR16_PROKKA|ECOR16_01037:-:ECOR16_01037|ECOR16_01037	NZ_QOYG01000015.1	98.315	534	9	0	1	534	18346	17813	0.0	937	101862	NZ_QOYG01000015.1
ECOR23_PROKKA|ECOR23_04216:-:ECOR23_04216|ECOR23_04216	NZ_QOYG01000015.1	98.569	699	10	0	1	699	18511	17813	0.0	1236	101862	NZ_QOYG01000015.1
ECOR44_PROKKA|ECOR44_01663:-:ECOR44_01663|ECOR44_01663	NZ_QOYG01000015.1	99.285	699	5	0	1	699	18511	17813	0.0	1264	101862	NZ_QOYG01000015.1
ECOR48_PROKKA|ECOR48_04427:-:ECOR48_04427|ECOR48_04427	NZ_QOYG01000015.1	98.712	699	9	0	1	699	18511	17813	0.0	1242	101862	NZ_QOYG01000015.1
ECOR49_PROKKA|ECOR49_04649:-:ECOR49_04649|ECOR49_04649	NZ_QOYG01000015.1	99.285	699	5	0	1	699	18511	17813	0.0	1264	101862	NZ_QOYG01000015.1
ECOR4_PROKKA|ECOR4_02657:-:ECOR4_02657|ECOR4_02657	NZ_QOYG01000015.1	98.283	699	12	0	1	699	18511	17813	0.0	1225	101862	NZ_QOYG01000015.1
ECOR50_PROKKA|ECOR50_02130:-:ECOR50_02130|ECOR50_02130	NZ_QOYG01000015.1	99.285	699	5	0	1	699	18511	17813	0.0	1264	101862	NZ_QOYG01000015.1
