qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_4029:ynjB:HGG68_RS09865|2b84de5415a5ca9477dbe99a5510e5bf_4029	NZ_QOYG01000001.1	97.001	1167	35	0	1	1167	254413	255579	0.0	1962	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_03387:-:ECOR11_03387|ECOR11_03387	NZ_QOYG01000001.1	96.058	1167	46	0	1	1167	254413	255579	0.0	1901	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_02584:ynjB:ECOR14_02584|ECOR14_02584	NZ_QOYG01000001.1	96.058	1167	46	0	1	1167	254413	255579	0.0	1901	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_01234:ynjB:ECOR16_01234|ECOR16_01234	NZ_QOYG01000001.1	96.058	1167	46	0	1	1167	254413	255579	0.0	1901	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02308:-:ECOR23_02308|ECOR23_02308	NZ_QOYG01000001.1	97.001	1167	35	0	1	1167	254413	255579	0.0	1962	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_02710:-:ECOR44_02710|ECOR44_02710	NZ_QOYG01000001.1	95.973	1167	47	0	1	1167	254413	255579	0.0	1895	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_00703:-:ECOR49_00703|ECOR49_00703	NZ_QOYG01000001.1	96.058	1167	46	0	1	1167	254413	255579	0.0	1901	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_02953:-:ECOR4_02953|ECOR4_02953	NZ_QOYG01000001.1	96.058	1167	46	0	1	1167	254413	255579	0.0	1901	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01478:-:ECOR50_01478|ECOR50_01478	NZ_QOYG01000001.1	96.058	1167	46	0	1	1167	254413	255579	0.0	1901	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02430:-:ECOR51_02430|ECOR51_02430	NZ_QOYG01000001.1	97.001	1167	35	0	1	1167	254413	255579	0.0	1962	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01407:-:ECOR52_01407|ECOR52_01407	NZ_QOYG01000001.1	97.001	1167	35	0	1	1167	254413	255579	0.0	1962	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02469:-:ECOR53_02469|ECOR53_02469	NZ_QOYG01000001.1	96.744	1167	38	0	1	1167	254413	255579	0.0	1945	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02180:-:ECOR54_02180|ECOR54_02180	NZ_QOYG01000001.1	97.001	1167	35	0	1	1167	254413	255579	0.0	1962	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_03857:-:ECOR55_03857|ECOR55_03857	NZ_QOYG01000001.1	97.001	1167	35	0	1	1167	254413	255579	0.0	1962	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_03333:-:ECOR56_03333|ECOR56_03333	NZ_QOYG01000001.1	97.001	1167	35	0	1	1167	254413	255579	0.0	1962	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_03467:-:ECOR60_03467|ECOR60_03467	NZ_QOYG01000001.1	96.744	1167	38	0	1	1167	254413	255579	0.0	1945	782163	NZ_QOYG01000001.1
ECOR61_PROKKA|ECOR61_00995:-:ECOR61_00995|ECOR61_00995	NZ_QOYG01000001.1	97.001	1167	35	0	1	1167	254413	255579	0.0	1962	782163	NZ_QOYG01000001.1
ECOR62_PROKKA|ECOR62_03058:-:ECOR62_03058|ECOR62_03058	NZ_QOYG01000001.1	97.001	1167	35	0	1	1167	254413	255579	0.0	1962	782163	NZ_QOYG01000001.1
