qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9842:yjfM:HGG68_RS24130|2b84de5415a5ca9477dbe99a5510e5bf_9842	KBase_derived_KE46_PROKKA	93.292	641	39	3	1	639	4183696	4183058	0.0	942	4736141	KBase_derived_KE46_PROKKA
ECOR11_PROKKA|ECOR11_00384:-:ECOR11_00384|ECOR11_00384	KBase_derived_KE46_PROKKA	94.366	639	36	0	1	639	4183696	4183058	0.0	981	4736141	KBase_derived_KE46_PROKKA
ECOR14_PROKKA|ECOR14_04121:-:ECOR14_04121|ECOR14_04121	KBase_derived_KE46_PROKKA	94.366	639	36	0	1	639	4183696	4183058	0.0	981	4736141	KBase_derived_KE46_PROKKA
ECOR16_PROKKA|ECOR16_01034:-:ECOR16_01034|ECOR16_01034	KBase_derived_KE46_PROKKA	95.149	639	31	0	1	639	4183696	4183058	0.0	1009	4736141	KBase_derived_KE46_PROKKA
ECOR23_PROKKA|ECOR23_04219:-:ECOR23_04219|ECOR23_04219	KBase_derived_KE46_PROKKA	93.292	641	39	3	1	639	4183696	4183058	0.0	942	4736141	KBase_derived_KE46_PROKKA
ECOR44_PROKKA|ECOR44_01660:-:ECOR44_01660|ECOR44_01660	KBase_derived_KE46_PROKKA	94.366	639	36	0	1	639	4183696	4183058	0.0	981	4736141	KBase_derived_KE46_PROKKA
ECOR48_PROKKA|ECOR48_04430:-:ECOR48_04430|ECOR48_04430	KBase_derived_KE46_PROKKA	94.366	639	36	0	1	639	4183696	4183058	0.0	981	4736141	KBase_derived_KE46_PROKKA
ECOR49_PROKKA|ECOR49_04652:-:ECOR49_04652|ECOR49_04652	KBase_derived_KE46_PROKKA	93.740	639	40	0	1	639	4183696	4183058	0.0	959	4736141	KBase_derived_KE46_PROKKA
ECOR4_PROKKA|ECOR4_02654:-:ECOR4_02654|ECOR4_02654	KBase_derived_KE46_PROKKA	95.149	639	31	0	1	639	4183696	4183058	0.0	1009	4736141	KBase_derived_KE46_PROKKA
ECOR50_PROKKA|ECOR50_02133:-:ECOR50_02133|ECOR50_02133	KBase_derived_KE46_PROKKA	93.740	639	40	0	1	639	4183696	4183058	0.0	959	4736141	KBase_derived_KE46_PROKKA
ECOR51_PROKKA|ECOR51_04342:-:ECOR51_04342|ECOR51_04342	KBase_derived_KE46_PROKKA	93.292	641	39	3	1	639	4183696	4183058	0.0	942	4736141	KBase_derived_KE46_PROKKA
ECOR52_PROKKA|ECOR52_04227:-:ECOR52_04227|ECOR52_04227	KBase_derived_KE46_PROKKA	93.292	641	39	3	1	639	4183696	4183058	0.0	942	4736141	KBase_derived_KE46_PROKKA
ECOR53_PROKKA|ECOR53_00525:-:ECOR53_00525|ECOR53_00525	KBase_derived_KE46_PROKKA	92.512	641	44	3	1	639	4183696	4183058	0.0	915	4736141	KBase_derived_KE46_PROKKA
