qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_5657:HGG68_RS13895:HGG68_RS13895|2b84de5415a5ca9477dbe99a5510e5bf_5657	NC_000913.3	98.693	153	2	0	1	153	2629272	2629120	5.45e-74	272	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR11_PROKKA|ECOR11_01328:-:ECOR11_01328|ECOR11_01328	NC_000913.3	100.000	153	0	0	1	153	2629272	2629120	2.52e-77	283	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR14_PROKKA|ECOR14_01119:-:ECOR14_01119|ECOR14_01119	NC_000913.3	100.000	153	0	0	1	153	2629272	2629120	2.52e-77	283	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR16_PROKKA|ECOR16_03463:-:ECOR16_03463|ECOR16_03463	NC_000913.3	100.000	153	0	0	1	153	2629272	2629120	2.52e-77	283	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR23_PROKKA|ECOR23_01198:-:ECOR23_01198|ECOR23_01198	NC_000913.3	98.693	153	2	0	1	153	2629272	2629120	5.45e-74	272	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR44_PROKKA|ECOR44_04874:-:ECOR44_04874|ECOR44_04874	NC_000913.3	100.000	153	0	0	1	153	2629272	2629120	2.52e-77	283	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR48_PROKKA|ECOR48_01808:-:ECOR48_01808|ECOR48_01808	NC_000913.3	100.000	153	0	0	1	153	2629272	2629120	2.52e-77	283	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR49_PROKKA|ECOR49_04197:-:ECOR49_04197|ECOR49_04197	NC_000913.3	100.000	153	0	0	1	153	2629272	2629120	2.52e-77	283	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR4_PROKKA|ECOR4_03499:-:ECOR4_03499|ECOR4_03499	NC_000913.3	100.000	153	0	0	1	153	2629272	2629120	2.52e-77	283	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR50_PROKKA|ECOR50_00890:-:ECOR50_00890|ECOR50_00890	NC_000913.3	100.000	153	0	0	1	153	2629272	2629120	2.52e-77	283	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR51_PROKKA|ECOR51_01757:-:ECOR51_01757|ECOR51_01757	NC_000913.3	98.693	153	2	0	1	153	2629272	2629120	5.45e-74	272	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
