qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_5725:yfhR:HGG68_RS14065|2b84de5415a5ca9477dbe99a5510e5bf_5725	NZ_QOYG01000017.1	94.854	855	44	0	1	855	45088	45942	0.0	1336	95160	NZ_QOYG01000017.1
ECOR11_PROKKA|ECOR11_01297:yfhR:ECOR11_01297|ECOR11_01297	NZ_QOYG01000017.1	94.854	855	44	0	1	855	45088	45942	0.0	1336	95160	NZ_QOYG01000017.1
ECOR14_PROKKA|ECOR14_01088:-:ECOR14_01088|ECOR14_01088	NZ_QOYG01000017.1	94.854	855	44	0	1	855	45088	45942	0.0	1336	95160	NZ_QOYG01000017.1
ECOR16_PROKKA|ECOR16_03494:-:ECOR16_03494|ECOR16_03494	NZ_QOYG01000017.1	94.620	855	46	0	1	855	45088	45942	0.0	1325	95160	NZ_QOYG01000017.1
ECOR23_PROKKA|ECOR23_01164:-:ECOR23_01164|ECOR23_01164	NZ_QOYG01000017.1	94.854	855	44	0	1	855	45088	45942	0.0	1336	95160	NZ_QOYG01000017.1
ECOR44_PROKKA|ECOR44_04840:-:ECOR44_04840|ECOR44_04840	NZ_QOYG01000017.1	100.000	855	0	0	1	855	45088	45942	0.0	1580	95160	NZ_QOYG01000017.1
ECOR48_PROKKA|ECOR48_00362:-:ECOR48_00362|ECOR48_00362	NZ_QOYG01000017.1	96.725	855	28	0	1	855	45088	45942	0.0	1424	95160	NZ_QOYG01000017.1
ECOR49_PROKKA|ECOR49_04231:-:ECOR49_04231|ECOR49_04231	NZ_QOYG01000017.1	99.766	855	2	0	1	855	45088	45942	0.0	1568	95160	NZ_QOYG01000017.1
ECOR4_PROKKA|ECOR4_03530:-:ECOR4_03530|ECOR4_03530	NZ_QOYG01000017.1	94.737	855	45	0	1	855	45088	45942	0.0	1330	95160	NZ_QOYG01000017.1
ECOR50_PROKKA|ECOR50_05003:-:ECOR50_05003|ECOR50_05003	NZ_QOYG01000017.1	99.766	855	2	0	1	855	45088	45942	0.0	1568	95160	NZ_QOYG01000017.1
ECOR51_PROKKA|ECOR51_01791:-:ECOR51_01791|ECOR51_01791	NZ_QOYG01000017.1	94.854	855	44	0	1	855	45088	45942	0.0	1336	95160	NZ_QOYG01000017.1
ECOR52_PROKKA|ECOR52_00057:-:ECOR52_00057|ECOR52_00057	NZ_QOYG01000017.1	94.854	855	44	0	1	855	45088	45942	0.0	1336	95160	NZ_QOYG01000017.1
ECOR53_PROKKA|ECOR53_01288:-:ECOR53_01288|ECOR53_01288	NZ_QOYG01000017.1	94.854	855	44	0	1	855	45088	45942	0.0	1336	95160	NZ_QOYG01000017.1
ECOR54_PROKKA|ECOR54_01617:-:ECOR54_01617|ECOR54_01617	NZ_QOYG01000017.1	94.854	855	44	0	1	855	45088	45942	0.0	1336	95160	NZ_QOYG01000017.1
ECOR55_PROKKA|ECOR55_01140:-:ECOR55_01140|ECOR55_01140	NZ_QOYG01000017.1	94.854	855	44	0	1	855	45088	45942	0.0	1336	95160	NZ_QOYG01000017.1
ECOR56_PROKKA|ECOR56_00048:-:ECOR56_00048|ECOR56_00048	NZ_QOYG01000017.1	94.854	855	44	0	1	855	45088	45942	0.0	1336	95160	NZ_QOYG01000017.1
ECOR60_PROKKA|ECOR60_02264:-:ECOR60_02264|ECOR60_02264	NZ_QOYG01000017.1	94.854	855	44	0	1	855	45088	45942	0.0	1336	95160	NZ_QOYG01000017.1
