qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_773:HGG68_RS01885:HGG68_RS01885|2b84de5415a5ca9477dbe99a5510e5bf_773	NZ_QOYG01000023.1	97.758	669	15	0	1	669	34318	34986	0.0	1153	66849	NZ_QOYG01000023.1
ECOR11_PROKKA|ECOR11_02794:ykgH:ECOR11_02794|ECOR11_02794	NZ_QOYG01000023.1	97.418	581	15	0	5	585	34406	34986	0.0	990	66849	NZ_QOYG01000023.1
ECOR14_PROKKA|ECOR14_01562:-:ECOR14_01562|ECOR14_01562	NZ_QOYG01000023.1	97.160	669	19	0	1	669	34318	34986	0.0	1131	66849	NZ_QOYG01000023.1
ECOR16_PROKKA|ECOR16_03623:-:ECOR16_03623|ECOR16_03623	NZ_QOYG01000023.1	97.160	669	19	0	1	669	34318	34986	0.0	1131	66849	NZ_QOYG01000023.1
ECOR23_PROKKA|ECOR23_00305:-:ECOR23_00305|ECOR23_00305	NZ_QOYG01000023.1	97.758	669	15	0	1	669	34318	34986	0.0	1153	66849	NZ_QOYG01000023.1
ECOR44_PROKKA|ECOR44_02916:-:ECOR44_02916|ECOR44_02916	NZ_QOYG01000023.1	97.023	571	17	0	1	571	34318	34888	0.0	961	66849	NZ_QOYG01000023.1
ECOR48_PROKKA|ECOR48_04099:-:ECOR48_04099|ECOR48_04099	NZ_QOYG01000023.1	98.765	567	7	0	1	567	34420	34986	0.0	1009	66849	NZ_QOYG01000023.1
ECOR49_PROKKA|ECOR49_00920:-:ECOR49_00920|ECOR49_00920	NZ_QOYG01000023.1	98.804	669	8	0	1	669	34318	34986	0.0	1192	66849	NZ_QOYG01000023.1
ECOR4_PROKKA|ECOR4_03321:-:ECOR4_03321|ECOR4_03321	NZ_QOYG01000023.1	97.160	669	19	0	1	669	34318	34986	0.0	1131	66849	NZ_QOYG01000023.1
ECOR50_PROKKA|ECOR50_00127:-:ECOR50_00127|ECOR50_00127	NZ_QOYG01000023.1	98.804	669	8	0	1	669	34318	34986	0.0	1192	66849	NZ_QOYG01000023.1
ECOR51_PROKKA|ECOR51_00550:-:ECOR51_00550|ECOR51_00550	NZ_QOYG01000023.1	97.608	669	16	0	1	669	34318	34986	0.0	1147	66849	NZ_QOYG01000023.1
ECOR52_PROKKA|ECOR52_00352:-:ECOR52_00352|ECOR52_00352	NZ_QOYG01000023.1	97.758	669	15	0	1	669	34318	34986	0.0	1153	66849	NZ_QOYG01000023.1
ECOR53_PROKKA|ECOR53_00041:-:ECOR53_00041|ECOR53_00041	NZ_QOYG01000023.1	97.907	669	14	0	1	669	34318	34986	0.0	1158	66849	NZ_QOYG01000023.1
ECOR54_PROKKA|ECOR54_00425:-:ECOR54_00425|ECOR54_00425	NZ_QOYG01000023.1	97.608	669	16	0	1	669	34318	34986	0.0	1147	66849	NZ_QOYG01000023.1
ECOR55_PROKKA|ECOR55_00410:-:ECOR55_00410|ECOR55_00410	NZ_QOYG01000023.1	97.608	669	16	0	1	669	34318	34986	0.0	1147	66849	NZ_QOYG01000023.1
ECOR56_PROKKA|ECOR56_00800:-:ECOR56_00800|ECOR56_00800	NZ_QOYG01000023.1	97.758	669	15	0	1	669	34318	34986	0.0	1153	66849	NZ_QOYG01000023.1
ECOR60_PROKKA|ECOR60_04009:-:ECOR60_04009|ECOR60_04009	NZ_QOYG01000023.1	97.907	669	14	0	1	669	34318	34986	0.0	1158	66849	NZ_QOYG01000023.1
ECOR61_PROKKA|ECOR61_03291:-:ECOR61_03291|ECOR61_03291	NZ_QOYG01000023.1	97.608	669	16	0	1	669	34318	34986	0.0	1147	66849	NZ_QOYG01000023.1
ECOR62_PROKKA|ECOR62_03631:-:ECOR62_03631|ECOR62_03631	NZ_QOYG01000023.1	97.608	669	16	0	1	669	34318	34986	0.0	1147	66849	NZ_QOYG01000023.1
ECOR64_PROKKA|ECOR64_03681:-:ECOR64_03681|ECOR64_03681	NZ_QOYG01000023.1	97.608	669	16	0	1	669	34318	34986	0.0	1147	66849	NZ_QOYG01000023.1
ECOR66_PROKKA|ECOR66_00611:-:ECOR66_00611|ECOR66_00611	NZ_QOYG01000023.1	97.758	669	15	0	1	669	34318	34986	0.0	1153	66849	NZ_QOYG01000023.1
ECOR6_PROKKA|ECOR6_04031:-:ECOR6_04031|ECOR6_04031	NZ_QOYG01000023.1	97.160	669	19	0	1	669	34318	34986	0.0	1131	66849	NZ_QOYG01000023.1
ECOR8_PROKKA|ECOR8_00991:-:ECOR8_00991|ECOR8_00991	NZ_QOYG01000023.1	97.160	669	19	0	1	669	34318	34986	0.0	1131	66849	NZ_QOYG01000023.1
KE21|HKKLMMAK_03867:HKKLMMAK_03867:HKKLMMAK_03867|HKKLMMAK_03867	NZ_QOYG01000023.1	97.758	669	15	0	1	669	34318	34986	0.0	1153	66849	NZ_QOYG01000023.1
KE24|FLBELDDJ_00567:FLBELDDJ_00567:FLBELDDJ_00567|FLBELDDJ_00567	NZ_QOYG01000023.1	97.608	669	16	0	1	669	34318	34986	0.0	1147	66849	NZ_QOYG01000023.1
KE25|NKLEEENC_01014:NKLEEENC_01014:NKLEEENC_01014|NKLEEENC_01014	NZ_QOYG01000023.1	97.608	669	16	0	1	669	34318	34986	0.0	1147	66849	NZ_QOYG01000023.1
KE26|AFHKKBMH_00952:AFHKKBMH_00952:AFHKKBMH_00952|AFHKKBMH_00952	NZ_QOYG01000023.1	97.758	669	15	0	1	669	34318	34986	0.0	1153	66849	NZ_QOYG01000023.1
KE4|NBLHDMPF_03394:NBLHDMPF_03394:NBLHDMPF_03394|NBLHDMPF_03394	NZ_QOYG01000023.1	97.907	669	14	0	1	669	34318	34986	0.0	1158	66849	NZ_QOYG01000023.1
KE40|EEHHMH_05175:EEHHMH_05175:EEHHMH_05175|EEHHMH_05175	NZ_QOYG01000023.1	100.000	669	0	0	1	669	34318	34986	0.0	1236	66849	NZ_QOYG01000023.1
KE41|PNKGMM_22780:PNKGMM_22780:PNKGMM_22780|PNKGMM_22780	NZ_QOYG01000023.1	97.608	669	16	0	1	669	34318	34986	0.0	1147	66849	NZ_QOYG01000023.1
KE46|DADKIG_17740:DADKIG_17740:DADKIG_17740|DADKIG_17740	NZ_QOYG01000023.1	98.643	663	9	0	1	663	34318	34980	0.0	1175	66849	NZ_QOYG01000023.1
KE47|NHFOKF_06420:NHFOKF_06420:NHFOKF_06420|NHFOKF_06420	NZ_QOYG01000023.1	100.000	669	0	0	1	669	34318	34986	0.0	1236	66849	NZ_QOYG01000023.1
KE48_PROKKA|KE48_00910:-:KE48_00910|KE48_00910	NZ_QOYG01000023.1	97.758	669	15	0	1	669	34318	34986	0.0	1153	66849	NZ_QOYG01000023.1
KE50|OOFCCB_24220:OOFCCB_24220:OOFCCB_24220|OOFCCB_24220	NZ_QOYG01000023.1	97.758	669	15	0	1	669	34318	34986	0.0	1153	66849	NZ_QOYG01000023.1
KE51|BHDFJC_20805:BHDFJC_20805:BHDFJC_20805|BHDFJC_20805	NZ_QOYG01000023.1	97.758	669	15	0	1	669	34318	34986	0.0	1153	66849	NZ_QOYG01000023.1
KE55|HDLJKA_18095:HDLJKA_18095:HDLJKA_18095|HDLJKA_18095	NZ_QOYG01000023.1	97.977	346	7	0	1	346	34318	34663	1.64e-172	601	66849	NZ_QOYG01000023.1
KE58|FKGHDH_18240:ykgH:FKGHDH_18240|FKGHDH_18240	NZ_QOYG01000023.1	97.160	669	19	0	1	669	34318	34986	0.0	1131	66849	NZ_QOYG01000023.1
LRPF007|PGOAJBJE_02335:PGOAJBJE_02335:PGOAJBJE_02335|PGOAJBJE_02335	NZ_QOYG01000023.1	97.758	669	15	0	1	669	34318	34986	0.0	1153	66849	NZ_QOYG01000023.1
