qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_5569:eutB:HGG68_RS13675|2b84de5415a5ca9477dbe99a5510e5bf_5569	NZ_QOYG01000007.1	97.137	1362	39	0	1	1362	65705	67066	0.0	2300	205005	NZ_QOYG01000007.1
ECOR11_PROKKA|ECOR11_01384:eutB:ECOR11_01384|ECOR11_01384	NZ_QOYG01000007.1	96.843	1362	43	0	1	1362	65705	67066	0.0	2278	205005	NZ_QOYG01000007.1
ECOR14_PROKKA|ECOR14_01176:eutB:ECOR14_01176|ECOR14_01176	NZ_QOYG01000007.1	96.843	1362	43	0	1	1362	65705	67066	0.0	2278	205005	NZ_QOYG01000007.1
ECOR23_PROKKA|ECOR23_01242:-:ECOR23_01242|ECOR23_01242	NZ_QOYG01000007.1	97.137	1362	39	0	1	1362	65705	67066	0.0	2300	205005	NZ_QOYG01000007.1
ECOR44_PROKKA|ECOR44_04930:-:ECOR44_04930|ECOR44_04930	NZ_QOYG01000007.1	98.091	1362	26	0	1	1362	65705	67066	0.0	2372	205005	NZ_QOYG01000007.1
ECOR48_PROKKA|ECOR48_01752:-:ECOR48_01752|ECOR48_01752	NZ_QOYG01000007.1	97.871	1362	29	0	1	1362	65705	67066	0.0	2355	205005	NZ_QOYG01000007.1
ECOR49_PROKKA|ECOR49_04141:-:ECOR49_04141|ECOR49_04141	NZ_QOYG01000007.1	97.724	1362	31	0	1	1362	65705	67066	0.0	2344	205005	NZ_QOYG01000007.1
ECOR4_PROKKA|ECOR4_03442:-:ECOR4_03442|ECOR4_03442	NZ_QOYG01000007.1	96.769	1362	44	0	1	1362	65705	67066	0.0	2272	205005	NZ_QOYG01000007.1
ECOR50_PROKKA|ECOR50_00834:-:ECOR50_00834|ECOR50_00834	NZ_QOYG01000007.1	97.651	1362	32	0	1	1362	65705	67066	0.0	2338	205005	NZ_QOYG01000007.1
ECOR51_PROKKA|ECOR51_01712:-:ECOR51_01712|ECOR51_01712	NZ_QOYG01000007.1	97.137	1362	39	0	1	1362	65705	67066	0.0	2300	205005	NZ_QOYG01000007.1
ECOR52_PROKKA|ECOR52_00135:-:ECOR52_00135|ECOR52_00135	NZ_QOYG01000007.1	97.137	1362	39	0	1	1362	65705	67066	0.0	2300	205005	NZ_QOYG01000007.1
ECOR53_PROKKA|ECOR53_01372:-:ECOR53_01372|ECOR53_01372	NZ_QOYG01000007.1	97.504	1362	34	0	1	1362	65705	67066	0.0	2327	205005	NZ_QOYG01000007.1
ECOR54_PROKKA|ECOR54_01538:-:ECOR54_01538|ECOR54_01538	NZ_QOYG01000007.1	97.137	1362	39	0	1	1362	65705	67066	0.0	2300	205005	NZ_QOYG01000007.1
ECOR55_PROKKA|ECOR55_01219:-:ECOR55_01219|ECOR55_01219	NZ_QOYG01000007.1	97.137	1362	39	0	1	1362	65705	67066	0.0	2300	205005	NZ_QOYG01000007.1
ECOR56_PROKKA|ECOR56_00126:-:ECOR56_00126|ECOR56_00126	NZ_QOYG01000007.1	97.137	1362	39	0	1	1362	65705	67066	0.0	2300	205005	NZ_QOYG01000007.1
ECOR60_PROKKA|ECOR60_02347:-:ECOR60_02347|ECOR60_02347	NZ_QOYG01000007.1	97.504	1362	34	0	1	1362	65705	67066	0.0	2327	205005	NZ_QOYG01000007.1
ECOR61_PROKKA|ECOR61_01590:-:ECOR61_01590|ECOR61_01590	NZ_QOYG01000007.1	97.430	1362	35	0	1	1362	65705	67066	0.0	2322	205005	NZ_QOYG01000007.1
ECOR62_PROKKA|ECOR62_02008:-:ECOR62_02008|ECOR62_02008	NZ_QOYG01000007.1	97.430	1362	35	0	1	1362	65705	67066	0.0	2322	205005	NZ_QOYG01000007.1
