qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_729:ecpA:HGG68_RS01775|2b84de5415a5ca9477dbe99a5510e5bf_729	NZ_QOYG01000023.1	98.980	588	6	0	1	588	58483	59070	0.0	1053	66849	NZ_QOYG01000023.1
ECOR11_PROKKA|ECOR11_02780:ecpA:ECOR11_02780|ECOR11_02780	NZ_QOYG01000023.1	98.299	588	10	0	1	588	58483	59070	0.0	1031	66849	NZ_QOYG01000023.1
ECOR14_PROKKA|ECOR14_01576:ecpA:ECOR14_01576|ECOR14_01576	NZ_QOYG01000023.1	98.469	588	9	0	1	588	58483	59070	0.0	1037	66849	NZ_QOYG01000023.1
ECOR23_PROKKA|ECOR23_00325:-:ECOR23_00325|ECOR23_00325	NZ_QOYG01000023.1	99.150	588	5	0	1	588	58483	59070	0.0	1059	66849	NZ_QOYG01000023.1
ECOR44_PROKKA|ECOR44_02990:-:ECOR44_02990|ECOR44_02990	NZ_QOYG01000023.1	100.000	588	0	0	1	588	58483	59070	0.0	1086	66849	NZ_QOYG01000023.1
ECOR48_PROKKA|ECOR48_04078:-:ECOR48_04078|ECOR48_04078	NZ_QOYG01000023.1	98.639	588	8	0	1	588	58483	59070	0.0	1042	66849	NZ_QOYG01000023.1
ECOR49_PROKKA|ECOR49_00900:-:ECOR49_00900|ECOR49_00900	NZ_QOYG01000023.1	99.830	588	1	0	1	588	58483	59070	0.0	1081	66849	NZ_QOYG01000023.1
ECOR4_PROKKA|ECOR4_02931:-:ECOR4_02931|ECOR4_02931	NZ_QOYG01000023.1	98.299	588	10	0	1	588	58483	59070	0.0	1031	66849	NZ_QOYG01000023.1
ECOR50_PROKKA|ECOR50_00107:-:ECOR50_00107|ECOR50_00107	NZ_QOYG01000023.1	99.830	588	1	0	1	588	58483	59070	0.0	1081	66849	NZ_QOYG01000023.1
ECOR51_PROKKA|ECOR51_00570:-:ECOR51_00570|ECOR51_00570	NZ_QOYG01000023.1	99.150	588	5	0	1	588	58483	59070	0.0	1059	66849	NZ_QOYG01000023.1
