qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9560:phnC:HGG68_RS23445|2b84de5415a5ca9477dbe99a5510e5bf_9560	NZ_QOYG01000022.1	96.324	789	29	0	1	789	67182	66394	0.0	1297	67964	NZ_QOYG01000022.1
ECOR11_PROKKA|ECOR11_00059:phnC:ECOR11_00059|ECOR11_00059	NZ_QOYG01000022.1	96.958	789	24	0	1	789	67182	66394	0.0	1325	67964	NZ_QOYG01000022.1
ECOR14_PROKKA|ECOR14_00362:phnC:ECOR14_00362|ECOR14_00362	NZ_QOYG01000022.1	96.578	789	27	0	1	789	67182	66394	0.0	1308	67964	NZ_QOYG01000022.1
ECOR16_PROKKA|ECOR16_01117:phnC:ECOR16_01117|ECOR16_01117	NZ_QOYG01000022.1	96.578	789	27	0	1	789	67182	66394	0.0	1308	67964	NZ_QOYG01000022.1
ECOR23_PROKKA|ECOR23_04140:-:ECOR23_04140|ECOR23_04140	NZ_QOYG01000022.1	96.451	789	28	0	1	789	67182	66394	0.0	1303	67964	NZ_QOYG01000022.1
ECOR44_PROKKA|ECOR44_02406:-:ECOR44_02406|ECOR44_02406	NZ_QOYG01000022.1	100.000	789	0	0	1	789	67182	66394	0.0	1458	67964	NZ_QOYG01000022.1
ECOR48_PROKKA|ECOR48_04336:-:ECOR48_04336|ECOR48_04336	NZ_QOYG01000022.1	98.986	789	8	0	1	789	67182	66394	0.0	1413	67964	NZ_QOYG01000022.1
ECOR49_PROKKA|ECOR49_02693:-:ECOR49_02693|ECOR49_02693	NZ_QOYG01000022.1	98.479	789	12	0	1	789	67182	66394	0.0	1391	67964	NZ_QOYG01000022.1
ECOR4_PROKKA|ECOR4_02740:-:ECOR4_02740|ECOR4_02740	NZ_QOYG01000022.1	96.451	789	28	0	1	789	67182	66394	0.0	1303	67964	NZ_QOYG01000022.1
ECOR50_PROKKA|ECOR50_02053:-:ECOR50_02053|ECOR50_02053	NZ_QOYG01000022.1	98.479	789	12	0	1	789	67182	66394	0.0	1391	67964	NZ_QOYG01000022.1
ECOR51_PROKKA|ECOR51_04421:-:ECOR51_04421|ECOR51_04421	NZ_QOYG01000022.1	96.451	789	28	0	1	789	67182	66394	0.0	1303	67964	NZ_QOYG01000022.1
ECOR52_PROKKA|ECOR52_04148:-:ECOR52_04148|ECOR52_04148	NZ_QOYG01000022.1	96.451	789	28	0	1	789	67182	66394	0.0	1303	67964	NZ_QOYG01000022.1
ECOR53_PROKKA|ECOR53_00754:-:ECOR53_00754|ECOR53_00754	NZ_QOYG01000022.1	96.705	789	26	0	1	789	67182	66394	0.0	1314	67964	NZ_QOYG01000022.1
ECOR54_PROKKA|ECOR54_03727:-:ECOR54_03727|ECOR54_03727	NZ_QOYG01000022.1	96.451	789	28	0	1	789	67182	66394	0.0	1303	67964	NZ_QOYG01000022.1
ECOR55_PROKKA|ECOR55_04402:-:ECOR55_04402|ECOR55_04402	NZ_QOYG01000022.1	96.451	789	28	0	1	789	67182	66394	0.0	1303	67964	NZ_QOYG01000022.1
ECOR56_PROKKA|ECOR56_03869:-:ECOR56_03869|ECOR56_03869	NZ_QOYG01000022.1	96.324	789	29	0	1	789	67182	66394	0.0	1297	67964	NZ_QOYG01000022.1
ECOR60_PROKKA|ECOR60_00676:-:ECOR60_00676|ECOR60_00676	NZ_QOYG01000022.1	96.705	789	26	0	1	789	67182	66394	0.0	1314	67964	NZ_QOYG01000022.1
ECOR61_PROKKA|ECOR61_03411:-:ECOR61_03411|ECOR61_03411	NZ_QOYG01000022.1	96.705	789	26	0	1	789	67182	66394	0.0	1314	67964	NZ_QOYG01000022.1
ECOR62_PROKKA|ECOR62_01213:-:ECOR62_01213|ECOR62_01213	NZ_QOYG01000022.1	96.705	789	26	0	1	789	67182	66394	0.0	1314	67964	NZ_QOYG01000022.1
ECOR64_PROKKA|ECOR64_01708:-:ECOR64_01708|ECOR64_01708	NZ_QOYG01000022.1	96.705	789	26	0	1	789	67182	66394	0.0	1314	67964	NZ_QOYG01000022.1
ECOR66_PROKKA|ECOR66_04086:-:ECOR66_04086|ECOR66_04086	NZ_QOYG01000022.1	97.338	789	21	0	1	789	67182	66394	0.0	1341	67964	NZ_QOYG01000022.1
ECOR6_PROKKA|ECOR6_00042:-:ECOR6_00042|ECOR6_00042	NZ_QOYG01000022.1	96.705	789	26	0	1	789	67182	66394	0.0	1314	67964	NZ_QOYG01000022.1
ECOR8_PROKKA|ECOR8_04511:-:ECOR8_04511|ECOR8_04511	NZ_QOYG01000022.1	96.958	789	24	0	1	789	67182	66394	0.0	1325	67964	NZ_QOYG01000022.1
KE21|HKKLMMAK_03111:phnC:HKKLMMAK_03111|HKKLMMAK_03111	NZ_QOYG01000022.1	97.338	789	21	0	1	789	67182	66394	0.0	1341	67964	NZ_QOYG01000022.1
KE25|NKLEEENC_02960:phnC:NKLEEENC_02960|NKLEEENC_02960	NZ_QOYG01000022.1	97.338	789	21	0	1	789	67182	66394	0.0	1341	67964	NZ_QOYG01000022.1
KE26|AFHKKBMH_00277:phnC:AFHKKBMH_00277|AFHKKBMH_00277	NZ_QOYG01000022.1	97.338	789	21	0	1	789	67182	66394	0.0	1341	67964	NZ_QOYG01000022.1
KE4|NBLHDMPF_04247:phnC:NBLHDMPF_04247|NBLHDMPF_04247	NZ_QOYG01000022.1	96.705	789	26	0	1	789	67182	66394	0.0	1314	67964	NZ_QOYG01000022.1
KE40|EEHHMH_01420:phnC:EEHHMH_01420|EEHHMH_01420	NZ_QOYG01000022.1	100.000	789	0	0	1	789	67182	66394	0.0	1458	67964	NZ_QOYG01000022.1
KE41|PNKGMM_01240:phnC:PNKGMM_01240|PNKGMM_01240	NZ_QOYG01000022.1	96.705	789	26	0	1	789	67182	66394	0.0	1314	67964	NZ_QOYG01000022.1
KE46|DADKIG_21400:phnC:DADKIG_21400|DADKIG_21400	NZ_QOYG01000022.1	96.831	789	25	0	1	789	67182	66394	0.0	1319	67964	NZ_QOYG01000022.1
KE47|NHFOKF_09905:phnC:NHFOKF_09905|NHFOKF_09905	NZ_QOYG01000022.1	100.000	789	0	0	1	789	67182	66394	0.0	1458	67964	NZ_QOYG01000022.1
KE48_PROKKA|KE48_03179:phnC:KE48_03179|KE48_03179	NZ_QOYG01000022.1	96.451	789	28	0	1	789	67182	66394	0.0	1303	67964	NZ_QOYG01000022.1
KE50|OOFCCB_03370:phnC:OOFCCB_03370|OOFCCB_03370	NZ_QOYG01000022.1	97.338	789	21	0	1	789	67182	66394	0.0	1341	67964	NZ_QOYG01000022.1
KE51|BHDFJC_24930:phnC:BHDFJC_24930|BHDFJC_24930	NZ_QOYG01000022.1	96.324	789	29	0	1	789	67182	66394	0.0	1297	67964	NZ_QOYG01000022.1
