qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_217:yacG:HGG68_RS00535|2b84de5415a5ca9477dbe99a5510e5bf_217	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
ECOR11_PROKKA|ECOR11_02365:yacG:ECOR11_02365|ECOR11_02365	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
ECOR14_PROKKA|ECOR14_03553:yacG:ECOR14_03553|ECOR14_03553	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
ECOR16_PROKKA|ECOR16_02550:yacG:ECOR16_02550|ECOR16_02550	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
ECOR23_PROKKA|ECOR23_00731:-:ECOR23_00731|ECOR23_00731	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
ECOR44_PROKKA|ECOR44_03181:-:ECOR44_03181|ECOR44_03181	NZ_QOYG01000004.1	100.000	198	0	0	1	198	110128	110325	3.43e-102	366	256634	NZ_QOYG01000004.1
ECOR48_PROKKA|ECOR48_02635:-:ECOR48_02635|ECOR48_02635	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
ECOR49_PROKKA|ECOR49_04491:-:ECOR49_04491|ECOR49_04491	NZ_QOYG01000004.1	98.485	198	3	0	1	198	110128	110325	3.45e-97	350	256634	NZ_QOYG01000004.1
ECOR4_PROKKA|ECOR4_00501:-:ECOR4_00501|ECOR4_00501	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
ECOR50_PROKKA|ECOR50_03127:-:ECOR50_03127|ECOR50_03127	NZ_QOYG01000004.1	98.485	198	3	0	1	198	110128	110325	3.45e-97	350	256634	NZ_QOYG01000004.1
ECOR51_PROKKA|ECOR51_01145:-:ECOR51_01145|ECOR51_01145	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
ECOR52_PROKKA|ECOR52_00783:-:ECOR52_00783|ECOR52_00783	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
ECOR53_PROKKA|ECOR53_03023:-:ECOR53_03023|ECOR53_03023	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
ECOR54_PROKKA|ECOR54_00978:-:ECOR54_00978|ECOR54_00978	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
ECOR55_PROKKA|ECOR55_00818:-:ECOR55_00818|ECOR55_00818	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
ECOR56_PROKKA|ECOR56_01130:-:ECOR56_01130|ECOR56_01130	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
ECOR60_PROKKA|ECOR60_01047:-:ECOR60_01047|ECOR60_01047	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
ECOR61_PROKKA|ECOR61_02338:-:ECOR61_02338|ECOR61_02338	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
ECOR62_PROKKA|ECOR62_01611:-:ECOR62_01611|ECOR62_01611	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
ECOR64_PROKKA|ECOR64_03311:-:ECOR64_03311|ECOR64_03311	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
ECOR66_PROKKA|ECOR66_02429:-:ECOR66_02429|ECOR66_02429	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
ECOR6_PROKKA|ECOR6_00473:-:ECOR6_00473|ECOR6_00473	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
ECOR8_PROKKA|ECOR8_01858:-:ECOR8_01858|ECOR8_01858	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
KE21|HKKLMMAK_03629:yacG:HKKLMMAK_03629|HKKLMMAK_03629	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
KE24|FLBELDDJ_00834:yacG:FLBELDDJ_00834|FLBELDDJ_00834	NZ_QOYG01000004.1	98.485	198	3	0	1	198	110128	110325	3.45e-97	350	256634	NZ_QOYG01000004.1
KE25|NKLEEENC_01204:yacG:NKLEEENC_01204|NKLEEENC_01204	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
KE26|AFHKKBMH_00762:yacG:AFHKKBMH_00762|AFHKKBMH_00762	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
KE4|NBLHDMPF_03612:yacG:NBLHDMPF_03612|NBLHDMPF_03612	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
KE40|EEHHMH_03835:yacG:EEHHMH_03835|EEHHMH_03835	NZ_QOYG01000004.1	100.000	198	0	0	1	198	110128	110325	3.43e-102	366	256634	NZ_QOYG01000004.1
KE41|PNKGMM_24100:yacG:PNKGMM_24100|PNKGMM_24100	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
KE46|DADKIG_19235:yacG:DADKIG_19235|DADKIG_19235	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
KE47|NHFOKF_07530:yacG:NHFOKF_07530|NHFOKF_07530	NZ_QOYG01000004.1	100.000	198	0	0	1	198	110128	110325	3.43e-102	366	256634	NZ_QOYG01000004.1
KE48_PROKKA|KE48_03601:yacG:KE48_03601|KE48_03601	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
KE51|BHDFJC_22165:yacG:BHDFJC_22165|BHDFJC_22165	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
KE54|NBPOCE_21575:yacG:NBPOCE_21575|NBPOCE_21575	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
KE55|HDLJKA_19165:yacG:HDLJKA_19165|HDLJKA_19165	NZ_QOYG01000004.1	98.485	198	3	0	1	198	110128	110325	3.45e-97	350	256634	NZ_QOYG01000004.1
KE58|FKGHDH_19330:yacG:FKGHDH_19330|FKGHDH_19330	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
LRPF007|PGOAJBJE_03913:yacG:PGOAJBJE_03913|PGOAJBJE_03913	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
LRPF62|CPONALDP_04097:yacG:CPONALDP_04097|CPONALDP_04097	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_214:yacG:b0101|9d38f563c3a26fdef9221ebcd767f53a_214	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
UTI89|a370e86af943a50f23d4c066bcb16592_211:yacG:IFE20_RS00520|a370e86af943a50f23d4c066bcb16592_211	NZ_QOYG01000004.1	99.495	198	1	0	1	198	110128	110325	1.59e-100	361	256634	NZ_QOYG01000004.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_205:yacG:Y75_RS00515|a99aee7d8774ee1318b35b64abeb3eab_205	NZ_QOYG01000004.1	98.990	198	2	0	1	198	110128	110325	7.41e-99	355	256634	NZ_QOYG01000004.1
