qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3809:ydhL:HGG68_RS09330|2b84de5415a5ca9477dbe99a5510e5bf_3809	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
ECOR11_PROKKA|ECOR11_03495:-:ECOR11_03495|ECOR11_03495	NZ_QOYJ01000001.1	97.500	240	6	0	1	240	292795	293034	2.18e-115	411	367566	NZ_QOYJ01000001.1
ECOR14_PROKKA|ECOR14_01013:-:ECOR14_01013|ECOR14_01013	NZ_QOYJ01000001.1	97.500	240	6	0	1	240	292795	293034	2.18e-115	411	367566	NZ_QOYJ01000001.1
ECOR16_PROKKA|ECOR16_04261:-:ECOR16_04261|ECOR16_04261	NZ_QOYJ01000001.1	97.500	240	6	0	1	240	292795	293034	2.18e-115	411	367566	NZ_QOYJ01000001.1
ECOR23_PROKKA|ECOR23_02413:-:ECOR23_02413|ECOR23_02413	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
ECOR44_PROKKA|ECOR44_04464:-:ECOR44_04464|ECOR44_04464	NZ_QOYJ01000001.1	97.500	240	6	0	1	240	292795	293034	2.18e-115	411	367566	NZ_QOYJ01000001.1
ECOR48_PROKKA|ECOR48_03807:-:ECOR48_03807|ECOR48_03807	NZ_QOYJ01000001.1	97.917	240	5	0	1	240	292795	293034	4.69e-117	416	367566	NZ_QOYJ01000001.1
ECOR49_PROKKA|ECOR49_01072:-:ECOR49_01072|ECOR49_01072	NZ_QOYJ01000001.1	100.000	240	0	0	1	240	292795	293034	2.15e-125	444	367566	NZ_QOYJ01000001.1
ECOR4_PROKKA|ECOR4_03929:-:ECOR4_03929|ECOR4_03929	NZ_QOYJ01000001.1	97.500	240	6	0	1	240	292795	293034	2.18e-115	411	367566	NZ_QOYJ01000001.1
ECOR51_PROKKA|ECOR51_02325:-:ECOR51_02325|ECOR51_02325	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
ECOR52_PROKKA|ECOR52_01512:-:ECOR52_01512|ECOR52_01512	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
ECOR53_PROKKA|ECOR53_02363:-:ECOR53_02363|ECOR53_02363	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
ECOR54_PROKKA|ECOR54_02075:-:ECOR54_02075|ECOR54_02075	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
ECOR55_PROKKA|ECOR55_03962:-:ECOR55_03962|ECOR55_03962	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
ECOR56_PROKKA|ECOR56_03228:-:ECOR56_03228|ECOR56_03228	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
ECOR60_PROKKA|ECOR60_03573:-:ECOR60_03573|ECOR60_03573	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
ECOR61_PROKKA|ECOR61_00572:-:ECOR61_00572|ECOR61_00572	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
ECOR62_PROKKA|ECOR62_03163:-:ECOR62_03163|ECOR62_03163	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
ECOR64_PROKKA|ECOR64_04366:-:ECOR64_04366|ECOR64_04366	NZ_QOYJ01000001.1	95.000	240	12	0	1	240	292795	293034	2.21e-105	377	367566	NZ_QOYJ01000001.1
ECOR66_PROKKA|ECOR66_03339:-:ECOR66_03339|ECOR66_03339	NZ_QOYJ01000001.1	96.667	240	8	0	1	240	292795	293034	4.72e-112	399	367566	NZ_QOYJ01000001.1
ECOR6_PROKKA|ECOR6_01917:-:ECOR6_01917|ECOR6_01917	NZ_QOYJ01000001.1	97.500	240	6	0	1	240	292795	293034	2.18e-115	411	367566	NZ_QOYJ01000001.1
ECOR8_PROKKA|ECOR8_01444:-:ECOR8_01444|ECOR8_01444	NZ_QOYJ01000001.1	97.500	240	6	0	1	240	292795	293034	2.18e-115	411	367566	NZ_QOYJ01000001.1
KE21|HKKLMMAK_00305:HKKLMMAK_00305:HKKLMMAK_00305|HKKLMMAK_00305	NZ_QOYJ01000001.1	96.667	240	8	0	1	240	292795	293034	4.72e-112	399	367566	NZ_QOYJ01000001.1
KE24|FLBELDDJ_04145:FLBELDDJ_04145:FLBELDDJ_04145|FLBELDDJ_04145	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
KE25|NKLEEENC_04748:NKLEEENC_04748:NKLEEENC_04748|NKLEEENC_04748	NZ_QOYJ01000001.1	96.667	240	8	0	1	240	292795	293034	4.72e-112	399	367566	NZ_QOYJ01000001.1
KE26|AFHKKBMH_02359:AFHKKBMH_02359:AFHKKBMH_02359|AFHKKBMH_02359	NZ_QOYJ01000001.1	96.667	240	8	0	1	240	292795	293034	4.72e-112	399	367566	NZ_QOYJ01000001.1
KE4|NBLHDMPF_01844:NBLHDMPF_01844:NBLHDMPF_01844|NBLHDMPF_01844	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
KE40|EEHHMH_13300:ydhL:EEHHMH_13300|EEHHMH_13300	NZ_QOYJ01000001.1	97.917	240	5	0	1	240	292795	293034	4.69e-117	416	367566	NZ_QOYJ01000001.1
KE41|PNKGMM_15810:ydhL:PNKGMM_15810|PNKGMM_15810	NZ_QOYJ01000001.1	95.000	240	12	0	1	240	292795	293034	2.21e-105	377	367566	NZ_QOYJ01000001.1
KE46|DADKIG_10935:ydhL:DADKIG_10935|DADKIG_10935	NZ_QOYJ01000001.1	97.917	240	5	0	1	240	292795	293034	4.69e-117	416	367566	NZ_QOYJ01000001.1
KE47|NHFOKF_23245:ydhL:NHFOKF_23245|NHFOKF_23245	NZ_QOYJ01000001.1	97.917	240	5	0	1	240	292795	293034	4.69e-117	416	367566	NZ_QOYJ01000001.1
KE48_PROKKA|KE48_04178:-:KE48_04178|KE48_04178	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
KE50|OOFCCB_17560:ydhL:OOFCCB_17560|OOFCCB_17560	NZ_QOYJ01000001.1	96.667	240	8	0	1	240	292795	293034	4.72e-112	399	367566	NZ_QOYJ01000001.1
KE51|BHDFJC_14910:ydhL:BHDFJC_14910|BHDFJC_14910	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
KE54|NBPOCE_03555:ydhL:NBPOCE_03555|NBPOCE_03555	NZ_QOYJ01000001.1	96.667	240	8	0	1	240	292795	293034	4.72e-112	399	367566	NZ_QOYJ01000001.1
KE55|HDLJKA_11045:ydhL:HDLJKA_11045|HDLJKA_11045	NZ_QOYJ01000001.1	97.500	240	6	0	1	240	292795	293034	2.18e-115	411	367566	NZ_QOYJ01000001.1
KE58|FKGHDH_11265:ydhL:FKGHDH_11265|FKGHDH_11265	NZ_QOYJ01000001.1	97.500	240	6	0	1	240	292795	293034	2.18e-115	411	367566	NZ_QOYJ01000001.1
LRPF007|PGOAJBJE_01874:PGOAJBJE_01874:PGOAJBJE_01874|PGOAJBJE_01874	NZ_QOYJ01000001.1	95.417	240	11	0	1	240	292795	293034	4.76e-107	383	367566	NZ_QOYJ01000001.1
LRPF62|CPONALDP_02567:CPONALDP_02567:CPONALDP_02567|CPONALDP_02567	NZ_QOYJ01000001.1	96.667	240	8	0	1	240	292795	293034	4.72e-112	399	367566	NZ_QOYJ01000001.1
