qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_4065:ydjF:HGG68_RS09955|2b84de5415a5ca9477dbe99a5510e5bf_4065	NZ_QOYG01000001.1	98.814	759	9	0	1	759	271980	271222	0.0	1352	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_03371:ydjF:ECOR11_03371|ECOR11_03371	NZ_QOYG01000001.1	98.682	759	10	0	1	759	271980	271222	0.0	1347	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_02600:ydjF_2:ECOR14_02600|ECOR14_02600	NZ_QOYG01000001.1	98.814	759	9	0	1	759	271980	271222	0.0	1352	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_04036:ydjF_2:ECOR16_04036|ECOR16_04036	NZ_QOYG01000001.1	98.814	759	9	0	1	759	271980	271222	0.0	1352	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02289:-:ECOR23_02289|ECOR23_02289	NZ_QOYG01000001.1	98.814	759	9	0	1	759	271980	271222	0.0	1352	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_02693:-:ECOR44_02693|ECOR44_02693	NZ_QOYG01000001.1	99.605	759	3	0	1	759	271980	271222	0.0	1386	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_01176:-:ECOR48_01176|ECOR48_01176	NZ_QOYG01000001.1	99.209	759	6	0	1	759	271980	271222	0.0	1369	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_00718:-:ECOR49_00718|ECOR49_00718	NZ_QOYG01000001.1	99.736	759	2	0	1	759	271980	271222	0.0	1391	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_03079:-:ECOR4_03079|ECOR4_03079	NZ_QOYG01000001.1	99.078	759	7	0	1	759	271980	271222	0.0	1363	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01463:-:ECOR50_01463|ECOR50_01463	NZ_QOYG01000001.1	99.736	759	2	0	1	759	271980	271222	0.0	1391	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02448:-:ECOR51_02448|ECOR51_02448	NZ_QOYG01000001.1	98.814	759	9	0	1	759	271980	271222	0.0	1352	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01388:-:ECOR52_01388|ECOR52_01388	NZ_QOYG01000001.1	98.814	759	9	0	1	759	271980	271222	0.0	1352	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02485:-:ECOR53_02485|ECOR53_02485	NZ_QOYG01000001.1	99.078	759	7	0	1	759	271980	271222	0.0	1363	782163	NZ_QOYG01000001.1
