qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9554:phnF:HGG68_RS23430|2b84de5415a5ca9477dbe99a5510e5bf_9554	NZ_QOYG01000022.1	97.796	726	16	0	1	726	64492	63767	0.0	1253	67964	NZ_QOYG01000022.1
ECOR11_PROKKA|ECOR11_00062:phnF:ECOR11_00062|ECOR11_00062	NZ_QOYG01000022.1	97.107	726	21	0	1	726	64492	63767	0.0	1225	67964	NZ_QOYG01000022.1
ECOR14_PROKKA|ECOR14_00365:phnF:ECOR14_00365|ECOR14_00365	NZ_QOYG01000022.1	98.760	726	9	0	1	726	64492	63767	0.0	1291	67964	NZ_QOYG01000022.1
ECOR16_PROKKA|ECOR16_01120:phnF:ECOR16_01120|ECOR16_01120	NZ_QOYG01000022.1	97.107	726	21	0	1	726	64492	63767	0.0	1225	67964	NZ_QOYG01000022.1
ECOR23_PROKKA|ECOR23_04137:-:ECOR23_04137|ECOR23_04137	NZ_QOYG01000022.1	97.796	726	16	0	1	726	64492	63767	0.0	1253	67964	NZ_QOYG01000022.1
ECOR44_PROKKA|ECOR44_02403:-:ECOR44_02403|ECOR44_02403	NZ_QOYG01000022.1	100.000	726	0	0	1	726	64492	63767	0.0	1341	67964	NZ_QOYG01000022.1
ECOR48_PROKKA|ECOR48_04333:-:ECOR48_04333|ECOR48_04333	NZ_QOYG01000022.1	99.587	726	3	0	1	726	64492	63767	0.0	1325	67964	NZ_QOYG01000022.1
ECOR49_PROKKA|ECOR49_02696:-:ECOR49_02696|ECOR49_02696	NZ_QOYG01000022.1	99.311	726	5	0	1	726	64492	63767	0.0	1314	67964	NZ_QOYG01000022.1
ECOR4_PROKKA|ECOR4_02743:-:ECOR4_02743|ECOR4_02743	NZ_QOYG01000022.1	97.245	726	20	0	1	726	64492	63767	0.0	1230	67964	NZ_QOYG01000022.1
ECOR50_PROKKA|ECOR50_02050:-:ECOR50_02050|ECOR50_02050	NZ_QOYG01000022.1	99.449	726	4	0	1	726	64492	63767	0.0	1319	67964	NZ_QOYG01000022.1
ECOR51_PROKKA|ECOR51_04424:-:ECOR51_04424|ECOR51_04424	NZ_QOYG01000022.1	97.796	726	16	0	1	726	64492	63767	0.0	1253	67964	NZ_QOYG01000022.1
ECOR52_PROKKA|ECOR52_04145:-:ECOR52_04145|ECOR52_04145	NZ_QOYG01000022.1	97.796	726	16	0	1	726	64492	63767	0.0	1253	67964	NZ_QOYG01000022.1
ECOR53_PROKKA|ECOR53_00757:-:ECOR53_00757|ECOR53_00757	NZ_QOYG01000022.1	98.072	726	14	0	1	726	64492	63767	0.0	1264	67964	NZ_QOYG01000022.1
ECOR54_PROKKA|ECOR54_03724:-:ECOR54_03724|ECOR54_03724	NZ_QOYG01000022.1	97.796	726	16	0	1	726	64492	63767	0.0	1253	67964	NZ_QOYG01000022.1
ECOR55_PROKKA|ECOR55_04399:-:ECOR55_04399|ECOR55_04399	NZ_QOYG01000022.1	97.796	726	16	0	1	726	64492	63767	0.0	1253	67964	NZ_QOYG01000022.1
ECOR56_PROKKA|ECOR56_03866:-:ECOR56_03866|ECOR56_03866	NZ_QOYG01000022.1	97.796	726	16	0	1	726	64492	63767	0.0	1253	67964	NZ_QOYG01000022.1
ECOR60_PROKKA|ECOR60_00673:-:ECOR60_00673|ECOR60_00673	NZ_QOYG01000022.1	98.072	726	14	0	1	726	64492	63767	0.0	1264	67964	NZ_QOYG01000022.1
ECOR61_PROKKA|ECOR61_03414:-:ECOR61_03414|ECOR61_03414	NZ_QOYG01000022.1	97.940	728	15	0	5	732	64494	63767	0.0	1262	67964	NZ_QOYG01000022.1
ECOR62_PROKKA|ECOR62_01216:-:ECOR62_01216|ECOR62_01216	NZ_QOYG01000022.1	97.940	728	15	0	5	732	64494	63767	0.0	1262	67964	NZ_QOYG01000022.1
ECOR64_PROKKA|ECOR64_01711:-:ECOR64_01711|ECOR64_01711	NZ_QOYG01000022.1	96.016	728	29	0	5	732	64494	63767	0.0	1184	67964	NZ_QOYG01000022.1
ECOR66_PROKKA|ECOR66_04089:-:ECOR66_04089|ECOR66_04089	NZ_QOYG01000022.1	96.978	728	22	0	5	732	64494	63767	0.0	1223	67964	NZ_QOYG01000022.1
ECOR6_PROKKA|ECOR6_00045:-:ECOR6_00045|ECOR6_00045	NZ_QOYG01000022.1	98.623	726	10	0	1	726	64492	63767	0.0	1286	67964	NZ_QOYG01000022.1
ECOR8_PROKKA|ECOR8_04514:-:ECOR8_04514|ECOR8_04514	NZ_QOYG01000022.1	97.107	726	21	0	1	726	64492	63767	0.0	1225	67964	NZ_QOYG01000022.1
KE21|HKKLMMAK_03107:phnF:HKKLMMAK_03107|HKKLMMAK_03107	NZ_QOYG01000022.1	97.521	726	18	0	1	726	64492	63767	0.0	1242	67964	NZ_QOYG01000022.1
KE25|NKLEEENC_02956:phnF:NKLEEENC_02956|NKLEEENC_02956	NZ_QOYG01000022.1	97.521	726	18	0	1	726	64492	63767	0.0	1242	67964	NZ_QOYG01000022.1
KE26|AFHKKBMH_00273:phnF:AFHKKBMH_00273|AFHKKBMH_00273	NZ_QOYG01000022.1	97.521	726	18	0	1	726	64492	63767	0.0	1242	67964	NZ_QOYG01000022.1
KE4|NBLHDMPF_04251:phnF:NBLHDMPF_04251|NBLHDMPF_04251	NZ_QOYG01000022.1	98.072	726	14	0	1	726	64492	63767	0.0	1264	67964	NZ_QOYG01000022.1
KE40|EEHHMH_01405:phnF:EEHHMH_01405|EEHHMH_01405	NZ_QOYG01000022.1	100.000	726	0	0	1	726	64492	63767	0.0	1341	67964	NZ_QOYG01000022.1
KE41|PNKGMM_01260:phnF:PNKGMM_01260|PNKGMM_01260	NZ_QOYG01000022.1	96.016	728	29	0	5	732	64494	63767	0.0	1184	67964	NZ_QOYG01000022.1
KE46|DADKIG_21415:phnF:DADKIG_21415|DADKIG_21415	NZ_QOYG01000022.1	97.245	726	20	0	1	726	64492	63767	0.0	1230	67964	NZ_QOYG01000022.1
KE47|NHFOKF_09920:phnF:NHFOKF_09920|NHFOKF_09920	NZ_QOYG01000022.1	100.000	726	0	0	1	726	64492	63767	0.0	1341	67964	NZ_QOYG01000022.1
KE48_PROKKA|KE48_03176:phnF:KE48_03176|KE48_03176	NZ_QOYG01000022.1	97.796	726	16	0	1	726	64492	63767	0.0	1253	67964	NZ_QOYG01000022.1
KE50|OOFCCB_03390:phnF:OOFCCB_03390|OOFCCB_03390	NZ_QOYG01000022.1	97.521	726	18	0	1	726	64492	63767	0.0	1242	67964	NZ_QOYG01000022.1
KE51|BHDFJC_24950:phnF:BHDFJC_24950|BHDFJC_24950	NZ_QOYG01000022.1	97.796	726	16	0	1	726	64492	63767	0.0	1253	67964	NZ_QOYG01000022.1
KE54|NBPOCE_18410:phnF:NBPOCE_18410|NBPOCE_18410	NZ_QOYG01000022.1	97.521	726	18	0	1	726	64492	63767	0.0	1242	67964	NZ_QOYG01000022.1
KE55|HDLJKA_21225:phnF:HDLJKA_21225|HDLJKA_21225	NZ_QOYG01000022.1	99.311	726	5	0	1	726	64492	63767	0.0	1314	67964	NZ_QOYG01000022.1
KE58|FKGHDH_21605:phnF:FKGHDH_21605|FKGHDH_21605	NZ_QOYG01000022.1	97.107	726	21	0	1	726	64492	63767	0.0	1225	67964	NZ_QOYG01000022.1
LRPF007|PGOAJBJE_04321:phnF:PGOAJBJE_04321|PGOAJBJE_04321	NZ_QOYG01000022.1	98.209	726	13	0	1	726	64492	63767	0.0	1269	67964	NZ_QOYG01000022.1
LRPF62|CPONALDP_04706:phnF:CPONALDP_04706|CPONALDP_04706	NZ_QOYG01000022.1	97.521	726	18	0	1	726	64492	63767	0.0	1242	67964	NZ_QOYG01000022.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_8784:phnF:b4102|9d38f563c3a26fdef9221ebcd767f53a_8784	NZ_QOYG01000022.1	97.107	726	21	0	1	726	64492	63767	0.0	1225	67964	NZ_QOYG01000022.1
UTI89|a370e86af943a50f23d4c066bcb16592_8986:phnF:IFE20_RS22070|a370e86af943a50f23d4c066bcb16592_8986	NZ_QOYG01000022.1	97.934	726	15	0	1	726	64492	63767	0.0	1258	67964	NZ_QOYG01000022.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_8517:phnF:Y75_RS21405|a99aee7d8774ee1318b35b64abeb3eab_8517	NZ_QOYG01000022.1	97.107	726	21	0	1	726	64492	63767	0.0	1225	67964	NZ_QOYG01000022.1
