qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_6267:ygcU:HGG68_RS15380|2b84de5415a5ca9477dbe99a5510e5bf_6267	NZ_QOYG01000002.1	95.876	1455	60	0	1	1455	577510	578964	0.0	2355	724032	NZ_QOYG01000002.1
ECOR11_PROKKA|ECOR11_04119:ygcU:ECOR11_04119|ECOR11_04119	NZ_QOYG01000002.1	97.045	1455	43	0	1	1455	577510	578964	0.0	2449	724032	NZ_QOYG01000002.1
ECOR14_PROKKA|ECOR14_03767:-:ECOR14_03767|ECOR14_03767	NZ_QOYG01000002.1	97.045	1455	43	0	1	1455	577510	578964	0.0	2449	724032	NZ_QOYG01000002.1
ECOR16_PROKKA|ECOR16_00727:-:ECOR16_00727|ECOR16_00727	NZ_QOYG01000002.1	97.320	1455	39	0	1	1455	577510	578964	0.0	2471	724032	NZ_QOYG01000002.1
ECOR23_PROKKA|ECOR23_02880:-:ECOR23_02880|ECOR23_02880	NZ_QOYG01000002.1	95.876	1455	60	0	1	1455	577510	578964	0.0	2355	724032	NZ_QOYG01000002.1
ECOR44_PROKKA|ECOR44_00098:-:ECOR44_00098|ECOR44_00098	NZ_QOYG01000002.1	99.656	1455	5	0	1	1455	577510	578964	0.0	2660	724032	NZ_QOYG01000002.1
ECOR48_PROKKA|ECOR48_01668:-:ECOR48_01668|ECOR48_01668	NZ_QOYG01000002.1	97.938	1455	30	0	1	1455	577510	578964	0.0	2521	724032	NZ_QOYG01000002.1
ECOR49_PROKKA|ECOR49_03235:-:ECOR49_03235|ECOR49_03235	NZ_QOYG01000002.1	100.000	1455	0	0	1	1455	577510	578964	0.0	2687	724032	NZ_QOYG01000002.1
ECOR4_PROKKA|ECOR4_00640:-:ECOR4_00640|ECOR4_00640	NZ_QOYG01000002.1	97.320	1455	39	0	1	1455	577510	578964	0.0	2471	724032	NZ_QOYG01000002.1
ECOR50_PROKKA|ECOR50_03592:-:ECOR50_03592|ECOR50_03592	NZ_QOYG01000002.1	100.000	1455	0	0	1	1455	577510	578964	0.0	2687	724032	NZ_QOYG01000002.1
ECOR51_PROKKA|ECOR51_03065:-:ECOR51_03065|ECOR51_03065	NZ_QOYG01000002.1	95.876	1455	60	0	1	1455	577510	578964	0.0	2355	724032	NZ_QOYG01000002.1
ECOR52_PROKKA|ECOR52_03735:-:ECOR52_03735|ECOR52_03735	NZ_QOYG01000002.1	95.876	1455	60	0	1	1455	577510	578964	0.0	2355	724032	NZ_QOYG01000002.1
ECOR53_PROKKA|ECOR53_00466:-:ECOR53_00466|ECOR53_00466	NZ_QOYG01000002.1	96.151	1455	56	0	1	1455	577510	578964	0.0	2377	724032	NZ_QOYG01000002.1
ECOR54_PROKKA|ECOR54_02744:-:ECOR54_02744|ECOR54_02744	NZ_QOYG01000002.1	95.876	1455	60	0	1	1455	577510	578964	0.0	2355	724032	NZ_QOYG01000002.1
ECOR55_PROKKA|ECOR55_03525:-:ECOR55_03525|ECOR55_03525	NZ_QOYG01000002.1	95.876	1455	60	0	1	1455	577510	578964	0.0	2355	724032	NZ_QOYG01000002.1
ECOR56_PROKKA|ECOR56_04570:-:ECOR56_04570|ECOR56_04570	NZ_QOYG01000002.1	95.876	1455	60	0	1	1455	577510	578964	0.0	2355	724032	NZ_QOYG01000002.1
ECOR60_PROKKA|ECOR60_01590:-:ECOR60_01590|ECOR60_01590	NZ_QOYG01000002.1	96.082	1455	57	0	1	1455	577510	578964	0.0	2372	724032	NZ_QOYG01000002.1
ECOR61_PROKKA|ECOR61_00380:-:ECOR61_00380|ECOR61_00380	NZ_QOYG01000002.1	96.289	1455	54	0	1	1455	577510	578964	0.0	2388	724032	NZ_QOYG01000002.1
ECOR62_PROKKA|ECOR62_02619:-:ECOR62_02619|ECOR62_02619	NZ_QOYG01000002.1	96.289	1455	54	0	1	1455	577510	578964	0.0	2388	724032	NZ_QOYG01000002.1
