qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
ECOR11_PROKKA|ECOR11_03760:dnaG:ECOR11_03760|ECOR11_03760	NZ_CP051263.1	98.911	1744	18	1	1	1744	3662530	3664272	0.0	3114	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR14_PROKKA|ECOR14_03117:dnaG:ECOR14_03117|ECOR14_03117	NZ_CP051263.1	99.026	1746	16	1	1	1746	3662530	3664274	0.0	3129	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR16_PROKKA|ECOR16_01700:dnaG:ECOR16_01700|ECOR16_01700	NZ_CP051263.1	99.026	1746	16	1	1	1746	3662530	3664274	0.0	3129	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR23_PROKKA|ECOR23_03222:-:ECOR23_03222|ECOR23_03222	NZ_CP051263.1	99.943	1746	0	1	1	1746	3662530	3664274	0.0	3217	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR44_PROKKA|ECOR44_03657:-:ECOR44_03657|ECOR44_03657	NZ_CP051263.1	98.797	1746	20	1	1	1746	3662530	3664274	0.0	3107	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR48_PROKKA|ECOR48_01244:-:ECOR48_01244|ECOR48_01244	NZ_CP051263.1	98.797	1746	20	1	1	1746	3662530	3664274	0.0	3107	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR49_PROKKA|ECOR49_03725:-:ECOR49_03725|ECOR49_03725	NZ_CP051263.1	98.969	1746	17	1	1	1746	3662530	3664274	0.0	3123	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR4_PROKKA|ECOR4_01176:-:ECOR4_01176|ECOR4_01176	NZ_CP051263.1	98.969	1746	17	1	1	1746	3662530	3664274	0.0	3123	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR50_PROKKA|ECOR50_04050:-:ECOR50_04050|ECOR50_04050	NZ_CP051263.1	98.969	1746	17	1	1	1746	3662530	3664274	0.0	3123	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR51_PROKKA|ECOR51_03468:-:ECOR51_03468|ECOR51_03468	NZ_CP051263.1	99.943	1746	0	1	1	1746	3662530	3664274	0.0	3217	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR52_PROKKA|ECOR52_02880:-:ECOR52_02880|ECOR52_02880	NZ_CP051263.1	99.943	1746	0	1	1	1746	3662530	3664274	0.0	3217	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR53_PROKKA|ECOR53_03416:-:ECOR53_03416|ECOR53_03416	NZ_CP051263.1	99.313	1746	11	1	1	1746	3662530	3664274	0.0	3157	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR54_PROKKA|ECOR54_03055:-:ECOR54_03055|ECOR54_03055	NZ_CP051263.1	99.943	1746	0	1	1	1746	3662530	3664274	0.0	3217	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR55_PROKKA|ECOR55_02729:-:ECOR55_02729|ECOR55_02729	NZ_CP051263.1	99.943	1746	0	1	1	1746	3662530	3664274	0.0	3217	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR56_PROKKA|ECOR56_02924:-:ECOR56_02924|ECOR56_02924	NZ_CP051263.1	99.943	1746	0	1	1	1746	3662530	3664274	0.0	3217	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR60_PROKKA|ECOR60_04662:-:ECOR60_04662|ECOR60_04662	NZ_CP051263.1	99.313	1746	11	1	1	1746	3662530	3664274	0.0	3157	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR61_PROKKA|ECOR61_00675:-:ECOR61_00675|ECOR61_00675	NZ_CP051263.1	99.714	1746	4	1	1	1746	3662530	3664274	0.0	3195	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR62_PROKKA|ECOR62_00965:-:ECOR62_00965|ECOR62_00965	NZ_CP051263.1	99.714	1746	4	1	1	1746	3662530	3664274	0.0	3195	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR64_PROKKA|ECOR64_02401:-:ECOR64_02401|ECOR64_02401	NZ_CP051263.1	99.427	1746	9	1	1	1746	3662530	3664274	0.0	3168	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR66_PROKKA|ECOR66_04226:-:ECOR66_04226|ECOR66_04226	NZ_CP051263.1	99.255	1746	12	1	1	1746	3662530	3664274	0.0	3151	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR6_PROKKA|ECOR6_01725:-:ECOR6_01725|ECOR6_01725	NZ_CP051263.1	99.026	1746	16	1	1	1746	3662530	3664274	0.0	3129	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
ECOR8_PROKKA|ECOR8_03774:-:ECOR8_03774|ECOR8_03774	NZ_CP051263.1	99.026	1746	16	1	1	1746	3662530	3664274	0.0	3129	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE21|HKKLMMAK_01963:dnaG:HKKLMMAK_01963|HKKLMMAK_01963	NZ_CP051263.1	99.370	1746	10	1	1	1746	3662530	3664274	0.0	3162	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE24|FLBELDDJ_02539:dnaG:FLBELDDJ_02539|FLBELDDJ_02539	NZ_CP051263.1	99.026	1746	16	1	1	1746	3662530	3664274	0.0	3129	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE25|NKLEEENC_01802:dnaG:NKLEEENC_01802|NKLEEENC_01802	NZ_CP051263.1	99.370	1746	10	1	1	1746	3662530	3664274	0.0	3162	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE26|AFHKKBMH_03939:dnaG:AFHKKBMH_03939|AFHKKBMH_03939	NZ_CP051263.1	99.370	1746	10	1	1	1746	3662530	3664274	0.0	3162	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE4|NBLHDMPF_00202:dnaG:NBLHDMPF_00202|NBLHDMPF_00202	NZ_CP051263.1	99.313	1746	11	1	1	1746	3662530	3664274	0.0	3157	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE40|EEHHMH_21900:dnaG:EEHHMH_21900|EEHHMH_21900	NZ_CP051263.1	99.313	1746	11	1	1	1746	3662530	3664274	0.0	3157	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE41|PNKGMM_07130:dnaG:PNKGMM_07130|PNKGMM_07130	NZ_CP051263.1	99.026	1746	16	1	1	1746	3662530	3664274	0.0	3129	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE46|DADKIG_03385:dnaG:DADKIG_03385|DADKIG_03385	NZ_CP051263.1	98.797	1746	20	1	1	1746	3662530	3664274	0.0	3107	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE47|NHFOKF_15545:dnaG:NHFOKF_15545|NHFOKF_15545	NZ_CP051263.1	99.313	1746	11	1	1	1746	3662530	3664274	0.0	3157	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE48_PROKKA|KE48_02048:dnaG:KE48_02048|KE48_02048	NZ_CP051263.1	99.943	1746	0	1	1	1746	3662530	3664274	0.0	3217	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE50|OOFCCB_09105:dnaG:OOFCCB_09105|OOFCCB_09105	NZ_CP051263.1	99.370	1746	10	1	1	1746	3662530	3664274	0.0	3162	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE51|BHDFJC_05050:dnaG:BHDFJC_05050|BHDFJC_05050	NZ_CP051263.1	99.943	1746	0	1	1	1746	3662530	3664274	0.0	3217	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE54|NBPOCE_12240:dnaG:NBPOCE_12240|NBPOCE_12240	NZ_CP051263.1	99.370	1746	10	1	1	1746	3662530	3664274	0.0	3162	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE55|HDLJKA_03355:dnaG:HDLJKA_03355|HDLJKA_03355	NZ_CP051263.1	99.026	1746	16	1	1	1746	3662530	3664274	0.0	3129	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
KE58|FKGHDH_03355:dnaG:FKGHDH_03355|FKGHDH_03355	NZ_CP051263.1	99.026	1746	16	1	1	1746	3662530	3664274	0.0	3129	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
LRPF007|PGOAJBJE_03204:dnaG:PGOAJBJE_03204|PGOAJBJE_03204	NZ_CP051263.1	99.370	1746	10	1	1	1746	3662530	3664274	0.0	3162	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
LRPF62|CPONALDP_00841:dnaG:CPONALDP_00841|CPONALDP_00841	NZ_CP051263.1	99.370	1746	10	1	1	1746	3662530	3664274	0.0	3162	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
MG1655|9d38f563c3a26fdef9221ebcd767f53a_6560:dnaG:b3066|9d38f563c3a26fdef9221ebcd767f53a_6560	NZ_CP051263.1	99.026	1746	16	1	1	1746	3662530	3664274	0.0	3129	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
UTI89|a370e86af943a50f23d4c066bcb16592_6745:dnaG:IFE20_RS16605|a370e86af943a50f23d4c066bcb16592_6745	NZ_CP051263.1	99.771	1746	3	1	1	1746	3662530	3664274	0.0	3201	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
W3110|a99aee7d8774ee1318b35b64abeb3eab_6357:dnaG:Y75_RS15965|a99aee7d8774ee1318b35b64abeb3eab_6357	NZ_CP051263.1	99.026	1746	16	1	1	1746	3662530	3664274	0.0	3129	5242376	NZ_CP051263.1 Escherichia coli CFT073 chromosome, complete genome
