qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9320:aceA:HGG68_RS22845|2b84de5415a5ca9477dbe99a5510e5bf_9320	NZ_QOYG01000018.1	97.625	1305	31	0	1	1305	80472	79168	0.0	2239	84413	NZ_QOYG01000018.1
ECOR11_PROKKA|ECOR11_00155:aceA:ECOR11_00155|ECOR11_00155	NZ_QOYG01000018.1	97.241	1305	36	0	1	1305	80472	79168	0.0	2211	84413	NZ_QOYG01000018.1
ECOR14_PROKKA|ECOR14_00458:aceA:ECOR14_00458|ECOR14_00458	NZ_QOYG01000018.1	96.858	1305	41	0	1	1305	80472	79168	0.0	2183	84413	NZ_QOYG01000018.1
ECOR16_PROKKA|ECOR16_01214:aceA:ECOR16_01214|ECOR16_01214	NZ_QOYG01000018.1	97.241	1305	36	0	1	1305	80472	79168	0.0	2211	84413	NZ_QOYG01000018.1
ECOR23_PROKKA|ECOR23_00819:-:ECOR23_00819|ECOR23_00819	NZ_QOYG01000018.1	97.625	1305	31	0	1	1305	80472	79168	0.0	2239	84413	NZ_QOYG01000018.1
ECOR44_PROKKA|ECOR44_02767:-:ECOR44_02767|ECOR44_02767	NZ_QOYG01000018.1	98.084	1305	25	0	1	1305	80472	79168	0.0	2272	84413	NZ_QOYG01000018.1
ECOR48_PROKKA|ECOR48_04244:-:ECOR48_04244|ECOR48_04244	NZ_QOYG01000018.1	98.314	1305	22	0	1	1305	80472	79168	0.0	2289	84413	NZ_QOYG01000018.1
ECOR4_PROKKA|ECOR4_02836:-:ECOR4_02836|ECOR4_02836	NZ_QOYG01000018.1	96.935	1305	40	0	1	1305	80472	79168	0.0	2189	84413	NZ_QOYG01000018.1
ECOR50_PROKKA|ECOR50_04653:-:ECOR50_04653|ECOR50_04653	NZ_QOYG01000018.1	99.923	1305	1	0	1	1305	80472	79168	0.0	2405	84413	NZ_QOYG01000018.1
ECOR51_PROKKA|ECOR51_01245:-:ECOR51_01245|ECOR51_01245	NZ_QOYG01000018.1	97.625	1305	31	0	1	1305	80472	79168	0.0	2239	84413	NZ_QOYG01000018.1
ECOR52_PROKKA|ECOR52_00871:-:ECOR52_00871|ECOR52_00871	NZ_QOYG01000018.1	97.625	1305	31	0	1	1305	80472	79168	0.0	2239	84413	NZ_QOYG01000018.1
ECOR53_PROKKA|ECOR53_01857:-:ECOR53_01857|ECOR53_01857	NZ_QOYG01000018.1	97.548	1305	32	0	1	1305	80472	79168	0.0	2233	84413	NZ_QOYG01000018.1
ECOR54_PROKKA|ECOR54_03604:-:ECOR54_03604|ECOR54_03604	NZ_QOYG01000018.1	97.625	1305	31	0	1	1305	80472	79168	0.0	2239	84413	NZ_QOYG01000018.1
ECOR55_PROKKA|ECOR55_01044:-:ECOR55_01044|ECOR55_01044	NZ_QOYG01000018.1	97.625	1305	31	0	1	1305	80472	79168	0.0	2239	84413	NZ_QOYG01000018.1
ECOR56_PROKKA|ECOR56_01217:-:ECOR56_01217|ECOR56_01217	NZ_QOYG01000018.1	97.625	1305	31	0	1	1305	80472	79168	0.0	2239	84413	NZ_QOYG01000018.1
ECOR60_PROKKA|ECOR60_00557:-:ECOR60_00557|ECOR60_00557	NZ_QOYG01000018.1	97.548	1305	32	0	1	1305	80472	79168	0.0	2233	84413	NZ_QOYG01000018.1
ECOR61_PROKKA|ECOR61_02514:-:ECOR61_02514|ECOR61_02514	NZ_QOYG01000018.1	97.471	1305	33	0	1	1305	80472	79168	0.0	2228	84413	NZ_QOYG01000018.1
ECOR62_PROKKA|ECOR62_01349:-:ECOR62_01349|ECOR62_01349	NZ_QOYG01000018.1	97.395	1305	34	0	1	1305	80472	79168	0.0	2222	84413	NZ_QOYG01000018.1
ECOR64_PROKKA|ECOR64_01009:-:ECOR64_01009|ECOR64_01009	NZ_QOYG01000018.1	97.471	1305	33	0	1	1305	80472	79168	0.0	2228	84413	NZ_QOYG01000018.1
ECOR66_PROKKA|ECOR66_04202:-:ECOR66_04202|ECOR66_04202	NZ_QOYG01000018.1	97.471	1305	33	0	1	1305	80472	79168	0.0	2228	84413	NZ_QOYG01000018.1
