qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_6259:ygcP:HGG68_RS15360|2b84de5415a5ca9477dbe99a5510e5bf_6259	NZ_QOYG01000002.1	97.222	576	16	0	1	576	582731	582156	0.0	976	724032	NZ_QOYG01000002.1
ECOR11_PROKKA|ECOR11_04115:ygcP:ECOR11_04115|ECOR11_04115	NZ_QOYG01000002.1	97.917	576	12	0	1	576	582731	582156	0.0	998	724032	NZ_QOYG01000002.1
ECOR14_PROKKA|ECOR14_03771:ygcP:ECOR14_03771|ECOR14_03771	NZ_QOYG01000002.1	97.917	576	12	0	1	576	582731	582156	0.0	998	724032	NZ_QOYG01000002.1
ECOR16_PROKKA|ECOR16_00731:ygcP:ECOR16_00731|ECOR16_00731	NZ_QOYG01000002.1	97.917	576	12	0	1	576	582731	582156	0.0	998	724032	NZ_QOYG01000002.1
ECOR23_PROKKA|ECOR23_02884:-:ECOR23_02884|ECOR23_02884	NZ_QOYG01000002.1	97.222	576	16	0	1	576	582731	582156	0.0	976	724032	NZ_QOYG01000002.1
ECOR44_PROKKA|ECOR44_00094:-:ECOR44_00094|ECOR44_00094	NZ_QOYG01000002.1	97.222	576	16	0	1	576	582731	582156	0.0	976	724032	NZ_QOYG01000002.1
ECOR48_PROKKA|ECOR48_01672:-:ECOR48_01672|ECOR48_01672	NZ_QOYG01000002.1	98.438	576	9	0	1	576	582731	582156	0.0	1014	724032	NZ_QOYG01000002.1
ECOR49_PROKKA|ECOR49_00217:-:ECOR49_00217|ECOR49_00217	NZ_QOYG01000002.1	96.528	576	20	0	1	576	582731	582156	0.0	953	724032	NZ_QOYG01000002.1
ECOR4_PROKKA|ECOR4_00644:-:ECOR4_00644|ECOR4_00644	NZ_QOYG01000002.1	97.917	576	12	0	1	576	582731	582156	0.0	998	724032	NZ_QOYG01000002.1
ECOR50_PROKKA|ECOR50_01668:-:ECOR50_01668|ECOR50_01668	NZ_QOYG01000002.1	96.528	576	20	0	1	576	582731	582156	0.0	953	724032	NZ_QOYG01000002.1
ECOR51_PROKKA|ECOR51_03069:-:ECOR51_03069|ECOR51_03069	NZ_QOYG01000002.1	97.222	576	16	0	1	576	582731	582156	0.0	976	724032	NZ_QOYG01000002.1
ECOR52_PROKKA|ECOR52_03739:-:ECOR52_03739|ECOR52_03739	NZ_QOYG01000002.1	97.222	576	16	0	1	576	582731	582156	0.0	976	724032	NZ_QOYG01000002.1
ECOR53_PROKKA|ECOR53_00462:-:ECOR53_00462|ECOR53_00462	NZ_QOYG01000002.1	97.396	576	15	0	1	576	582731	582156	0.0	981	724032	NZ_QOYG01000002.1
ECOR54_PROKKA|ECOR54_02748:-:ECOR54_02748|ECOR54_02748	NZ_QOYG01000002.1	97.222	576	16	0	1	576	582731	582156	0.0	976	724032	NZ_QOYG01000002.1
ECOR55_PROKKA|ECOR55_03529:-:ECOR55_03529|ECOR55_03529	NZ_QOYG01000002.1	97.222	576	16	0	1	576	582731	582156	0.0	976	724032	NZ_QOYG01000002.1
ECOR56_PROKKA|ECOR56_04566:-:ECOR56_04566|ECOR56_04566	NZ_QOYG01000002.1	97.222	576	16	0	1	576	582731	582156	0.0	976	724032	NZ_QOYG01000002.1
ECOR60_PROKKA|ECOR60_01586:-:ECOR60_01586|ECOR60_01586	NZ_QOYG01000002.1	97.396	576	15	0	1	576	582731	582156	0.0	981	724032	NZ_QOYG01000002.1
ECOR61_PROKKA|ECOR61_00384:-:ECOR61_00384|ECOR61_00384	NZ_QOYG01000002.1	97.396	576	15	0	1	576	582731	582156	0.0	981	724032	NZ_QOYG01000002.1
ECOR62_PROKKA|ECOR62_02623:-:ECOR62_02623|ECOR62_02623	NZ_QOYG01000002.1	97.396	576	15	0	1	576	582731	582156	0.0	981	724032	NZ_QOYG01000002.1
ECOR64_PROKKA|ECOR64_03995:-:ECOR64_03995|ECOR64_03995	NZ_QOYG01000002.1	97.396	576	15	0	1	576	582731	582156	0.0	981	724032	NZ_QOYG01000002.1
ECOR66_PROKKA|ECOR66_03906:-:ECOR66_03906|ECOR66_03906	NZ_QOYG01000002.1	97.222	576	16	0	1	576	582731	582156	0.0	976	724032	NZ_QOYG01000002.1
ECOR6_PROKKA|ECOR6_00369:-:ECOR6_00369|ECOR6_00369	NZ_QOYG01000002.1	97.917	576	12	0	1	576	582731	582156	0.0	998	724032	NZ_QOYG01000002.1
ECOR8_PROKKA|ECOR8_03108:-:ECOR8_03108|ECOR8_03108	NZ_QOYG01000002.1	97.917	576	12	0	1	576	582731	582156	0.0	998	724032	NZ_QOYG01000002.1
KE21|HKKLMMAK_01511:ygcP:HKKLMMAK_01511|HKKLMMAK_01511	NZ_QOYG01000002.1	97.396	576	15	0	1	576	582731	582156	0.0	981	724032	NZ_QOYG01000002.1
KE24|FLBELDDJ_02988:ygcP:FLBELDDJ_02988|FLBELDDJ_02988	NZ_QOYG01000002.1	97.743	576	13	0	1	576	582731	582156	0.0	992	724032	NZ_QOYG01000002.1
KE25|NKLEEENC_03479:ygcP:NKLEEENC_03479|NKLEEENC_03479	NZ_QOYG01000002.1	97.222	576	16	0	1	576	582731	582156	0.0	976	724032	NZ_QOYG01000002.1
KE26|AFHKKBMH_03531:ygcP:AFHKKBMH_03531|AFHKKBMH_03531	NZ_QOYG01000002.1	97.396	576	15	0	1	576	582731	582156	0.0	981	724032	NZ_QOYG01000002.1
KE4|NBLHDMPF_00542:ygcP:NBLHDMPF_00542|NBLHDMPF_00542	NZ_QOYG01000002.1	97.396	576	15	0	1	576	582731	582156	0.0	981	724032	NZ_QOYG01000002.1
KE40|EEHHMH_19960:ygcP:EEHHMH_19960|EEHHMH_19960	NZ_QOYG01000002.1	100.000	576	0	0	1	576	582731	582156	0.0	1064	724032	NZ_QOYG01000002.1
KE41|PNKGMM_09605:ygcP:PNKGMM_09605|PNKGMM_09605	NZ_QOYG01000002.1	97.396	576	15	0	1	576	582731	582156	0.0	981	724032	NZ_QOYG01000002.1
KE47|NHFOKF_17315:ygcP:NHFOKF_17315|NHFOKF_17315	NZ_QOYG01000002.1	100.000	576	0	0	1	576	582731	582156	0.0	1064	724032	NZ_QOYG01000002.1
KE48_PROKKA|KE48_01703:ygcP:KE48_01703|KE48_01703	NZ_QOYG01000002.1	97.222	576	16	0	1	576	582731	582156	0.0	976	724032	NZ_QOYG01000002.1
KE50|OOFCCB_11150:ygcP:OOFCCB_11150|OOFCCB_11150	NZ_QOYG01000002.1	97.396	576	15	0	1	576	582731	582156	0.0	981	724032	NZ_QOYG01000002.1
KE51|BHDFJC_06840:ygcP:BHDFJC_06840|BHDFJC_06840	NZ_QOYG01000002.1	97.049	576	17	0	1	576	582731	582156	0.0	970	724032	NZ_QOYG01000002.1
KE54|NBPOCE_09955:ygcP:NBPOCE_09955|NBPOCE_09955	NZ_QOYG01000002.1	97.396	576	15	0	1	576	582731	582156	0.0	981	724032	NZ_QOYG01000002.1
KE55|HDLJKA_05110:ygcP:HDLJKA_05110|HDLJKA_05110	NZ_QOYG01000002.1	98.264	576	10	0	1	576	582731	582156	0.0	1009	724032	NZ_QOYG01000002.1
KE58|FKGHDH_05050:ygcP:FKGHDH_05050|FKGHDH_05050	NZ_QOYG01000002.1	97.917	576	12	0	1	576	582731	582156	0.0	998	724032	NZ_QOYG01000002.1
LRPF007|PGOAJBJE_03654:ygcP:PGOAJBJE_03654|PGOAJBJE_03654	NZ_QOYG01000002.1	97.569	576	14	0	1	576	582731	582156	0.0	987	724032	NZ_QOYG01000002.1
LRPF62|CPONALDP_01304:ygcP:CPONALDP_01304|CPONALDP_01304	NZ_QOYG01000002.1	97.222	576	16	0	1	576	582731	582156	0.0	976	724032	NZ_QOYG01000002.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_5928:ygcP:b2768|9d38f563c3a26fdef9221ebcd767f53a_5928	NZ_QOYG01000002.1	97.917	576	12	0	1	576	582731	582156	0.0	998	724032	NZ_QOYG01000002.1
UTI89|a370e86af943a50f23d4c066bcb16592_6027:ygcP:IFE20_RS14835|a370e86af943a50f23d4c066bcb16592_6027	NZ_QOYG01000002.1	97.396	576	15	0	1	576	582731	582156	0.0	981	724032	NZ_QOYG01000002.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_5756:ygcP:Y75_RS14435|a99aee7d8774ee1318b35b64abeb3eab_5756	NZ_QOYG01000002.1	97.917	576	12	0	1	576	582731	582156	0.0	998	724032	NZ_QOYG01000002.1
