qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1052:acrB:HGG68_RS02580|2b84de5415a5ca9477dbe99a5510e5bf_1052	NZ_QOYG01000010.1	98.698	3150	41	0	1	3150	10180	7031	0.0	5590	122006	NZ_QOYG01000010.1
ECOR14_PROKKA|ECOR14_03842:acrB_2:ECOR14_03842|ECOR14_03842	NZ_QOYG01000010.1	98.952	3150	33	0	1	3150	10180	7031	0.0	5635	122006	NZ_QOYG01000010.1
ECOR16_PROKKA|ECOR16_03154:acrB_1:ECOR16_03154|ECOR16_03154	NZ_QOYG01000010.1	99.270	3150	23	0	1	3150	10180	7031	0.0	5690	122006	NZ_QOYG01000010.1
ECOR23_PROKKA|ECOR23_03678:-:ECOR23_03678|ECOR23_03678	NZ_QOYG01000010.1	98.730	3150	40	0	1	3150	10180	7031	0.0	5596	122006	NZ_QOYG01000010.1
ECOR44_PROKKA|ECOR44_00627:-:ECOR44_00627|ECOR44_00627	NZ_QOYG01000010.1	99.937	3150	2	0	1	3150	10180	7031	0.0	5806	122006	NZ_QOYG01000010.1
ECOR48_PROKKA|ECOR48_01857:-:ECOR48_01857|ECOR48_01857	NZ_QOYG01000010.1	99.492	3150	16	0	1	3150	10180	7031	0.0	5729	122006	NZ_QOYG01000010.1
ECOR49_PROKKA|ECOR49_00006:-:ECOR49_00006|ECOR49_00006	NZ_QOYG01000010.1	99.784	1848	4	0	1	1848	8878	7031	0.0	3391	122006	NZ_QOYG01000010.1
ECOR4_PROKKA|ECOR4_03731:-:ECOR4_03731|ECOR4_03731	NZ_QOYG01000010.1	98.952	3150	33	0	1	3150	10180	7031	0.0	5635	122006	NZ_QOYG01000010.1
ECOR50_PROKKA|ECOR50_03012:-:ECOR50_03012|ECOR50_03012	NZ_QOYG01000010.1	99.492	3150	16	0	1	3150	10180	7031	0.0	5729	122006	NZ_QOYG01000010.1
ECOR51_PROKKA|ECOR51_00445:-:ECOR51_00445|ECOR51_00445	NZ_QOYG01000010.1	98.730	3150	40	0	1	3150	10180	7031	0.0	5596	122006	NZ_QOYG01000010.1
ECOR52_PROKKA|ECOR52_03994:-:ECOR52_03994|ECOR52_03994	NZ_QOYG01000010.1	98.730	3150	40	0	1	3150	10180	7031	0.0	5596	122006	NZ_QOYG01000010.1
ECOR53_PROKKA|ECOR53_03722:-:ECOR53_03722|ECOR53_03722	NZ_QOYG01000010.1	97.968	3150	64	0	1	3150	10180	7031	0.0	5463	122006	NZ_QOYG01000010.1
ECOR54_PROKKA|ECOR54_03365:-:ECOR54_03365|ECOR54_03365	NZ_QOYG01000010.1	98.730	3150	40	0	1	3150	10180	7031	0.0	5596	122006	NZ_QOYG01000010.1
ECOR55_PROKKA|ECOR55_03105:-:ECOR55_03105|ECOR55_03105	NZ_QOYG01000010.1	98.730	3150	40	0	1	3150	10180	7031	0.0	5596	122006	NZ_QOYG01000010.1
ECOR56_PROKKA|ECOR56_00575:-:ECOR56_00575|ECOR56_00575	NZ_QOYG01000010.1	98.730	3150	40	0	1	3150	10180	7031	0.0	5596	122006	NZ_QOYG01000010.1
ECOR60_PROKKA|ECOR60_00384:-:ECOR60_00384|ECOR60_00384	NZ_QOYG01000010.1	97.968	3150	64	0	1	3150	10180	7031	0.0	5463	122006	NZ_QOYG01000010.1
ECOR61_PROKKA|ECOR61_01431:-:ECOR61_01431|ECOR61_01431	NZ_QOYG01000010.1	97.937	3150	65	0	1	3150	10180	7031	0.0	5457	122006	NZ_QOYG01000010.1
ECOR62_PROKKA|ECOR62_03490:-:ECOR62_03490|ECOR62_03490	NZ_QOYG01000010.1	97.937	3150	65	0	1	3150	10180	7031	0.0	5457	122006	NZ_QOYG01000010.1
ECOR64_PROKKA|ECOR64_03818:-:ECOR64_03818|ECOR64_03818	NZ_QOYG01000010.1	98.825	3150	37	0	1	3150	10180	7031	0.0	5613	122006	NZ_QOYG01000010.1
ECOR66_PROKKA|ECOR66_01160:-:ECOR66_01160|ECOR66_01160	NZ_QOYG01000010.1	98.921	3150	34	0	1	3150	10180	7031	0.0	5629	122006	NZ_QOYG01000010.1
