qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_5743:yphG:HGG68_RS14110|2b84de5415a5ca9477dbe99a5510e5bf_5743	NZ_QOYG01000017.1	96.527	3282	114	0	1	3282	63442	60161	0.0	5430	95160	NZ_QOYG01000017.1
ECOR11_PROKKA|ECOR11_01282:-:ECOR11_01282|ECOR11_01282	NZ_QOYG01000017.1	97.319	3282	88	0	1	3282	63442	60161	0.0	5574	95160	NZ_QOYG01000017.1
ECOR14_PROKKA|ECOR14_01073:lapB_1:ECOR14_01073|ECOR14_01073	NZ_QOYG01000017.1	97.806	3282	72	0	1	3282	63442	60161	0.0	5662	95160	NZ_QOYG01000017.1
ECOR16_PROKKA|ECOR16_03509:lapB_2:ECOR16_03509|ECOR16_03509	NZ_QOYG01000017.1	97.715	3282	75	0	1	3282	63442	60161	0.0	5646	95160	NZ_QOYG01000017.1
ECOR23_PROKKA|ECOR23_01155:-:ECOR23_01155|ECOR23_01155	NZ_QOYG01000017.1	96.527	3282	114	0	1	3282	63442	60161	0.0	5430	95160	NZ_QOYG01000017.1
ECOR44_PROKKA|ECOR44_04825:-:ECOR44_04825|ECOR44_04825	NZ_QOYG01000017.1	99.970	3282	1	0	1	3282	63442	60161	0.0	6056	95160	NZ_QOYG01000017.1
ECOR48_PROKKA|ECOR48_00377:-:ECOR48_00377|ECOR48_00377	NZ_QOYG01000017.1	96.527	3282	114	0	1	3282	63442	60161	0.0	5430	95160	NZ_QOYG01000017.1
ECOR49_PROKKA|ECOR49_04246:-:ECOR49_04246|ECOR49_04246	NZ_QOYG01000017.1	97.959	3282	67	0	1	3282	63442	60161	0.0	5690	95160	NZ_QOYG01000017.1
ECOR50_PROKKA|ECOR50_04988:-:ECOR50_04988|ECOR50_04988	NZ_QOYG01000017.1	97.928	3282	68	0	1	3282	63442	60161	0.0	5685	95160	NZ_QOYG01000017.1
ECOR51_PROKKA|ECOR51_01800:-:ECOR51_01800|ECOR51_01800	NZ_QOYG01000017.1	96.527	3282	114	0	1	3282	63442	60161	0.0	5430	95160	NZ_QOYG01000017.1
ECOR52_PROKKA|ECOR52_00048:-:ECOR52_00048|ECOR52_00048	NZ_QOYG01000017.1	96.527	3282	114	0	1	3282	63442	60161	0.0	5430	95160	NZ_QOYG01000017.1
ECOR53_PROKKA|ECOR53_01279:-:ECOR53_01279|ECOR53_01279	NZ_QOYG01000017.1	96.283	3282	122	0	1	3282	63442	60161	0.0	5385	95160	NZ_QOYG01000017.1
ECOR54_PROKKA|ECOR54_01626:-:ECOR54_01626|ECOR54_01626	NZ_QOYG01000017.1	96.496	3282	115	0	1	3282	63442	60161	0.0	5424	95160	NZ_QOYG01000017.1
