qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_4073:ydjJ:HGG68_RS09975|2b84de5415a5ca9477dbe99a5510e5bf_4073	NZ_QOYG01000001.1	97.797	1044	23	0	1	1044	275959	274916	0.0	1801	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_03367:ydjJ:ECOR11_03367|ECOR11_03367	NZ_QOYG01000001.1	97.701	1044	24	0	1	1044	275959	274916	0.0	1796	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_00252:ydjJ:ECOR14_00252|ECOR14_00252	NZ_QOYG01000001.1	97.222	1044	29	0	1	1044	275959	274916	0.0	1768	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_02064:ydjJ:ECOR16_02064|ECOR16_02064	NZ_QOYG01000001.1	97.632	887	21	0	1	887	275959	275073	0.0	1522	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02285:-:ECOR23_02285|ECOR23_02285	NZ_QOYG01000001.1	97.701	1044	24	0	1	1044	275959	274916	0.0	1796	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_02689:-:ECOR44_02689|ECOR44_02689	NZ_QOYG01000001.1	98.946	1044	11	0	1	1044	275959	274916	0.0	1868	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_01171:-:ECOR48_01171|ECOR48_01171	NZ_QOYG01000001.1	99.138	1044	9	0	1	1044	275959	274916	0.0	1879	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_00722:-:ECOR49_00722|ECOR49_00722	NZ_QOYG01000001.1	99.521	1044	5	0	1	1044	275959	274916	0.0	1901	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_03083:-:ECOR4_03083|ECOR4_03083	NZ_QOYG01000001.1	97.605	1044	25	0	1	1044	275959	274916	0.0	1790	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01458:-:ECOR50_01458|ECOR50_01458	NZ_QOYG01000001.1	99.521	1044	5	0	1	1044	275959	274916	0.0	1901	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02452:-:ECOR51_02452|ECOR51_02452	NZ_QOYG01000001.1	97.701	1044	24	0	1	1044	275959	274916	0.0	1796	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01384:-:ECOR52_01384|ECOR52_01384	NZ_QOYG01000001.1	97.701	1044	24	0	1	1044	275959	274916	0.0	1796	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02489:-:ECOR53_02489|ECOR53_02489	NZ_QOYG01000001.1	97.701	1044	24	0	1	1044	275959	274916	0.0	1796	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02202:-:ECOR54_02202|ECOR54_02202	NZ_QOYG01000001.1	97.701	1044	24	0	1	1044	275959	274916	0.0	1796	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_03835:-:ECOR55_03835|ECOR55_03835	NZ_QOYG01000001.1	97.701	1044	24	0	1	1044	275959	274916	0.0	1796	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_03355:-:ECOR56_03355|ECOR56_03355	NZ_QOYG01000001.1	97.701	1044	24	0	1	1044	275959	274916	0.0	1796	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_03448:-:ECOR60_03448|ECOR60_03448	NZ_QOYG01000001.1	97.605	1044	25	0	1	1044	275959	274916	0.0	1790	782163	NZ_QOYG01000001.1
ECOR61_PROKKA|ECOR61_01014:-:ECOR61_01014|ECOR61_01014	NZ_QOYG01000001.1	97.605	1044	25	0	1	1044	275959	274916	0.0	1790	782163	NZ_QOYG01000001.1
ECOR62_PROKKA|ECOR62_03039:-:ECOR62_03039|ECOR62_03039	NZ_QOYG01000001.1	97.605	1044	25	0	1	1044	275959	274916	0.0	1790	782163	NZ_QOYG01000001.1
ECOR64_PROKKA|ECOR64_04240:-:ECOR64_04240|ECOR64_04240	NZ_QOYG01000001.1	97.701	1044	24	0	1	1044	275959	274916	0.0	1796	782163	NZ_QOYG01000001.1
