qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1898:poxB:HGG68_RS04640|2b84de5415a5ca9477dbe99a5510e5bf_1898	NZ_QOYG01000008.1	95.637	1719	75	0	1	1719	121642	119924	0.0	2760	196976	NZ_QOYG01000008.1
ECOR11_PROKKA|ECOR11_03005:poxB:ECOR11_03005|ECOR11_03005	NZ_QOYG01000008.1	97.091	1719	50	0	1	1719	121642	119924	0.0	2898	196976	NZ_QOYG01000008.1
ECOR14_PROKKA|ECOR14_02288:poxB:ECOR14_02288|ECOR14_02288	NZ_QOYG01000008.1	97.150	1719	49	0	1	1719	121642	119924	0.0	2904	196976	NZ_QOYG01000008.1
ECOR16_PROKKA|ECOR16_01946:poxB:ECOR16_01946|ECOR16_01946	NZ_QOYG01000008.1	95.637	1719	75	0	1	1719	121642	119924	0.0	2760	196976	NZ_QOYG01000008.1
ECOR23_PROKKA|ECOR23_03963:-:ECOR23_03963|ECOR23_03963	NZ_QOYG01000008.1	95.637	1719	75	0	1	1719	121642	119924	0.0	2760	196976	NZ_QOYG01000008.1
ECOR44_PROKKA|ECOR44_01488:-:ECOR44_01488|ECOR44_01488	NZ_QOYG01000008.1	98.604	1719	24	0	1	1719	121642	119924	0.0	3042	196976	NZ_QOYG01000008.1
ECOR48_PROKKA|ECOR48_03399:-:ECOR48_03399|ECOR48_03399	NZ_QOYG01000008.1	96.917	1719	53	0	1	1719	121642	119924	0.0	2881	196976	NZ_QOYG01000008.1
ECOR49_PROKKA|ECOR49_03530:-:ECOR49_03530|ECOR49_03530	NZ_QOYG01000008.1	98.778	1719	21	0	1	1719	121642	119924	0.0	3059	196976	NZ_QOYG01000008.1
ECOR4_PROKKA|ECOR4_00260:-:ECOR4_00260|ECOR4_00260	NZ_QOYG01000008.1	97.091	1719	50	0	1	1719	121642	119924	0.0	2898	196976	NZ_QOYG01000008.1
ECOR50_PROKKA|ECOR50_05224:-:ECOR50_05224|ECOR50_05224	NZ_QOYG01000008.1	98.778	1719	21	0	1	1719	121642	119924	0.0	3059	196976	NZ_QOYG01000008.1
ECOR51_PROKKA|ECOR51_03812:-:ECOR51_03812|ECOR51_03812	NZ_QOYG01000008.1	95.637	1719	75	0	1	1719	121642	119924	0.0	2760	196976	NZ_QOYG01000008.1
ECOR52_PROKKA|ECOR52_03349:-:ECOR52_03349|ECOR52_03349	NZ_QOYG01000008.1	95.637	1719	75	0	1	1719	121642	119924	0.0	2760	196976	NZ_QOYG01000008.1
ECOR53_PROKKA|ECOR53_04118:-:ECOR53_04118|ECOR53_04118	NZ_QOYG01000008.1	95.637	1719	75	0	1	1719	121642	119924	0.0	2760	196976	NZ_QOYG01000008.1
ECOR54_PROKKA|ECOR54_04082:-:ECOR54_04082|ECOR54_04082	NZ_QOYG01000008.1	95.637	1719	75	0	1	1719	121642	119924	0.0	2760	196976	NZ_QOYG01000008.1
ECOR55_PROKKA|ECOR55_02153:-:ECOR55_02153|ECOR55_02153	NZ_QOYG01000008.1	95.637	1719	75	0	1	1719	121642	119924	0.0	2760	196976	NZ_QOYG01000008.1
ECOR56_PROKKA|ECOR56_02315:-:ECOR56_02315|ECOR56_02315	NZ_QOYG01000008.1	95.637	1719	75	0	1	1719	121642	119924	0.0	2760	196976	NZ_QOYG01000008.1
ECOR60_PROKKA|ECOR60_01304:-:ECOR60_01304|ECOR60_01304	NZ_QOYG01000008.1	95.637	1719	75	0	1	1719	121642	119924	0.0	2760	196976	NZ_QOYG01000008.1
ECOR61_PROKKA|ECOR61_02819:-:ECOR61_02819|ECOR61_02819	NZ_QOYG01000008.1	95.695	1719	74	0	1	1719	121642	119924	0.0	2765	196976	NZ_QOYG01000008.1
