qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1304:dcuC:HGG68_RS03200|2b84de5415a5ca9477dbe99a5510e5bf_1304	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
ECOR11_PROKKA|ECOR11_00667:dcuC:ECOR11_00667|ECOR11_00667	NZ_QOYG01000009.1	97.908	1386	29	0	1	1386	67547	66162	0.0	2399	186623	NZ_QOYG01000009.1
ECOR14_PROKKA|ECOR14_00722:dcuD_1:ECOR14_00722|ECOR14_00722	NZ_QOYG01000009.1	97.980	1386	28	0	1	1386	67547	66162	0.0	2405	186623	NZ_QOYG01000009.1
ECOR16_PROKKA|ECOR16_01779:dcuD_1:ECOR16_01779|ECOR16_01779	NZ_QOYG01000009.1	97.908	1386	29	0	1	1386	67547	66162	0.0	2399	186623	NZ_QOYG01000009.1
ECOR23_PROKKA|ECOR23_03557:-:ECOR23_03557|ECOR23_03557	NZ_QOYG01000009.1	98.052	1386	27	0	1	1386	67547	66162	0.0	2410	186623	NZ_QOYG01000009.1
ECOR44_PROKKA|ECOR44_04014:-:ECOR44_04014|ECOR44_04014	NZ_QOYG01000009.1	100.000	1386	0	0	1	1386	67547	66162	0.0	2560	186623	NZ_QOYG01000009.1
ECOR48_PROKKA|ECOR48_00702:-:ECOR48_00702|ECOR48_00702	NZ_QOYG01000009.1	99.928	1386	1	0	1	1386	67547	66162	0.0	2555	186623	NZ_QOYG01000009.1
ECOR49_PROKKA|ECOR49_00991:-:ECOR49_00991|ECOR49_00991	NZ_QOYG01000009.1	99.928	1386	1	0	1	1386	67547	66162	0.0	2555	186623	NZ_QOYG01000009.1
ECOR4_PROKKA|ECOR4_00832:-:ECOR4_00832|ECOR4_00832	NZ_QOYG01000009.1	97.908	1386	29	0	1	1386	67547	66162	0.0	2399	186623	NZ_QOYG01000009.1
ECOR50_PROKKA|ECOR50_04773:-:ECOR50_04773|ECOR50_04773	NZ_QOYG01000009.1	99.928	1386	1	0	1	1386	67547	66162	0.0	2555	186623	NZ_QOYG01000009.1
ECOR51_PROKKA|ECOR51_00251:-:ECOR51_00251|ECOR51_00251	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
ECOR52_PROKKA|ECOR52_03872:-:ECOR52_03872|ECOR52_03872	NZ_QOYG01000009.1	98.052	1386	27	0	1	1386	67547	66162	0.0	2410	186623	NZ_QOYG01000009.1
ECOR53_PROKKA|ECOR53_03847:-:ECOR53_03847|ECOR53_03847	NZ_QOYG01000009.1	97.908	1386	29	0	1	1386	67547	66162	0.0	2399	186623	NZ_QOYG01000009.1
ECOR54_PROKKA|ECOR54_03486:-:ECOR54_03486|ECOR54_03486	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
ECOR55_PROKKA|ECOR55_03227:-:ECOR55_03227|ECOR55_03227	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
ECOR56_PROKKA|ECOR56_01813:-:ECOR56_01813|ECOR56_01813	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
ECOR60_PROKKA|ECOR60_00510:-:ECOR60_00510|ECOR60_00510	NZ_QOYG01000009.1	97.908	1386	29	0	1	1386	67547	66162	0.0	2399	186623	NZ_QOYG01000009.1
ECOR61_PROKKA|ECOR61_03551:-:ECOR61_03551|ECOR61_03551	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
ECOR62_PROKKA|ECOR62_00273:-:ECOR62_00273|ECOR62_00273	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
ECOR64_PROKKA|ECOR64_00293:-:ECOR64_00293|ECOR64_00293	NZ_QOYG01000009.1	97.908	1386	29	0	1	1386	67547	66162	0.0	2399	186623	NZ_QOYG01000009.1
ECOR66_PROKKA|ECOR66_00248:-:ECOR66_00248|ECOR66_00248	NZ_QOYG01000009.1	98.052	1386	27	0	1	1386	67547	66162	0.0	2410	186623	NZ_QOYG01000009.1
ECOR6_PROKKA|ECOR6_01612:-:ECOR6_01612|ECOR6_01612	NZ_QOYG01000009.1	97.835	1386	30	0	1	1386	67547	66162	0.0	2394	186623	NZ_QOYG01000009.1
KE21|HKKLMMAK_04162:dcuD:HKKLMMAK_04162|HKKLMMAK_04162	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
KE24|FLBELDDJ_00292:dcuD:FLBELDDJ_00292|FLBELDDJ_00292	NZ_QOYG01000009.1	98.196	1386	25	0	1	1386	67547	66162	0.0	2422	186623	NZ_QOYG01000009.1
KE25|NKLEEENC_00715:dcuD:NKLEEENC_00715|NKLEEENC_00715	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
KE26|AFHKKBMH_01247:dcuD:AFHKKBMH_01247|AFHKKBMH_01247	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
KE4|NBLHDMPF_03059:dcuD:NBLHDMPF_03059|NBLHDMPF_03059	NZ_QOYG01000009.1	97.908	1386	29	0	1	1386	67547	66162	0.0	2399	186623	NZ_QOYG01000009.1
KE40|EEHHMH_07105:dcuC:EEHHMH_07105|EEHHMH_07105	NZ_QOYG01000009.1	100.000	1386	0	0	1	1386	67547	66162	0.0	2560	186623	NZ_QOYG01000009.1
KE41|PNKGMM_21315:dcuC:PNKGMM_21315|PNKGMM_21315	NZ_QOYG01000009.1	97.908	1386	29	0	1	1386	67547	66162	0.0	2399	186623	NZ_QOYG01000009.1
KE46|DADKIG_16225:dcuC:DADKIG_16225|DADKIG_16225	NZ_QOYG01000009.1	98.341	1386	23	0	1	1386	67547	66162	0.0	2433	186623	NZ_QOYG01000009.1
KE47|NHFOKF_04455:dcuC:NHFOKF_04455|NHFOKF_04455	NZ_QOYG01000009.1	100.000	1386	0	0	1	1386	67547	66162	0.0	2560	186623	NZ_QOYG01000009.1
KE48_PROKKA|KE48_00652:dcuD:KE48_00652|KE48_00652	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
KE50|OOFCCB_22740:dcuC:OOFCCB_22740|OOFCCB_22740	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
KE51|BHDFJC_19445:dcuC:BHDFJC_19445|BHDFJC_19445	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
KE54|NBPOCE_24285:dcuC:NBPOCE_24285|NBPOCE_24285	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
KE55|HDLJKA_16575:dcuC:HDLJKA_16575|HDLJKA_16575	NZ_QOYG01000009.1	99.351	1386	9	0	1	1386	67547	66162	0.0	2510	186623	NZ_QOYG01000009.1
KE58|FKGHDH_16745:dcuC:FKGHDH_16745|FKGHDH_16745	NZ_QOYG01000009.1	97.908	1386	29	0	1	1386	67547	66162	0.0	2399	186623	NZ_QOYG01000009.1
LRPF007|PGOAJBJE_00899:dcuD:PGOAJBJE_00899|PGOAJBJE_00899	NZ_QOYG01000009.1	97.980	1386	28	0	1	1386	67547	66162	0.0	2405	186623	NZ_QOYG01000009.1
LRPF62|CPONALDP_03602:dcuD:CPONALDP_03602|CPONALDP_03602	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_1345:dcuC:b0621|9d38f563c3a26fdef9221ebcd767f53a_1345	NZ_QOYG01000009.1	97.908	1386	29	0	1	1386	67547	66162	0.0	2399	186623	NZ_QOYG01000009.1
UTI89|a370e86af943a50f23d4c066bcb16592_1199:dcuC:IFE20_RS02955|a370e86af943a50f23d4c066bcb16592_1199	NZ_QOYG01000009.1	98.124	1386	26	0	1	1386	67547	66162	0.0	2416	186623	NZ_QOYG01000009.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_1290:-:Y75_RS03220|a99aee7d8774ee1318b35b64abeb3eab_1290	NZ_QOYG01000009.1	96.324	408	15	0	1	408	66569	66162	0.0	671	186623	NZ_QOYG01000009.1
