qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9324:iclR:HGG68_RS22855|2b84de5415a5ca9477dbe99a5510e5bf_9324	NZ_QOYG01000018.1	94.788	825	43	0	1	825	74087	74911	0.0	1286	84413	NZ_QOYG01000018.1
ECOR11_PROKKA|ECOR11_00152:iclR:ECOR11_00152|ECOR11_00152	NZ_QOYG01000018.1	96.121	825	32	0	1	825	74087	74911	0.0	1347	84413	NZ_QOYG01000018.1
ECOR14_PROKKA|ECOR14_00455:iclR:ECOR14_00455|ECOR14_00455	NZ_QOYG01000018.1	95.636	825	36	0	1	825	74087	74911	0.0	1325	84413	NZ_QOYG01000018.1
ECOR16_PROKKA|ECOR16_01210:iclR:ECOR16_01210|ECOR16_01210	NZ_QOYG01000018.1	95.273	825	39	0	1	825	74087	74911	0.0	1308	84413	NZ_QOYG01000018.1
ECOR23_PROKKA|ECOR23_00817:-:ECOR23_00817|ECOR23_00817	NZ_QOYG01000018.1	94.788	825	43	0	1	825	74087	74911	0.0	1286	84413	NZ_QOYG01000018.1
ECOR44_PROKKA|ECOR44_02771:-:ECOR44_02771|ECOR44_02771	NZ_QOYG01000018.1	96.727	825	27	0	1	825	74087	74911	0.0	1375	84413	NZ_QOYG01000018.1
ECOR48_PROKKA|ECOR48_04247:-:ECOR48_04247|ECOR48_04247	NZ_QOYG01000018.1	96.242	825	31	0	1	825	74087	74911	0.0	1352	84413	NZ_QOYG01000018.1
ECOR4_PROKKA|ECOR4_02833:-:ECOR4_02833|ECOR4_02833	NZ_QOYG01000018.1	95.394	825	38	0	1	825	74087	74911	0.0	1314	84413	NZ_QOYG01000018.1
ECOR50_PROKKA|ECOR50_04650:-:ECOR50_04650|ECOR50_04650	NZ_QOYG01000018.1	97.818	825	18	0	1	825	74087	74911	0.0	1424	84413	NZ_QOYG01000018.1
ECOR51_PROKKA|ECOR51_01247:-:ECOR51_01247|ECOR51_01247	NZ_QOYG01000018.1	94.788	825	43	0	1	825	74087	74911	0.0	1286	84413	NZ_QOYG01000018.1
ECOR52_PROKKA|ECOR52_00869:-:ECOR52_00869|ECOR52_00869	NZ_QOYG01000018.1	94.788	825	43	0	1	825	74087	74911	0.0	1286	84413	NZ_QOYG01000018.1
ECOR53_PROKKA|ECOR53_01855:-:ECOR53_01855|ECOR53_01855	NZ_QOYG01000018.1	95.758	825	35	0	1	825	74087	74911	0.0	1330	84413	NZ_QOYG01000018.1
ECOR54_PROKKA|ECOR54_03606:-:ECOR54_03606|ECOR54_03606	NZ_QOYG01000018.1	94.788	825	43	0	1	825	74087	74911	0.0	1286	84413	NZ_QOYG01000018.1
ECOR55_PROKKA|ECOR55_01042:-:ECOR55_01042|ECOR55_01042	NZ_QOYG01000018.1	94.788	825	43	0	1	825	74087	74911	0.0	1286	84413	NZ_QOYG01000018.1
ECOR56_PROKKA|ECOR56_01215:-:ECOR56_01215|ECOR56_01215	NZ_QOYG01000018.1	94.788	825	43	0	1	825	74087	74911	0.0	1286	84413	NZ_QOYG01000018.1
ECOR60_PROKKA|ECOR60_00559:-:ECOR60_00559|ECOR60_00559	NZ_QOYG01000018.1	95.758	825	35	0	1	825	74087	74911	0.0	1330	84413	NZ_QOYG01000018.1
ECOR61_PROKKA|ECOR61_02512:-:ECOR61_02512|ECOR61_02512	NZ_QOYG01000018.1	94.545	825	45	0	1	825	74087	74911	0.0	1275	84413	NZ_QOYG01000018.1
ECOR62_PROKKA|ECOR62_01347:-:ECOR62_01347|ECOR62_01347	NZ_QOYG01000018.1	94.545	825	45	0	1	825	74087	74911	0.0	1275	84413	NZ_QOYG01000018.1
ECOR64_PROKKA|ECOR64_01011:-:ECOR64_01011|ECOR64_01011	NZ_QOYG01000018.1	95.030	825	41	0	1	825	74087	74911	0.0	1297	84413	NZ_QOYG01000018.1
ECOR66_PROKKA|ECOR66_04200:-:ECOR66_04200|ECOR66_04200	NZ_QOYG01000018.1	94.667	825	44	0	1	825	74087	74911	0.0	1280	84413	NZ_QOYG01000018.1
ECOR6_PROKKA|ECOR6_00133:-:ECOR6_00133|ECOR6_00133	NZ_QOYG01000018.1	95.394	825	38	0	1	825	74087	74911	0.0	1314	84413	NZ_QOYG01000018.1
ECOR8_PROKKA|ECOR8_04604:-:ECOR8_04604|ECOR8_04604	NZ_QOYG01000018.1	96.121	825	32	0	1	825	74087	74911	0.0	1347	84413	NZ_QOYG01000018.1
KE21|HKKLMMAK_02981:iclR:HKKLMMAK_02981|HKKLMMAK_02981	NZ_QOYG01000018.1	94.424	825	46	0	1	825	74087	74911	0.0	1269	84413	NZ_QOYG01000018.1
KE24|FLBELDDJ_01544:iclR:FLBELDDJ_01544|FLBELDDJ_01544	NZ_QOYG01000018.1	94.788	825	43	0	1	825	74087	74911	0.0	1286	84413	NZ_QOYG01000018.1
KE25|NKLEEENC_02830:iclR:NKLEEENC_02830|NKLEEENC_02830	NZ_QOYG01000018.1	94.424	825	46	0	1	825	74087	74911	0.0	1269	84413	NZ_QOYG01000018.1
KE26|AFHKKBMH_00147:iclR:AFHKKBMH_00147|AFHKKBMH_00147	NZ_QOYG01000018.1	94.424	825	46	0	1	825	74087	74911	0.0	1269	84413	NZ_QOYG01000018.1
KE4|NBLHDMPF_04374:iclR:NBLHDMPF_04374|NBLHDMPF_04374	NZ_QOYG01000018.1	95.758	825	35	0	1	825	74087	74911	0.0	1330	84413	NZ_QOYG01000018.1
KE40|EEHHMH_00930:iclR:EEHHMH_00930|EEHHMH_00930	NZ_QOYG01000018.1	96.121	825	32	0	1	825	74087	74911	0.0	1347	84413	NZ_QOYG01000018.1
KE41|PNKGMM_01890:iclR:PNKGMM_01890|PNKGMM_01890	NZ_QOYG01000018.1	95.030	825	41	0	1	825	74087	74911	0.0	1297	84413	NZ_QOYG01000018.1
KE46|DADKIG_21880:iclR:DADKIG_21880|DADKIG_21880	NZ_QOYG01000018.1	96.121	825	32	0	1	825	74087	74911	0.0	1347	84413	NZ_QOYG01000018.1
KE47|NHFOKF_10395:iclR:NHFOKF_10395|NHFOKF_10395	NZ_QOYG01000018.1	96.121	825	32	0	1	825	74087	74911	0.0	1347	84413	NZ_QOYG01000018.1
KE48_PROKKA|KE48_03060:iclR:KE48_03060|KE48_03060	NZ_QOYG01000018.1	94.788	825	43	0	1	825	74087	74911	0.0	1286	84413	NZ_QOYG01000018.1
KE50|OOFCCB_04015:iclR:OOFCCB_04015|OOFCCB_04015	NZ_QOYG01000018.1	94.424	825	46	0	1	825	74087	74911	0.0	1269	84413	NZ_QOYG01000018.1
KE51|BHDFJC_25900:iclR:BHDFJC_25900|BHDFJC_25900	NZ_QOYG01000018.1	94.788	825	43	0	1	825	74087	74911	0.0	1286	84413	NZ_QOYG01000018.1
KE54|NBPOCE_17490:iclR:NBPOCE_17490|NBPOCE_17490	NZ_QOYG01000018.1	94.424	825	46	0	1	825	74087	74911	0.0	1269	84413	NZ_QOYG01000018.1
KE55|HDLJKA_21795:iclR:HDLJKA_21795|HDLJKA_21795	NZ_QOYG01000018.1	98.667	825	11	0	1	825	74087	74911	0.0	1463	84413	NZ_QOYG01000018.1
KE58|FKGHDH_22090:iclR:FKGHDH_22090|FKGHDH_22090	NZ_QOYG01000018.1	96.121	825	32	0	1	825	74087	74911	0.0	1347	84413	NZ_QOYG01000018.1
LRPF007|PGOAJBJE_04192:iclR:PGOAJBJE_04192|PGOAJBJE_04192	NZ_QOYG01000018.1	95.273	825	39	0	1	825	74087	74911	0.0	1308	84413	NZ_QOYG01000018.1
LRPF62|CPONALDP_04832:iclR:CPONALDP_04832|CPONALDP_04832	NZ_QOYG01000018.1	94.424	825	46	0	1	825	74087	74911	0.0	1269	84413	NZ_QOYG01000018.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_8605:iclR:b4018|9d38f563c3a26fdef9221ebcd767f53a_8605	NZ_QOYG01000018.1	96.121	825	32	0	1	825	74087	74911	0.0	1347	84413	NZ_QOYG01000018.1
UTI89|a370e86af943a50f23d4c066bcb16592_8758:iclR:IFE20_RS21500|a370e86af943a50f23d4c066bcb16592_8758	NZ_QOYG01000018.1	94.545	825	45	0	1	825	74087	74911	0.0	1275	84413	NZ_QOYG01000018.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_8341:iclR:Y75_RS20945|a99aee7d8774ee1318b35b64abeb3eab_8341	NZ_QOYG01000018.1	96.121	825	32	0	1	825	74087	74911	0.0	1347	84413	NZ_QOYG01000018.1
