qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_10145:yjjA:HGG68_RS24880|2b84de5415a5ca9477dbe99a5510e5bf_10145	NZ_QOYM01000003.1	87.475	495	62	0	1	495	268269	268763	1.88e-163	571	364366	NZ_QOYM01000003.1
ECOR11_PROKKA|ECOR11_02504:-:ECOR11_02504|ECOR11_02504	NZ_QOYM01000003.1	87.879	495	60	0	1	495	268269	268763	8.69e-167	582	364366	NZ_QOYM01000003.1
ECOR14_PROKKA|ECOR14_00913:-:ECOR14_00913|ECOR14_00913	NZ_QOYM01000003.1	87.879	495	60	0	1	495	268269	268763	8.69e-167	582	364366	NZ_QOYM01000003.1
ECOR16_PROKKA|ECOR16_01412:-:ECOR16_01412|ECOR16_01412	NZ_QOYM01000003.1	88.081	495	59	0	1	495	268269	268763	1.87e-168	588	364366	NZ_QOYM01000003.1
ECOR23_PROKKA|ECOR23_00971:-:ECOR23_00971|ECOR23_00971	NZ_QOYM01000003.1	87.475	495	62	0	1	495	268269	268763	1.88e-163	571	364366	NZ_QOYM01000003.1
ECOR44_PROKKA|ECOR44_00342:-:ECOR44_00342|ECOR44_00342	NZ_QOYM01000003.1	88.283	495	58	0	1	495	268269	268763	4.01e-170	593	364366	NZ_QOYM01000003.1
ECOR48_PROKKA|ECOR48_02784:-:ECOR48_02784|ECOR48_02784	NZ_QOYM01000003.1	88.081	495	59	0	1	495	268269	268763	1.87e-168	588	364366	NZ_QOYM01000003.1
ECOR49_PROKKA|ECOR49_02311:-:ECOR49_02311|ECOR49_02311	NZ_QOYM01000003.1	87.475	495	62	0	1	495	268269	268763	1.88e-163	571	364366	NZ_QOYM01000003.1
ECOR4_PROKKA|ECOR4_01663:-:ECOR4_01663|ECOR4_01663	NZ_QOYM01000003.1	87.475	495	62	0	1	495	268269	268763	1.88e-163	571	364366	NZ_QOYM01000003.1
ECOR50_PROKKA|ECOR50_03842:-:ECOR50_03842|ECOR50_03842	NZ_QOYM01000003.1	88.081	495	59	0	1	495	268269	268763	1.87e-168	588	364366	NZ_QOYM01000003.1
ECOR51_PROKKA|ECOR51_04756:-:ECOR51_04756|ECOR51_04756	NZ_QOYM01000003.1	87.398	492	62	0	1	492	268272	268763	8.69e-162	566	364366	NZ_QOYM01000003.1
ECOR52_PROKKA|ECOR52_01027:-:ECOR52_01027|ECOR52_01027	NZ_QOYM01000003.1	87.475	495	62	0	1	495	268269	268763	1.88e-163	571	364366	NZ_QOYM01000003.1
ECOR54_PROKKA|ECOR54_00144:-:ECOR54_00144|ECOR54_00144	NZ_QOYM01000003.1	87.475	495	62	0	1	495	268269	268763	1.88e-163	571	364366	NZ_QOYM01000003.1
ECOR55_PROKKA|ECOR55_04639:-:ECOR55_04639|ECOR55_04639	NZ_QOYM01000003.1	87.398	492	62	0	1	492	268272	268763	8.69e-162	566	364366	NZ_QOYM01000003.1
ECOR56_PROKKA|ECOR56_04191:-:ECOR56_04191|ECOR56_04191	NZ_QOYM01000003.1	88.081	495	59	0	1	495	268269	268763	1.87e-168	588	364366	NZ_QOYM01000003.1
ECOR60_PROKKA|ECOR60_00869:-:ECOR60_00869|ECOR60_00869	NZ_QOYM01000003.1	87.475	495	62	0	1	495	268269	268763	1.88e-163	571	364366	NZ_QOYM01000003.1
ECOR61_PROKKA|ECOR61_00884:-:ECOR61_00884|ECOR61_00884	NZ_QOYM01000003.1	87.398	492	62	0	1	492	268272	268763	8.69e-162	566	364366	NZ_QOYM01000003.1
ECOR62_PROKKA|ECOR62_04237:-:ECOR62_04237|ECOR62_04237	NZ_QOYM01000003.1	87.398	492	62	0	1	492	268272	268763	8.69e-162	566	364366	NZ_QOYM01000003.1
ECOR64_PROKKA|ECOR64_03453:-:ECOR64_03453|ECOR64_03453	NZ_QOYM01000003.1	87.677	495	61	0	1	495	268269	268763	4.04e-165	577	364366	NZ_QOYM01000003.1
ECOR66_PROKKA|ECOR66_02287:-:ECOR66_02287|ECOR66_02287	NZ_QOYM01000003.1	87.677	495	61	0	1	495	268269	268763	4.04e-165	577	364366	NZ_QOYM01000003.1
ECOR6_PROKKA|ECOR6_03292:-:ECOR6_03292|ECOR6_03292	NZ_QOYM01000003.1	88.485	495	57	0	1	495	268269	268763	8.63e-172	599	364366	NZ_QOYM01000003.1
ECOR8_PROKKA|ECOR8_02087:-:ECOR8_02087|ECOR8_02087	NZ_QOYM01000003.1	88.687	495	56	0	1	495	268269	268763	1.85e-173	604	364366	NZ_QOYM01000003.1
KE21|HKKLMMAK_03464:HKKLMMAK_03464:HKKLMMAK_03464|HKKLMMAK_03464	NZ_QOYM01000003.1	88.283	495	58	0	1	495	268269	268763	4.01e-170	593	364366	NZ_QOYM01000003.1
KE24|FLBELDDJ_00993:FLBELDDJ_00993:FLBELDDJ_00993|FLBELDDJ_00993	NZ_QOYM01000003.1	87.273	495	63	0	1	495	268269	268763	8.75e-162	566	364366	NZ_QOYM01000003.1
KE25|NKLEEENC_01367:NKLEEENC_01367:NKLEEENC_01367|NKLEEENC_01367	NZ_QOYM01000003.1	88.485	495	57	0	1	495	268269	268763	8.63e-172	599	364366	NZ_QOYM01000003.1
KE26|AFHKKBMH_00602:AFHKKBMH_00602:AFHKKBMH_00602|AFHKKBMH_00602	NZ_QOYM01000003.1	87.677	495	61	0	1	495	268269	268763	4.04e-165	577	364366	NZ_QOYM01000003.1
KE4|NBLHDMPF_03767:NBLHDMPF_03767:NBLHDMPF_03767|NBLHDMPF_03767	NZ_QOYM01000003.1	87.475	495	62	0	1	495	268269	268763	1.88e-163	571	364366	NZ_QOYM01000003.1
KE40|EEHHMH_03005:yjjA:EEHHMH_03005|EEHHMH_03005	NZ_QOYM01000003.1	88.283	495	58	0	1	495	268269	268763	4.01e-170	593	364366	NZ_QOYM01000003.1
KE41|PNKGMM_24880:yjjA:PNKGMM_24880|PNKGMM_24880	NZ_QOYM01000003.1	87.602	492	61	0	1	492	268272	268763	1.87e-163	571	364366	NZ_QOYM01000003.1
KE46|DADKIG_20005:yjjA:DADKIG_20005|DADKIG_20005	NZ_QOYM01000003.1	88.081	495	59	0	1	495	268269	268763	1.87e-168	588	364366	NZ_QOYM01000003.1
KE47|NHFOKF_08315:yjjA:NHFOKF_08315|NHFOKF_08315	NZ_QOYM01000003.1	87.475	495	62	0	1	495	268269	268763	1.88e-163	571	364366	NZ_QOYM01000003.1
KE48_PROKKA|KE48_03453:-:KE48_03453|KE48_03453	NZ_QOYM01000003.1	87.398	492	62	0	1	492	268272	268763	8.69e-162	566	364366	NZ_QOYM01000003.1
KE50|OOFCCB_01535:yjjA:OOFCCB_01535|OOFCCB_01535	NZ_QOYM01000003.1	87.677	495	61	0	1	495	268269	268763	4.04e-165	577	364366	NZ_QOYM01000003.1
KE51|BHDFJC_22985:yjjA:BHDFJC_22985|BHDFJC_22985	NZ_QOYM01000003.1	87.475	495	62	0	1	495	268269	268763	1.88e-163	571	364366	NZ_QOYM01000003.1
KE54|NBPOCE_20745:yjjA:NBPOCE_20745|NBPOCE_20745	NZ_QOYM01000003.1	88.283	495	58	0	1	495	268269	268763	4.01e-170	593	364366	NZ_QOYM01000003.1
KE55|HDLJKA_19960:yjjA:HDLJKA_19960|HDLJKA_19960	NZ_QOYM01000003.1	87.879	495	60	0	1	495	268269	268763	8.69e-167	582	364366	NZ_QOYM01000003.1
KE58|FKGHDH_20140:yjjA:FKGHDH_20140|FKGHDH_20140	NZ_QOYM01000003.1	88.081	495	59	0	1	495	268269	268763	1.87e-168	588	364366	NZ_QOYM01000003.1
LRPF007|PGOAJBJE_04125:PGOAJBJE_04125:PGOAJBJE_04125|PGOAJBJE_04125	NZ_QOYM01000003.1	87.677	495	61	0	1	495	268269	268763	4.04e-165	577	364366	NZ_QOYM01000003.1
LRPF62|CPONALDP_04260:CPONALDP_04260:CPONALDP_04260|CPONALDP_04260	NZ_QOYM01000003.1	88.485	495	57	0	1	495	268269	268763	8.63e-172	599	364366	NZ_QOYM01000003.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_9333:yjjA:b4360|9d38f563c3a26fdef9221ebcd767f53a_9333	NZ_QOYM01000003.1	87.879	495	60	0	1	495	268269	268763	8.69e-167	582	364366	NZ_QOYM01000003.1
UTI89|a370e86af943a50f23d4c066bcb16592_9689:yjjA:IFE20_RS23810|a370e86af943a50f23d4c066bcb16592_9689	NZ_QOYM01000003.1	87.475	495	62	0	1	495	268269	268763	1.88e-163	571	364366	NZ_QOYM01000003.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_9055:yjjA:Y75_RS22790|a99aee7d8774ee1318b35b64abeb3eab_9055	NZ_QOYM01000003.1	87.879	495	60	0	1	495	268269	268763	8.69e-167	582	364366	NZ_QOYM01000003.1
