qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_5286:nuoA:HGG68_RS12985|2b84de5415a5ca9477dbe99a5510e5bf_5286	NZ_QOYG01000027.1	99.550	444	2	0	1	444	628	1071	0.0	809	39311	NZ_QOYG01000027.1
ECOR11_PROKKA|ECOR11_01518:nuoA:ECOR11_01518|ECOR11_01518	NZ_QOYG01000027.1	99.550	444	2	0	1	444	628	1071	0.0	809	39311	NZ_QOYG01000027.1
ECOR14_PROKKA|ECOR14_01372:ndhC:ECOR14_01372|ECOR14_01372	NZ_QOYG01000027.1	99.550	444	2	0	1	444	628	1071	0.0	809	39311	NZ_QOYG01000027.1
ECOR16_PROKKA|ECOR16_03042:ndhC:ECOR16_03042|ECOR16_03042	NZ_QOYG01000027.1	99.099	444	4	0	1	444	628	1071	0.0	798	39311	NZ_QOYG01000027.1
ECOR23_PROKKA|ECOR23_01377:-:ECOR23_01377|ECOR23_01377	NZ_QOYG01000027.1	99.550	444	2	0	1	444	628	1071	0.0	809	39311	NZ_QOYG01000027.1
ECOR44_PROKKA|ECOR44_01778:-:ECOR44_01778|ECOR44_01778	NZ_QOYG01000027.1	99.775	444	1	0	1	444	628	1071	0.0	815	39311	NZ_QOYG01000027.1
ECOR48_PROKKA|ECOR48_04698:-:ECOR48_04698|ECOR48_04698	NZ_QOYG01000027.1	100.000	444	0	0	1	444	628	1071	0.0	821	39311	NZ_QOYG01000027.1
ECOR49_PROKKA|ECOR49_02901:-:ECOR49_02901|ECOR49_02901	NZ_QOYG01000027.1	99.550	444	2	0	1	444	628	1071	0.0	809	39311	NZ_QOYG01000027.1
ECOR4_PROKKA|ECOR4_02139:-:ECOR4_02139|ECOR4_02139	NZ_QOYG01000027.1	99.550	444	2	0	1	444	628	1071	0.0	809	39311	NZ_QOYG01000027.1
ECOR50_PROKKA|ECOR50_02449:-:ECOR50_02449|ECOR50_02449	NZ_QOYG01000027.1	99.550	444	2	0	1	444	628	1071	0.0	809	39311	NZ_QOYG01000027.1
ECOR51_PROKKA|ECOR51_01578:-:ECOR51_01578|ECOR51_01578	NZ_QOYG01000027.1	99.550	444	2	0	1	444	628	1071	0.0	809	39311	NZ_QOYG01000027.1
ECOR52_PROKKA|ECOR52_02295:-:ECOR52_02295|ECOR52_02295	NZ_QOYG01000027.1	99.550	444	2	0	1	444	628	1071	0.0	809	39311	NZ_QOYG01000027.1
ECOR53_PROKKA|ECOR53_01505:-:ECOR53_01505|ECOR53_01505	NZ_QOYG01000027.1	99.550	444	2	0	1	444	628	1071	0.0	809	39311	NZ_QOYG01000027.1
ECOR54_PROKKA|ECOR54_01402:-:ECOR54_01402|ECOR54_01402	NZ_QOYG01000027.1	99.550	444	2	0	1	444	628	1071	0.0	809	39311	NZ_QOYG01000027.1
ECOR55_PROKKA|ECOR55_01355:-:ECOR55_01355|ECOR55_01355	NZ_QOYG01000027.1	99.550	444	2	0	1	444	628	1071	0.0	809	39311	NZ_QOYG01000027.1
