qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
ECOR11_PROKKA|ECOR11_04802:flhB_2:ECOR11_04802|ECOR11_04802	NZ_QOYG01000001.1	97.041	1149	34	0	1	1149	384322	383174	0.0	1934	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_00143:flhB:ECOR14_00143|ECOR14_00143	NZ_QOYG01000001.1	97.128	1149	33	0	1	1149	384322	383174	0.0	1940	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_00202:flhB:ECOR16_00202|ECOR16_00202	NZ_QOYG01000001.1	97.041	1149	34	0	1	1149	384322	383174	0.0	1934	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02186:-:ECOR23_02186|ECOR23_02186	NZ_QOYG01000001.1	97.302	1149	31	0	1	1149	384322	383174	0.0	1951	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_02582:-:ECOR44_02582|ECOR44_02582	NZ_QOYG01000001.1	98.172	1149	21	0	1	1149	384322	383174	0.0	2006	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_04502:-:ECOR48_04502|ECOR48_04502	NZ_QOYG01000001.1	97.128	1149	33	0	1	1149	384322	383174	0.0	1940	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_04010:-:ECOR49_04010|ECOR49_04010	NZ_QOYG01000001.1	96.606	1149	39	0	1	1149	384322	383174	0.0	1906	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_03192:-:ECOR4_03192|ECOR4_03192	NZ_QOYG01000001.1	97.128	1149	33	0	1	1149	384322	383174	0.0	1940	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01349:-:ECOR50_01349|ECOR50_01349	NZ_QOYG01000001.1	96.606	1149	39	0	1	1149	384322	383174	0.0	1906	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02551:-:ECOR51_02551|ECOR51_02551	NZ_QOYG01000001.1	97.302	1149	31	0	1	1149	384322	383174	0.0	1951	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01285:-:ECOR52_01285|ECOR52_01285	NZ_QOYG01000001.1	97.302	1149	31	0	1	1149	384322	383174	0.0	1951	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02603:-:ECOR53_02603|ECOR53_02603	NZ_QOYG01000001.1	96.954	1149	35	0	1	1149	384322	383174	0.0	1929	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02301:-:ECOR54_02301|ECOR54_02301	NZ_QOYG01000001.1	97.302	1149	31	0	1	1149	384322	383174	0.0	1951	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_03736:-:ECOR55_03736|ECOR55_03736	NZ_QOYG01000001.1	97.302	1149	31	0	1	1149	384322	383174	0.0	1951	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_03455:-:ECOR56_03455|ECOR56_03455	NZ_QOYG01000001.1	97.302	1149	31	0	1	1149	384322	383174	0.0	1951	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_03348:-:ECOR60_03348|ECOR60_03348	NZ_QOYG01000001.1	96.954	1149	35	0	1	1149	384322	383174	0.0	1929	782163	NZ_QOYG01000001.1
ECOR61_PROKKA|ECOR61_01113:-:ECOR61_01113|ECOR61_01113	NZ_QOYG01000001.1	96.954	1149	35	0	1	1149	384322	383174	0.0	1929	782163	NZ_QOYG01000001.1
ECOR62_PROKKA|ECOR62_02939:-:ECOR62_02939|ECOR62_02939	NZ_QOYG01000001.1	96.954	1149	35	0	1	1149	384322	383174	0.0	1929	782163	NZ_QOYG01000001.1
ECOR64_PROKKA|ECOR64_00402:-:ECOR64_00402|ECOR64_00402	NZ_QOYG01000001.1	96.954	1149	35	0	1	1149	384322	383174	0.0	1929	782163	NZ_QOYG01000001.1
ECOR66_PROKKA|ECOR66_01809:-:ECOR66_01809|ECOR66_01809	NZ_QOYG01000001.1	96.606	1149	39	0	1	1149	384322	383174	0.0	1906	782163	NZ_QOYG01000001.1
ECOR6_PROKKA|ECOR6_04053:-:ECOR6_04053|ECOR6_04053	NZ_QOYG01000001.1	97.041	1149	34	0	1	1149	384322	383174	0.0	1934	782163	NZ_QOYG01000001.1
ECOR8_PROKKA|ECOR8_01208:-:ECOR8_01208|ECOR8_01208	NZ_QOYG01000001.1	96.954	1149	35	0	1	1149	384322	383174	0.0	1929	782163	NZ_QOYG01000001.1
KE21|HKKLMMAK_00541:flhB_1:HKKLMMAK_00541|HKKLMMAK_00541	NZ_QOYG01000001.1	96.693	1149	38	0	1	1149	384322	383174	0.0	1912	782163	NZ_QOYG01000001.1
KE24|FLBELDDJ_03858:flhB_2:FLBELDDJ_03858|FLBELDDJ_03858	NZ_QOYG01000001.1	96.867	1149	36	0	1	1149	384322	383174	0.0	1923	782163	NZ_QOYG01000001.1
KE25|NKLEEENC_04985:flhB:NKLEEENC_04985|NKLEEENC_04985	NZ_QOYG01000001.1	96.519	1149	40	0	1	1149	384322	383174	0.0	1901	782163	NZ_QOYG01000001.1
KE26|AFHKKBMH_02595:flhB:AFHKKBMH_02595|AFHKKBMH_02595	NZ_QOYG01000001.1	96.693	1149	38	0	1	1149	384322	383174	0.0	1912	782163	NZ_QOYG01000001.1
KE4|NBLHDMPF_01609:flhB:NBLHDMPF_01609|NBLHDMPF_01609	NZ_QOYG01000001.1	96.954	1149	35	0	1	1149	384322	383174	0.0	1929	782163	NZ_QOYG01000001.1
KE40|EEHHMH_14845:flhB:EEHHMH_14845|EEHHMH_14845	NZ_QOYG01000001.1	100.000	1149	0	0	1	1149	384322	383174	0.0	2122	782163	NZ_QOYG01000001.1
KE41|PNKGMM_14580:flhB:PNKGMM_14580|PNKGMM_14580	NZ_QOYG01000001.1	96.954	1149	35	0	1	1149	384322	383174	0.0	1929	782163	NZ_QOYG01000001.1
KE46|DADKIG_09695:flhB:DADKIG_09695|DADKIG_09695	NZ_QOYG01000001.1	96.954	1149	35	0	1	1149	384322	383174	0.0	1929	782163	NZ_QOYG01000001.1
KE47|NHFOKF_22005:flhB:NHFOKF_22005|NHFOKF_22005	NZ_QOYG01000001.1	100.000	1149	0	0	1	1149	384322	383174	0.0	2122	782163	NZ_QOYG01000001.1
KE48_PROKKA|KE48_03952:flhB:KE48_03952|KE48_03952	NZ_QOYG01000001.1	97.302	1149	31	0	1	1149	384322	383174	0.0	1951	782163	NZ_QOYG01000001.1
KE50|OOFCCB_16355:flhB:OOFCCB_16355|OOFCCB_16355	NZ_QOYG01000001.1	96.693	1149	38	0	1	1149	384322	383174	0.0	1912	782163	NZ_QOYG01000001.1
KE51|BHDFJC_11875:flhB:BHDFJC_11875|BHDFJC_11875	NZ_QOYG01000001.1	97.302	1149	31	0	1	1149	384322	383174	0.0	1951	782163	NZ_QOYG01000001.1
KE54|NBPOCE_04795:flhB:NBPOCE_04795|NBPOCE_04795	NZ_QOYG01000001.1	96.693	1149	38	0	1	1149	384322	383174	0.0	1912	782163	NZ_QOYG01000001.1
KE55|HDLJKA_09820:flhB:HDLJKA_09820|HDLJKA_09820	NZ_QOYG01000001.1	98.607	1149	16	0	1	1149	384322	383174	0.0	2034	782163	NZ_QOYG01000001.1
KE58|FKGHDH_10005:flhB:FKGHDH_10005|FKGHDH_10005	NZ_QOYG01000001.1	97.041	1149	34	0	1	1149	384322	383174	0.0	1934	782163	NZ_QOYG01000001.1
LRPF007|PGOAJBJE_02111:flhB_1:PGOAJBJE_02111|PGOAJBJE_02111	NZ_QOYG01000001.1	98.387	744	12	0	1	744	383917	383174	0.0	1308	782163	NZ_QOYG01000001.1
LRPF62|CPONALDP_02331:flhB:CPONALDP_02331|CPONALDP_02331	NZ_QOYG01000001.1	96.519	1149	40	0	1	1149	384322	383174	0.0	1901	782163	NZ_QOYG01000001.1
