qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1862:ybjN:HGG68_RS04550|2b84de5415a5ca9477dbe99a5510e5bf_1862	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
ECOR11_PROKKA|ECOR11_03023:ybjN:ECOR11_03023|ECOR11_03023	NZ_QOYG01000008.1	99.371	477	3	0	1	477	97810	98286	0.0	865	196976	NZ_QOYG01000008.1
ECOR14_PROKKA|ECOR14_02270:ybjN:ECOR14_02270|ECOR14_02270	NZ_QOYG01000008.1	99.371	477	3	0	1	477	97810	98286	0.0	865	196976	NZ_QOYG01000008.1
ECOR16_PROKKA|ECOR16_01928:ybjN:ECOR16_01928|ECOR16_01928	NZ_QOYG01000008.1	99.581	477	2	0	1	477	97810	98286	0.0	870	196976	NZ_QOYG01000008.1
ECOR23_PROKKA|ECOR23_03981:-:ECOR23_03981|ECOR23_03981	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
ECOR44_PROKKA|ECOR44_01507:-:ECOR44_01507|ECOR44_01507	NZ_QOYG01000008.1	99.581	477	2	0	1	477	97810	98286	0.0	870	196976	NZ_QOYG01000008.1
ECOR48_PROKKA|ECOR48_03380:-:ECOR48_03380|ECOR48_03380	NZ_QOYG01000008.1	99.371	477	3	0	1	477	97810	98286	0.0	865	196976	NZ_QOYG01000008.1
ECOR49_PROKKA|ECOR49_03511:-:ECOR49_03511|ECOR49_03511	NZ_QOYG01000008.1	99.790	477	1	0	1	477	97810	98286	0.0	876	196976	NZ_QOYG01000008.1
ECOR4_PROKKA|ECOR4_00278:-:ECOR4_00278|ECOR4_00278	NZ_QOYG01000008.1	99.581	477	2	0	1	477	97810	98286	0.0	870	196976	NZ_QOYG01000008.1
ECOR50_PROKKA|ECOR50_05205:-:ECOR50_05205|ECOR50_05205	NZ_QOYG01000008.1	99.790	477	1	0	1	477	97810	98286	0.0	876	196976	NZ_QOYG01000008.1
ECOR51_PROKKA|ECOR51_03830:-:ECOR51_03830|ECOR51_03830	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
ECOR52_PROKKA|ECOR52_03367:-:ECOR52_03367|ECOR52_03367	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
ECOR53_PROKKA|ECOR53_04136:-:ECOR53_04136|ECOR53_04136	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
ECOR54_PROKKA|ECOR54_04100:-:ECOR54_04100|ECOR54_04100	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
ECOR55_PROKKA|ECOR55_02135:-:ECOR55_02135|ECOR55_02135	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
ECOR56_PROKKA|ECOR56_02297:-:ECOR56_02297|ECOR56_02297	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
ECOR60_PROKKA|ECOR60_01322:-:ECOR60_01322|ECOR60_01322	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
ECOR61_PROKKA|ECOR61_02837:-:ECOR61_02837|ECOR61_02837	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
ECOR62_PROKKA|ECOR62_03928:-:ECOR62_03928|ECOR62_03928	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
ECOR64_PROKKA|ECOR64_02857:-:ECOR64_02857|ECOR64_02857	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
ECOR66_PROKKA|ECOR66_02702:-:ECOR66_02702|ECOR66_02702	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
ECOR6_PROKKA|ECOR6_00842:-:ECOR6_00842|ECOR6_00842	NZ_QOYG01000008.1	99.371	477	3	0	1	477	97810	98286	0.0	865	196976	NZ_QOYG01000008.1
ECOR8_PROKKA|ECOR8_01731:-:ECOR8_01731|ECOR8_01731	NZ_QOYG01000008.1	99.371	477	3	0	1	477	97810	98286	0.0	865	196976	NZ_QOYG01000008.1
KE21|HKKLMMAK_04399:ybjN:HKKLMMAK_04399|HKKLMMAK_04399	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
KE25|NKLEEENC_00477:ybjN:NKLEEENC_00477|NKLEEENC_00477	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
KE26|AFHKKBMH_01485:ybjN:AFHKKBMH_01485|AFHKKBMH_01485	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
KE4|NBLHDMPF_02790:ybjN:NBLHDMPF_02790|NBLHDMPF_02790	NZ_QOYG01000008.1	98.742	477	6	0	1	477	97810	98286	0.0	848	196976	NZ_QOYG01000008.1
KE40|EEHHMH_08675:ybjN:EEHHMH_08675|EEHHMH_08675	NZ_QOYG01000008.1	100.000	477	0	0	1	477	97810	98286	0.0	881	196976	NZ_QOYG01000008.1
