qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_7864:HGG68_RS19315:HGG68_RS19315|2b84de5415a5ca9477dbe99a5510e5bf_7864	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
ECOR11_PROKKA|ECOR11_00234:glpR:ECOR11_00234|ECOR11_00234	NZ_QOYG01000005.1	96.838	759	24	0	1	759	84379	83621	0.0	1269	223126	NZ_QOYG01000005.1
ECOR14_PROKKA|ECOR14_02662:glpR:ECOR14_02662|ECOR14_02662	NZ_QOYG01000005.1	96.838	759	24	0	1	759	84379	83621	0.0	1269	223126	NZ_QOYG01000005.1
ECOR16_PROKKA|ECOR16_04119:glpR:ECOR16_04119|ECOR16_04119	NZ_QOYG01000005.1	96.574	759	26	0	1	759	84379	83621	0.0	1258	223126	NZ_QOYG01000005.1
ECOR23_PROKKA|ECOR23_04681:-:ECOR23_04681|ECOR23_04681	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
ECOR44_PROKKA|ECOR44_04288:-:ECOR44_04288|ECOR44_04288	NZ_QOYG01000005.1	98.814	759	9	0	1	759	84379	83621	0.0	1352	223126	NZ_QOYG01000005.1
ECOR48_PROKKA|ECOR48_00888:-:ECOR48_00888|ECOR48_00888	NZ_QOYG01000005.1	95.520	759	34	0	1	759	84379	83621	0.0	1214	223126	NZ_QOYG01000005.1
ECOR49_PROKKA|ECOR49_01438:-:ECOR49_01438|ECOR49_01438	NZ_QOYG01000005.1	99.736	759	2	0	1	759	84379	83621	0.0	1391	223126	NZ_QOYG01000005.1
ECOR4_PROKKA|ECOR4_04269:-:ECOR4_04269|ECOR4_04269	NZ_QOYG01000005.1	96.706	759	25	0	1	759	84379	83621	0.0	1264	223126	NZ_QOYG01000005.1
ECOR50_PROKKA|ECOR50_04506:-:ECOR50_04506|ECOR50_04506	NZ_QOYG01000005.1	99.736	759	2	0	1	759	84379	83621	0.0	1391	223126	NZ_QOYG01000005.1
ECOR51_PROKKA|ECOR51_00115:-:ECOR51_00115|ECOR51_00115	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
ECOR52_PROKKA|ECOR52_04698:-:ECOR52_04698|ECOR52_04698	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
ECOR53_PROKKA|ECOR53_04594:-:ECOR53_04594|ECOR53_04594	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
ECOR54_PROKKA|ECOR54_00273:-:ECOR54_00273|ECOR54_00273	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
ECOR55_PROKKA|ECOR55_00113:-:ECOR55_00113|ECOR55_00113	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
ECOR56_PROKKA|ECOR56_04349:-:ECOR56_04349|ECOR56_04349	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
ECOR60_PROKKA|ECOR60_00084:-:ECOR60_00084|ECOR60_00084	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
ECOR61_PROKKA|ECOR61_04549:-:ECOR61_04549|ECOR61_04549	NZ_QOYG01000005.1	93.412	759	50	0	1	759	84379	83621	0.0	1125	223126	NZ_QOYG01000005.1
ECOR62_PROKKA|ECOR62_02496:-:ECOR62_02496|ECOR62_02496	NZ_QOYG01000005.1	93.412	759	50	0	1	759	84379	83621	0.0	1125	223126	NZ_QOYG01000005.1
ECOR64_PROKKA|ECOR64_04572:-:ECOR64_04572|ECOR64_04572	NZ_QOYG01000005.1	96.047	759	30	0	1	759	84379	83621	0.0	1236	223126	NZ_QOYG01000005.1
ECOR66_PROKKA|ECOR66_01204:-:ECOR66_01204|ECOR66_01204	NZ_QOYG01000005.1	93.808	759	47	0	1	759	84379	83621	0.0	1142	223126	NZ_QOYG01000005.1
ECOR6_PROKKA|ECOR6_00985:-:ECOR6_00985|ECOR6_00985	NZ_QOYG01000005.1	96.443	759	27	0	1	759	84379	83621	0.0	1253	223126	NZ_QOYG01000005.1
ECOR8_PROKKA|ECOR8_00064:-:ECOR8_00064|ECOR8_00064	NZ_QOYG01000005.1	96.838	759	24	0	1	759	84379	83621	0.0	1269	223126	NZ_QOYG01000005.1
KE21|HKKLMMAK_02311:glpR:HKKLMMAK_02311|HKKLMMAK_02311	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
KE24|FLBELDDJ_02190:glpR:FLBELDDJ_02190|FLBELDDJ_02190	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
KE25|NKLEEENC_02150:glpR:NKLEEENC_02150|NKLEEENC_02150	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
KE26|AFHKKBMH_04287:glpR:AFHKKBMH_04287|AFHKKBMH_04287	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
KE4|NBLHDMPF_04920:glpR:NBLHDMPF_04920|NBLHDMPF_04920	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
KE40|EEHHMH_23580:glpR:EEHHMH_23580|EEHHMH_23580	NZ_QOYG01000005.1	100.000	759	0	0	1	759	84379	83621	0.0	1402	223126	NZ_QOYG01000005.1
KE41|PNKGMM_05325:glpR:PNKGMM_05325|PNKGMM_05325	NZ_QOYG01000005.1	96.047	759	30	0	1	759	84379	83621	0.0	1236	223126	NZ_QOYG01000005.1
KE46|DADKIG_01650:glpR:DADKIG_01650|DADKIG_01650	NZ_QOYG01000005.1	96.574	759	26	0	1	759	84379	83621	0.0	1258	223126	NZ_QOYG01000005.1
KE47|NHFOKF_13865:glpR:NHFOKF_13865|NHFOKF_13865	NZ_QOYG01000005.1	100.000	759	0	0	1	759	84379	83621	0.0	1402	223126	NZ_QOYG01000005.1
KE48_PROKKA|KE48_02387:glpR:KE48_02387|KE48_02387	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
KE50|OOFCCB_07370:glpR:OOFCCB_07370|OOFCCB_07370	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
KE51|BHDFJC_03310:glpR:BHDFJC_03310|BHDFJC_03310	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
KE54|NBPOCE_13990:glpR:NBPOCE_13990|NBPOCE_13990	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
KE55|HDLJKA_01705:glpR:HDLJKA_01705|HDLJKA_01705	NZ_QOYG01000005.1	98.946	759	8	0	1	759	84379	83621	0.0	1358	223126	NZ_QOYG01000005.1
KE58|FKGHDH_01530:glpR:FKGHDH_01530|FKGHDH_01530	NZ_QOYG01000005.1	96.838	759	24	0	1	759	84379	83621	0.0	1269	223126	NZ_QOYG01000005.1
LRPF007|PGOAJBJE_02846:glpR:PGOAJBJE_02846|PGOAJBJE_02846	NZ_QOYG01000005.1	94.071	759	45	0	1	759	84379	83621	0.0	1153	223126	NZ_QOYG01000005.1
LRPF62|CPONALDP_00489:glpR:CPONALDP_00489|CPONALDP_00489	NZ_QOYG01000005.1	93.544	759	49	0	1	759	84379	83621	0.0	1131	223126	NZ_QOYG01000005.1
UTI89|a370e86af943a50f23d4c066bcb16592_7519:IFE20_RS18490:IFE20_RS18490|a370e86af943a50f23d4c066bcb16592_7519	NZ_QOYG01000005.1	93.412	759	50	0	1	759	84379	83621	0.0	1125	223126	NZ_QOYG01000005.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_8024:Y75_RS20155:Y75_RS20155|a99aee7d8774ee1318b35b64abeb3eab_8024	NZ_QOYG01000005.1	96.838	759	24	0	1	759	84379	83621	0.0	1269	223126	NZ_QOYG01000005.1
