qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
ECOR11_PROKKA|ECOR11_02279:tilS:ECOR11_02279|ECOR11_02279	NZ_QOYG01000004.1	94.453	1298	69	3	1	1296	11196	9900	0.0	1995	256634	NZ_QOYG01000004.1
ECOR14_PROKKA|ECOR14_03467:tilS:ECOR14_03467|ECOR14_03467	NZ_QOYG01000004.1	94.376	1298	70	3	1	1296	11196	9900	0.0	1989	256634	NZ_QOYG01000004.1
ECOR16_PROKKA|ECOR16_02636:tilS:ECOR16_02636|ECOR16_02636	NZ_QOYG01000004.1	94.988	1297	64	1	1	1296	11196	9900	0.0	2034	256634	NZ_QOYG01000004.1
ECOR23_PROKKA|ECOR23_00641:-:ECOR23_00641|ECOR23_00641	NZ_QOYG01000004.1	94.140	1314	75	2	1	1313	11196	9884	0.0	1999	256634	NZ_QOYG01000004.1
ECOR44_PROKKA|ECOR44_03096:-:ECOR44_03096|ECOR44_03096	NZ_QOYG01000004.1	100.000	1296	0	0	1	1296	11196	9901	0.0	2394	256634	NZ_QOYG01000004.1
ECOR48_PROKKA|ECOR48_02549:-:ECOR48_02549|ECOR48_02549	NZ_QOYG01000004.1	98.214	1288	23	0	1	1288	11196	9909	0.0	2252	256634	NZ_QOYG01000004.1
ECOR49_PROKKA|ECOR49_04406:-:ECOR49_04406|ECOR49_04406	NZ_QOYG01000004.1	95.528	1297	57	1	1	1296	11196	9900	0.0	2073	256634	NZ_QOYG01000004.1
ECOR4_PROKKA|ECOR4_01554:-:ECOR4_01554|ECOR4_01554	NZ_QOYG01000004.1	95.220	1297	61	1	1	1296	11196	9900	0.0	2050	256634	NZ_QOYG01000004.1
ECOR50_PROKKA|ECOR50_03041:-:ECOR50_03041|ECOR50_03041	NZ_QOYG01000004.1	95.528	1297	57	1	1	1296	11196	9900	0.0	2073	256634	NZ_QOYG01000004.1
ECOR51_PROKKA|ECOR51_01235:-:ECOR51_01235|ECOR51_01235	NZ_QOYG01000004.1	94.140	1314	75	2	1	1313	11196	9884	0.0	1999	256634	NZ_QOYG01000004.1
ECOR52_PROKKA|ECOR52_00692:-:ECOR52_00692|ECOR52_00692	NZ_QOYG01000004.1	94.140	1314	75	2	1	1313	11196	9884	0.0	1999	256634	NZ_QOYG01000004.1
ECOR53_PROKKA|ECOR53_02932:-:ECOR53_02932|ECOR53_02932	NZ_QOYG01000004.1	94.521	1314	70	2	1	1313	11196	9884	0.0	2026	256634	NZ_QOYG01000004.1
ECOR54_PROKKA|ECOR54_00888:-:ECOR54_00888|ECOR54_00888	NZ_QOYG01000004.1	94.140	1314	75	2	1	1313	11196	9884	0.0	1999	256634	NZ_QOYG01000004.1
ECOR55_PROKKA|ECOR55_00908:-:ECOR55_00908|ECOR55_00908	NZ_QOYG01000004.1	94.140	1314	75	2	1	1313	11196	9884	0.0	1999	256634	NZ_QOYG01000004.1
ECOR56_PROKKA|ECOR56_01040:-:ECOR56_01040|ECOR56_01040	NZ_QOYG01000004.1	94.140	1314	75	2	1	1313	11196	9884	0.0	1999	256634	NZ_QOYG01000004.1
ECOR60_PROKKA|ECOR60_02616:-:ECOR60_02616|ECOR60_02616	NZ_QOYG01000004.1	94.521	1314	70	2	1	1313	11196	9884	0.0	2026	256634	NZ_QOYG01000004.1
ECOR61_PROKKA|ECOR61_02249:-:ECOR61_02249|ECOR61_02249	NZ_QOYG01000004.1	94.834	1297	66	1	1	1296	11196	9900	0.0	2023	256634	NZ_QOYG01000004.1
ECOR62_PROKKA|ECOR62_01522:-:ECOR62_01522|ECOR62_01522	NZ_QOYG01000004.1	94.834	1297	66	1	1	1296	11196	9900	0.0	2023	256634	NZ_QOYG01000004.1
ECOR64_PROKKA|ECOR64_03220:-:ECOR64_03220|ECOR64_03220	NZ_QOYG01000004.1	95.205	1314	61	2	1	1313	11196	9884	0.0	2076	256634	NZ_QOYG01000004.1
ECOR66_PROKKA|ECOR66_02521:-:ECOR66_02521|ECOR66_02521	NZ_QOYG01000004.1	94.140	1297	75	1	1	1296	11196	9900	0.0	1973	256634	NZ_QOYG01000004.1
ECOR6_PROKKA|ECOR6_01386:-:ECOR6_01386|ECOR6_01386	NZ_QOYG01000004.1	94.453	1298	69	3	1	1296	11196	9900	0.0	1995	256634	NZ_QOYG01000004.1
ECOR8_PROKKA|ECOR8_00762:-:ECOR8_00762|ECOR8_00762	NZ_QOYG01000004.1	94.453	1298	69	3	1	1296	11196	9900	0.0	1995	256634	NZ_QOYG01000004.1
KE21|HKKLMMAK_03727:tilS:HKKLMMAK_03727|HKKLMMAK_03727	NZ_QOYG01000004.1	93.232	1315	85	4	1	1313	11196	9884	0.0	1932	256634	NZ_QOYG01000004.1
KE24|FLBELDDJ_00740:tilS:FLBELDDJ_00740|FLBELDDJ_00740	NZ_QOYG01000004.1	94.521	1314	70	2	1	1313	11196	9884	0.0	2026	256634	NZ_QOYG01000004.1
KE25|NKLEEENC_01106:tilS:NKLEEENC_01106|NKLEEENC_01106	NZ_QOYG01000004.1	93.232	1315	85	4	1	1313	11196	9884	0.0	1932	256634	NZ_QOYG01000004.1
KE26|AFHKKBMH_00860:tilS:AFHKKBMH_00860|AFHKKBMH_00860	NZ_QOYG01000004.1	93.232	1315	85	4	1	1313	11196	9884	0.0	1932	256634	NZ_QOYG01000004.1
KE4|NBLHDMPF_03518:tilS:NBLHDMPF_03518|NBLHDMPF_03518	NZ_QOYG01000004.1	94.521	1314	70	2	1	1313	11196	9884	0.0	2026	256634	NZ_QOYG01000004.1
KE40|EEHHMH_04290:tilS:EEHHMH_04290|EEHHMH_04290	NZ_QOYG01000004.1	100.000	1296	0	0	1	1296	11196	9901	0.0	2394	256634	NZ_QOYG01000004.1
KE41|PNKGMM_23625:tilS:PNKGMM_23625|PNKGMM_23625	NZ_QOYG01000004.1	95.129	1314	62	2	1	1313	11196	9884	0.0	2071	256634	NZ_QOYG01000004.1
KE46|DADKIG_18770:tilS:DADKIG_18770|DADKIG_18770	NZ_QOYG01000004.1	95.143	1297	62	1	1	1296	11196	9900	0.0	2045	256634	NZ_QOYG01000004.1
KE47|NHFOKF_07075:tilS:NHFOKF_07075|NHFOKF_07075	NZ_QOYG01000004.1	100.000	1296	0	0	1	1296	11196	9901	0.0	2394	256634	NZ_QOYG01000004.1
KE48_PROKKA|KE48_03691:tilS:KE48_03691|KE48_03691	NZ_QOYG01000004.1	94.064	1314	76	2	1	1313	11196	9884	0.0	1993	256634	NZ_QOYG01000004.1
KE50|OOFCCB_24925:tilS:OOFCCB_24925|OOFCCB_24925	NZ_QOYG01000004.1	93.232	1315	85	4	1	1313	11196	9884	0.0	1932	256634	NZ_QOYG01000004.1
KE51|BHDFJC_21685:tilS:BHDFJC_21685|BHDFJC_21685	NZ_QOYG01000004.1	94.140	1314	75	2	1	1313	11196	9884	0.0	1999	256634	NZ_QOYG01000004.1
KE54|NBPOCE_22075:tilS:NBPOCE_22075|NBPOCE_22075	NZ_QOYG01000004.1	93.156	1315	86	4	1	1313	11196	9884	0.0	1927	256634	NZ_QOYG01000004.1
