qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_4039:nudG:HGG68_RS09890|2b84de5415a5ca9477dbe99a5510e5bf_4039	NZ_QOYG01000001.1	97.549	408	10	0	1	408	259830	260237	0.0	699	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_03382:nudG:ECOR11_03382|ECOR11_03382	NZ_QOYG01000001.1	98.529	408	6	0	1	408	259830	260237	0.0	721	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_02589:nudG:ECOR14_02589|ECOR14_02589	NZ_QOYG01000001.1	98.284	408	7	0	1	408	259830	260237	0.0	715	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_01229:nudG:ECOR16_01229|ECOR16_01229	NZ_QOYG01000001.1	96.814	408	13	0	1	408	259830	260237	0.0	682	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02303:-:ECOR23_02303|ECOR23_02303	NZ_QOYG01000001.1	97.549	408	10	0	1	408	259830	260237	0.0	699	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_02705:-:ECOR44_02705|ECOR44_02705	NZ_QOYG01000001.1	97.794	408	9	0	1	408	259830	260237	0.0	704	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_00708:-:ECOR49_00708|ECOR49_00708	NZ_QOYG01000001.1	99.755	408	1	0	1	408	259830	260237	0.0	749	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_02958:-:ECOR4_02958|ECOR4_02958	NZ_QOYG01000001.1	98.529	408	6	0	1	408	259830	260237	0.0	721	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01473:-:ECOR50_01473|ECOR50_01473	NZ_QOYG01000001.1	99.755	408	1	0	1	408	259830	260237	0.0	749	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02435:-:ECOR51_02435|ECOR51_02435	NZ_QOYG01000001.1	97.549	408	10	0	1	408	259830	260237	0.0	699	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01402:-:ECOR52_01402|ECOR52_01402	NZ_QOYG01000001.1	97.549	408	10	0	1	408	259830	260237	0.0	699	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02475:-:ECOR53_02475|ECOR53_02475	NZ_QOYG01000001.1	96.552	261	9	0	1	261	259977	260237	4.52e-122	433	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02185:-:ECOR54_02185|ECOR54_02185	NZ_QOYG01000001.1	97.549	408	10	0	1	408	259830	260237	0.0	699	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_03852:-:ECOR55_03852|ECOR55_03852	NZ_QOYG01000001.1	97.549	408	10	0	1	408	259830	260237	0.0	699	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_03338:-:ECOR56_03338|ECOR56_03338	NZ_QOYG01000001.1	97.549	408	10	0	1	408	259830	260237	0.0	699	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_03462:-:ECOR60_03462|ECOR60_03462	NZ_QOYG01000001.1	96.552	261	9	0	1	261	259977	260237	4.52e-122	433	782163	NZ_QOYG01000001.1
ECOR61_PROKKA|ECOR61_01000:-:ECOR61_01000|ECOR61_01000	NZ_QOYG01000001.1	97.304	408	11	0	1	408	259830	260237	0.0	693	782163	NZ_QOYG01000001.1
ECOR62_PROKKA|ECOR62_03053:-:ECOR62_03053|ECOR62_03053	NZ_QOYG01000001.1	97.304	408	11	0	1	408	259830	260237	0.0	693	782163	NZ_QOYG01000001.1
ECOR64_PROKKA|ECOR64_04256:-:ECOR64_04256|ECOR64_04256	NZ_QOYG01000001.1	97.549	408	10	0	1	408	259830	260237	0.0	699	782163	NZ_QOYG01000001.1
ECOR66_PROKKA|ECOR66_03449:-:ECOR66_03449|ECOR66_03449	NZ_QOYG01000001.1	97.304	408	11	0	1	408	259830	260237	0.0	693	782163	NZ_QOYG01000001.1
ECOR6_PROKKA|ECOR6_02474:-:ECOR6_02474|ECOR6_02474	NZ_QOYG01000001.1	98.529	408	6	0	1	408	259830	260237	0.0	721	782163	NZ_QOYG01000001.1
ECOR8_PROKKA|ECOR8_01331:-:ECOR8_01331|ECOR8_01331	NZ_QOYG01000001.1	98.529	408	6	0	1	408	259830	260237	0.0	721	782163	NZ_QOYG01000001.1
KE21|HKKLMMAK_00420:nudG:HKKLMMAK_00420|HKKLMMAK_00420	NZ_QOYG01000001.1	97.059	408	12	0	1	408	259830	260237	0.0	688	782163	NZ_QOYG01000001.1
KE24|FLBELDDJ_03980:nudG:FLBELDDJ_03980|FLBELDDJ_03980	NZ_QOYG01000001.1	97.549	408	10	0	1	408	259830	260237	0.0	699	782163	NZ_QOYG01000001.1
KE25|NKLEEENC_04863:nudG:NKLEEENC_04863|NKLEEENC_04863	NZ_QOYG01000001.1	97.015	402	12	0	1	402	259836	260237	0.0	676	782163	NZ_QOYG01000001.1
KE26|AFHKKBMH_02474:nudG:AFHKKBMH_02474|AFHKKBMH_02474	NZ_QOYG01000001.1	97.059	408	12	0	1	408	259830	260237	0.0	688	782163	NZ_QOYG01000001.1
KE4|NBLHDMPF_01728:nudG:NBLHDMPF_01728|NBLHDMPF_01728	NZ_QOYG01000001.1	96.552	261	9	0	1	261	259977	260237	4.52e-122	433	782163	NZ_QOYG01000001.1
KE40|EEHHMH_13900:nudG:EEHHMH_13900|EEHHMH_13900	NZ_QOYG01000001.1	100.000	408	0	0	1	408	259830	260237	0.0	754	782163	NZ_QOYG01000001.1
KE41|PNKGMM_15225:nudG:PNKGMM_15225|PNKGMM_15225	NZ_QOYG01000001.1	97.549	408	10	0	1	408	259830	260237	0.0	699	782163	NZ_QOYG01000001.1
KE46|DADKIG_10330:nudG:DADKIG_10330|DADKIG_10330	NZ_QOYG01000001.1	98.039	408	8	0	1	408	259830	260237	0.0	710	782163	NZ_QOYG01000001.1
KE47|NHFOKF_22650:nudG:NHFOKF_22650|NHFOKF_22650	NZ_QOYG01000001.1	100.000	408	0	0	1	408	259830	260237	0.0	754	782163	NZ_QOYG01000001.1
KE48_PROKKA|KE48_04068:nudG:KE48_04068|KE48_04068	NZ_QOYG01000001.1	97.549	408	10	0	1	408	259830	260237	0.0	699	782163	NZ_QOYG01000001.1
KE50|OOFCCB_16980:nudG:OOFCCB_16980|OOFCCB_16980	NZ_QOYG01000001.1	97.059	408	12	0	1	408	259830	260237	0.0	688	782163	NZ_QOYG01000001.1
