qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_5563:eutK:HGG68_RS13660|2b84de5415a5ca9477dbe99a5510e5bf_5563	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
ECOR11_PROKKA|ECOR11_01387:eutK:ECOR11_01387|ECOR11_01387	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
ECOR14_PROKKA|ECOR14_01179:eutK:ECOR14_01179|ECOR14_01179	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
ECOR23_PROKKA|ECOR23_01245:-:ECOR23_01245|ECOR23_01245	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
ECOR44_PROKKA|ECOR44_04933:-:ECOR44_04933|ECOR44_04933	NZ_QOYG01000007.1	98.403	501	8	0	1	501	68656	69156	0.0	881	205005	NZ_QOYG01000007.1
ECOR48_PROKKA|ECOR48_01749:-:ECOR48_01749|ECOR48_01749	NZ_QOYG01000007.1	99.202	501	4	0	1	501	68656	69156	0.0	904	205005	NZ_QOYG01000007.1
ECOR49_PROKKA|ECOR49_04138:-:ECOR49_04138|ECOR49_04138	NZ_QOYG01000007.1	99.002	501	5	0	1	501	68656	69156	0.0	898	205005	NZ_QOYG01000007.1
ECOR4_PROKKA|ECOR4_03439:-:ECOR4_03439|ECOR4_03439	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
ECOR50_PROKKA|ECOR50_00831:-:ECOR50_00831|ECOR50_00831	NZ_QOYG01000007.1	99.002	501	5	0	1	501	68656	69156	0.0	898	205005	NZ_QOYG01000007.1
ECOR51_PROKKA|ECOR51_01709:-:ECOR51_01709|ECOR51_01709	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
ECOR52_PROKKA|ECOR52_00138:-:ECOR52_00138|ECOR52_00138	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
ECOR53_PROKKA|ECOR53_01375:-:ECOR53_01375|ECOR53_01375	NZ_QOYG01000007.1	98.802	501	6	0	1	501	68656	69156	0.0	893	205005	NZ_QOYG01000007.1
ECOR54_PROKKA|ECOR54_01535:-:ECOR54_01535|ECOR54_01535	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
ECOR55_PROKKA|ECOR55_01222:-:ECOR55_01222|ECOR55_01222	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
ECOR56_PROKKA|ECOR56_00129:-:ECOR56_00129|ECOR56_00129	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
ECOR60_PROKKA|ECOR60_02350:-:ECOR60_02350|ECOR60_02350	NZ_QOYG01000007.1	98.802	501	6	0	1	501	68656	69156	0.0	893	205005	NZ_QOYG01000007.1
ECOR61_PROKKA|ECOR61_01593:-:ECOR61_01593|ECOR61_01593	NZ_QOYG01000007.1	98.802	501	6	0	1	501	68656	69156	0.0	893	205005	NZ_QOYG01000007.1
ECOR62_PROKKA|ECOR62_02005:-:ECOR62_02005|ECOR62_02005	NZ_QOYG01000007.1	98.802	501	6	0	1	501	68656	69156	0.0	893	205005	NZ_QOYG01000007.1
ECOR64_PROKKA|ECOR64_00046:-:ECOR64_00046|ECOR64_00046	NZ_QOYG01000007.1	98.802	501	6	0	1	501	68656	69156	0.0	893	205005	NZ_QOYG01000007.1
ECOR66_PROKKA|ECOR66_00034:-:ECOR66_00034|ECOR66_00034	NZ_QOYG01000007.1	99.202	501	4	0	1	501	68656	69156	0.0	904	205005	NZ_QOYG01000007.1
ECOR6_PROKKA|ECOR6_03255:-:ECOR6_03255|ECOR6_03255	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
ECOR8_PROKKA|ECOR8_04436:-:ECOR8_04436|ECOR8_04436	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
KE21|HKKLMMAK_01203:eutK:HKKLMMAK_01203|HKKLMMAK_01203	NZ_QOYG01000007.1	98.403	501	8	0	1	501	68656	69156	0.0	881	205005	NZ_QOYG01000007.1
KE24|FLBELDDJ_03274:eutK:FLBELDDJ_03274|FLBELDDJ_03274	NZ_QOYG01000007.1	98.802	501	6	0	1	501	68656	69156	0.0	893	205005	NZ_QOYG01000007.1
KE25|NKLEEENC_03761:eutK:NKLEEENC_03761|NKLEEENC_03761	NZ_QOYG01000007.1	98.403	501	8	0	1	501	68656	69156	0.0	881	205005	NZ_QOYG01000007.1
KE26|AFHKKBMH_03250:eutK:AFHKKBMH_03250|AFHKKBMH_03250	NZ_QOYG01000007.1	98.403	501	8	0	1	501	68656	69156	0.0	881	205005	NZ_QOYG01000007.1
KE4|NBLHDMPF_00944:eutK:NBLHDMPF_00944|NBLHDMPF_00944	NZ_QOYG01000007.1	98.802	501	6	0	1	501	68656	69156	0.0	893	205005	NZ_QOYG01000007.1
KE40|EEHHMH_17990:eutK:EEHHMH_17990|EEHHMH_17990	NZ_QOYG01000007.1	100.000	501	0	0	1	501	68656	69156	0.0	926	205005	NZ_QOYG01000007.1
KE41|PNKGMM_11450:eutK:PNKGMM_11450|PNKGMM_11450	NZ_QOYG01000007.1	99.002	501	5	0	1	501	68656	69156	0.0	898	205005	NZ_QOYG01000007.1
KE46|DADKIG_06880:eutK:DADKIG_06880|DADKIG_06880	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
KE47|NHFOKF_19060:eutK:NHFOKF_19060|NHFOKF_19060	NZ_QOYG01000007.1	100.000	501	0	0	1	501	68656	69156	0.0	926	205005	NZ_QOYG01000007.1
KE48_PROKKA|KE48_01432:eutK:KE48_01432|KE48_01432	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
KE50|OOFCCB_12575:eutK:OOFCCB_12575|OOFCCB_12575	NZ_QOYG01000007.1	98.403	501	8	0	1	501	68656	69156	0.0	881	205005	NZ_QOYG01000007.1
KE51|BHDFJC_08300:eutK:BHDFJC_08300|BHDFJC_08300	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
KE54|NBPOCE_08525:eutK:NBPOCE_08525|NBPOCE_08525	NZ_QOYG01000007.1	98.403	501	8	0	1	501	68656	69156	0.0	881	205005	NZ_QOYG01000007.1
KE55|HDLJKA_06675:eutK:HDLJKA_06675|HDLJKA_06675	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
KE58|FKGHDH_06840:eutK:FKGHDH_06840|FKGHDH_06840	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
LRPF007|PGOAJBJE_00198:eutK:PGOAJBJE_00198|PGOAJBJE_00198	NZ_QOYG01000007.1	98.802	501	6	0	1	501	68656	69156	0.0	893	205005	NZ_QOYG01000007.1
LRPF62|CPONALDP_01585:eutK:CPONALDP_01585|CPONALDP_01585	NZ_QOYG01000007.1	98.403	501	8	0	1	501	68656	69156	0.0	881	205005	NZ_QOYG01000007.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_5241:eutK:b2438|9d38f563c3a26fdef9221ebcd767f53a_5241	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
UTI89|a370e86af943a50f23d4c066bcb16592_5341:eutK:IFE20_RS13150|a370e86af943a50f23d4c066bcb16592_5341	NZ_QOYG01000007.1	98.802	501	6	0	1	501	68656	69156	0.0	893	205005	NZ_QOYG01000007.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_5105:eutK:Y75_RS12805|a99aee7d8774ee1318b35b64abeb3eab_5105	NZ_QOYG01000007.1	98.603	501	7	0	1	501	68656	69156	0.0	887	205005	NZ_QOYG01000007.1
