qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_84:fixA:HGG68_RS00205|2b84de5415a5ca9477dbe99a5510e5bf_84	NZ_QOYG01000004.1	98.573	771	11	0	1	771	179785	179015	0.0	1363	256634	NZ_QOYG01000004.1
ECOR11_PROKKA|ECOR11_02422:fixA:ECOR11_02422|ECOR11_02422	NZ_QOYG01000004.1	97.925	771	16	0	1	771	179785	179015	0.0	1336	256634	NZ_QOYG01000004.1
ECOR14_PROKKA|ECOR14_03609:fixA_2:ECOR14_03609|ECOR14_03609	NZ_QOYG01000004.1	98.054	771	15	0	1	771	179785	179015	0.0	1341	256634	NZ_QOYG01000004.1
ECOR16_PROKKA|ECOR16_02494:fixA_3:ECOR16_02494|ECOR16_02494	NZ_QOYG01000004.1	99.092	771	7	0	1	771	179785	179015	0.0	1386	256634	NZ_QOYG01000004.1
ECOR23_PROKKA|ECOR23_00081:-:ECOR23_00081|ECOR23_00081	NZ_QOYG01000004.1	98.573	771	11	0	1	771	179785	179015	0.0	1363	256634	NZ_QOYG01000004.1
ECOR44_PROKKA|ECOR44_03240:-:ECOR44_03240|ECOR44_03240	NZ_QOYG01000004.1	98.962	771	8	0	1	771	179785	179015	0.0	1380	256634	NZ_QOYG01000004.1
ECOR48_PROKKA|ECOR48_02694:-:ECOR48_02694|ECOR48_02694	NZ_QOYG01000004.1	98.833	771	9	0	1	771	179785	179015	0.0	1375	256634	NZ_QOYG01000004.1
ECOR49_PROKKA|ECOR49_04552:-:ECOR49_04552|ECOR49_04552	NZ_QOYG01000004.1	98.962	771	8	0	1	771	179785	179015	0.0	1380	256634	NZ_QOYG01000004.1
ECOR50_PROKKA|ECOR50_03184:-:ECOR50_03184|ECOR50_03184	NZ_QOYG01000004.1	97.925	771	16	0	1	771	179785	179015	0.0	1336	256634	NZ_QOYG01000004.1
ECOR51_PROKKA|ECOR51_04841:-:ECOR51_04841|ECOR51_04841	NZ_QOYG01000004.1	98.573	771	11	0	1	771	179785	179015	0.0	1363	256634	NZ_QOYG01000004.1
