qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_4941:yehC:HGG68_RS12125|2b84de5415a5ca9477dbe99a5510e5bf_4941	NZ_QOYG01000001.1	96.296	675	25	0	1	675	607356	606682	0.0	1109	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_01699:yehC_1:ECOR11_01699|ECOR11_01699	NZ_QOYG01000001.1	95.852	675	28	0	1	675	607356	606682	0.0	1092	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_01856:yehC:ECOR14_01856|ECOR14_01856	NZ_QOYG01000001.1	96.000	675	27	0	1	675	607356	606682	0.0	1098	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_00105:yehC:ECOR16_00105|ECOR16_00105	NZ_QOYG01000001.1	96.000	675	27	0	1	675	607356	606682	0.0	1098	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_01553:-:ECOR23_01553|ECOR23_01553	NZ_QOYG01000001.1	96.296	675	25	0	1	675	607356	606682	0.0	1109	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_04744:-:ECOR44_04744|ECOR44_04744	NZ_QOYG01000001.1	100.000	675	0	0	1	675	607356	606682	0.0	1247	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_00034:-:ECOR48_00034|ECOR48_00034	NZ_QOYG01000001.1	98.370	675	11	0	1	675	607356	606682	0.0	1186	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_03082:-:ECOR49_03082|ECOR49_03082	NZ_QOYG01000001.1	98.667	675	9	0	1	675	607356	606682	0.0	1197	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_00933:-:ECOR50_00933|ECOR50_00933	NZ_QOYG01000001.1	99.140	465	4	0	1	465	607146	606682	0.0	837	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_01403:-:ECOR51_01403|ECOR51_01403	NZ_QOYG01000001.1	96.296	675	25	0	1	675	607356	606682	0.0	1109	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_02470:-:ECOR52_02470|ECOR52_02470	NZ_QOYG01000001.1	96.296	675	25	0	1	675	607356	606682	0.0	1109	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_01680:-:ECOR53_01680|ECOR53_01680	NZ_QOYG01000001.1	96.444	675	24	0	1	675	607356	606682	0.0	1114	782163	NZ_QOYG01000001.1
