qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_676:lafU:HGG68_RS01645|2b84de5415a5ca9477dbe99a5510e5bf_676	NC_000913.3	97.455	786	20	0	1	786	250042	250827	0.0	1341	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR11_PROKKA|ECOR11_03232:motB_1:ECOR11_03232|ECOR11_03232	NC_000913.3	100.000	636	0	0	1	636	250192	250827	0.0	1175	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR14_PROKKA|ECOR14_03342:lafU:ECOR14_03342|ECOR14_03342	NC_000913.3	97.327	636	17	0	1	636	250192	250827	0.0	1081	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR16_PROKKA|ECOR16_02288:lafU:ECOR16_02288|ECOR16_02288	NC_000913.3	96.541	636	22	0	1	636	250192	250827	0.0	1053	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR23_PROKKA|ECOR23_01807:-:ECOR23_01807|ECOR23_01807	NC_000913.3	97.484	636	16	0	1	636	250192	250827	0.0	1086	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR44_PROKKA|ECOR44_03395:-:ECOR44_03395|ECOR44_03395	NC_000913.3	95.440	636	29	0	1	636	250192	250827	0.0	1014	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR48_PROKKA|ECOR48_04048:-:ECOR48_04048|ECOR48_04048	NC_000913.3	96.094	768	30	0	153	920	250056	250823	0.0	1253	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR49_PROKKA|ECOR49_00855:-:ECOR49_00855|ECOR49_00855	NC_000913.3	96.484	768	27	0	153	920	250056	250823	0.0	1269	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR4_PROKKA|ECOR4_01875:-:ECOR4_01875|ECOR4_01875	NC_000913.3	97.150	772	22	0	153	924	250056	250827	0.0	1304	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR50_PROKKA|ECOR50_00074:-:ECOR50_00074|ECOR50_00074	NC_000913.3	96.484	768	27	0	153	920	250056	250823	0.0	1269	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR51_PROKKA|ECOR51_00614:-:ECOR51_00614|ECOR51_00614	NC_000913.3	97.484	636	16	0	1	636	250192	250827	0.0	1086	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR52_PROKKA|ECOR52_02049:-:ECOR52_02049|ECOR52_02049	NC_000913.3	97.484	636	16	0	1	636	250192	250827	0.0	1086	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR53_PROKKA|ECOR53_00107:-:ECOR53_00107|ECOR53_00107	NC_000913.3	97.085	686	20	0	2	687	250142	250827	0.0	1157	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR54_PROKKA|ECOR54_00490:-:ECOR54_00490|ECOR54_00490	NC_000913.3	97.484	636	16	0	1	636	250192	250827	0.0	1086	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR55_PROKKA|ECOR55_00475:-:ECOR55_00475|ECOR55_00475	NC_000913.3	97.327	636	17	0	1	636	250192	250827	0.0	1081	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
ECOR56_PROKKA|ECOR56_00842:-:ECOR56_00842|ECOR56_00842	NC_000913.3	97.327	636	17	0	1	636	250192	250827	0.0	1081	4641652	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
