qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_2432:ymdA:HGG68_RS05950|2b84de5415a5ca9477dbe99a5510e5bf_2432	NZ_QOYG01000006.1	96.795	312	10	0	1	312	88499	88810	1.14e-148	521	214558	NZ_QOYG01000006.1
ECOR11_PROKKA|ECOR11_04279:ymdA:ECOR11_04279|ECOR11_04279	NZ_QOYG01000006.1	96.154	312	12	0	1	312	88499	88810	2.46e-145	510	214558	NZ_QOYG01000006.1
ECOR14_PROKKA|ECOR14_00557:ymdA:ECOR14_00557|ECOR14_00557	NZ_QOYG01000006.1	96.154	312	12	0	1	312	88499	88810	2.46e-145	510	214558	NZ_QOYG01000006.1
ECOR16_PROKKA|ECOR16_00275:ymdA:ECOR16_00275|ECOR16_00275	NZ_QOYG01000006.1	96.154	312	12	0	1	312	88499	88810	2.46e-145	510	214558	NZ_QOYG01000006.1
ECOR23_PROKKA|ECOR23_00411:-:ECOR23_00411|ECOR23_00411	NZ_QOYG01000006.1	96.795	312	10	0	1	312	88499	88810	1.14e-148	521	214558	NZ_QOYG01000006.1
ECOR44_PROKKA|ECOR44_01342:-:ECOR44_01342|ECOR44_01342	NZ_QOYG01000006.1	99.679	312	1	0	1	312	88499	88810	1.11e-163	571	214558	NZ_QOYG01000006.1
ECOR48_PROKKA|ECOR48_00635:-:ECOR48_00635|ECOR48_00635	NZ_QOYG01000006.1	98.718	312	4	0	1	312	88499	88810	1.12e-158	555	214558	NZ_QOYG01000006.1
ECOR49_PROKKA|ECOR49_02512:-:ECOR49_02512|ECOR49_02512	NZ_QOYG01000006.1	98.718	312	4	0	1	312	88499	88810	1.12e-158	555	214558	NZ_QOYG01000006.1
ECOR4_PROKKA|ECOR4_00455:-:ECOR4_00455|ECOR4_00455	NZ_QOYG01000006.1	96.795	312	10	0	1	312	88499	88810	1.14e-148	521	214558	NZ_QOYG01000006.1
ECOR50_PROKKA|ECOR50_00513:-:ECOR50_00513|ECOR50_00513	NZ_QOYG01000006.1	98.718	312	4	0	1	312	88499	88810	1.12e-158	555	214558	NZ_QOYG01000006.1
