qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1904:lysO:HGG68_RS04655|2b84de5415a5ca9477dbe99a5510e5bf_1904	NZ_QOYG01000008.1	97.000	900	27	0	1	900	125450	124551	0.0	1513	196976	NZ_QOYG01000008.1
ECOR11_PROKKA|ECOR11_03002:ybjE:ECOR11_03002|ECOR11_03002	NZ_QOYG01000008.1	97.111	900	26	0	1	900	125450	124551	0.0	1519	196976	NZ_QOYG01000008.1
ECOR14_PROKKA|ECOR14_02291:lysO:ECOR14_02291|ECOR14_02291	NZ_QOYG01000008.1	97.111	900	26	0	1	900	125450	124551	0.0	1519	196976	NZ_QOYG01000008.1
ECOR16_PROKKA|ECOR16_01949:lysO:ECOR16_01949|ECOR16_01949	NZ_QOYG01000008.1	97.444	900	23	0	1	900	125450	124551	0.0	1535	196976	NZ_QOYG01000008.1
ECOR23_PROKKA|ECOR23_03960:-:ECOR23_03960|ECOR23_03960	NZ_QOYG01000008.1	97.000	900	27	0	1	900	125450	124551	0.0	1513	196976	NZ_QOYG01000008.1
ECOR44_PROKKA|ECOR44_01485:-:ECOR44_01485|ECOR44_01485	NZ_QOYG01000008.1	98.444	900	14	0	1	900	125450	124551	0.0	1585	196976	NZ_QOYG01000008.1
ECOR48_PROKKA|ECOR48_03402:-:ECOR48_03402|ECOR48_03402	NZ_QOYG01000008.1	96.889	900	28	0	1	900	125450	124551	0.0	1507	196976	NZ_QOYG01000008.1
ECOR49_PROKKA|ECOR49_03533:-:ECOR49_03533|ECOR49_03533	NZ_QOYG01000008.1	97.444	900	23	0	1	900	125450	124551	0.0	1535	196976	NZ_QOYG01000008.1
ECOR4_PROKKA|ECOR4_00257:-:ECOR4_00257|ECOR4_00257	NZ_QOYG01000008.1	97.000	900	27	0	1	900	125450	124551	0.0	1513	196976	NZ_QOYG01000008.1
ECOR50_PROKKA|ECOR50_05227:-:ECOR50_05227|ECOR50_05227	NZ_QOYG01000008.1	97.444	900	23	0	1	900	125450	124551	0.0	1535	196976	NZ_QOYG01000008.1
ECOR51_PROKKA|ECOR51_03809:-:ECOR51_03809|ECOR51_03809	NZ_QOYG01000008.1	97.000	900	27	0	1	900	125450	124551	0.0	1513	196976	NZ_QOYG01000008.1
ECOR52_PROKKA|ECOR52_03346:-:ECOR52_03346|ECOR52_03346	NZ_QOYG01000008.1	97.000	900	27	0	1	900	125450	124551	0.0	1513	196976	NZ_QOYG01000008.1
ECOR53_PROKKA|ECOR53_04115:-:ECOR53_04115|ECOR53_04115	NZ_QOYG01000008.1	97.000	900	27	0	1	900	125450	124551	0.0	1513	196976	NZ_QOYG01000008.1
ECOR54_PROKKA|ECOR54_04079:-:ECOR54_04079|ECOR54_04079	NZ_QOYG01000008.1	97.000	900	27	0	1	900	125450	124551	0.0	1513	196976	NZ_QOYG01000008.1
