qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_7293:HGG68_RS17905:HGG68_RS17905|2b84de5415a5ca9477dbe99a5510e5bf_7293	NZ_QOYG01000002.1	98.462	780	12	0	1	780	132252	131473	0.0	1375	724032	NZ_QOYG01000002.1
ECOR11_PROKKA|ECOR11_03696:agaC_2:ECOR11_03696|ECOR11_03696	NZ_QOYG01000002.1	97.821	780	17	0	1	780	132252	131473	0.0	1347	724032	NZ_QOYG01000002.1
ECOR14_PROKKA|ECOR14_03054:agaC_2:ECOR14_03054|ECOR14_03054	NZ_QOYG01000002.1	97.821	780	17	0	1	780	132252	131473	0.0	1347	724032	NZ_QOYG01000002.1
ECOR16_PROKKA|ECOR16_03694:agaC_1:ECOR16_03694|ECOR16_03694	NZ_QOYG01000002.1	98.205	780	14	0	1	780	132252	131473	0.0	1363	724032	NZ_QOYG01000002.1
ECOR23_PROKKA|ECOR23_03281:-:ECOR23_03281|ECOR23_03281	NZ_QOYG01000002.1	98.462	780	12	0	1	780	132252	131473	0.0	1375	724032	NZ_QOYG01000002.1
ECOR44_PROKKA|ECOR44_03592:-:ECOR44_03592|ECOR44_03592	NZ_QOYG01000002.1	98.590	780	11	0	1	780	132252	131473	0.0	1380	724032	NZ_QOYG01000002.1
ECOR48_PROKKA|ECOR48_00286:-:ECOR48_00286|ECOR48_00286	NZ_QOYG01000002.1	98.462	780	12	0	1	780	132252	131473	0.0	1375	724032	NZ_QOYG01000002.1
ECOR49_PROKKA|ECOR49_01750:-:ECOR49_01750|ECOR49_01750	NZ_QOYG01000002.1	98.846	780	9	0	1	780	132252	131473	0.0	1391	724032	NZ_QOYG01000002.1
ECOR4_PROKKA|ECOR4_01243:-:ECOR4_01243|ECOR4_01243	NZ_QOYG01000002.1	98.333	780	13	0	1	780	132252	131473	0.0	1369	724032	NZ_QOYG01000002.1
ECOR50_PROKKA|ECOR50_04331:-:ECOR50_04331|ECOR50_04331	NZ_QOYG01000002.1	98.974	780	8	0	1	780	132252	131473	0.0	1397	724032	NZ_QOYG01000002.1
