qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9322:aceK:HGG68_RS22850|2b84de5415a5ca9477dbe99a5510e5bf_9322	NZ_QOYG01000018.1	95.394	1715	79	0	1	1715	79119	77405	0.0	2730	84413	NZ_QOYG01000018.1
ECOR11_PROKKA|ECOR11_00154:aceK:ECOR11_00154|ECOR11_00154	NZ_QOYG01000018.1	97.121	1737	50	0	1	1737	79119	77383	0.0	2931	84413	NZ_QOYG01000018.1
ECOR14_PROKKA|ECOR14_00457:aceK:ECOR14_00457|ECOR14_00457	NZ_QOYG01000018.1	96.431	1737	62	0	1	1737	79119	77383	0.0	2865	84413	NZ_QOYG01000018.1
ECOR16_PROKKA|ECOR16_01213:aceK:ECOR16_01213|ECOR16_01213	NZ_QOYG01000018.1	97.237	1737	48	0	1	1737	79119	77383	0.0	2942	84413	NZ_QOYG01000018.1
ECOR23_PROKKA|ECOR23_00818:-:ECOR23_00818|ECOR23_00818	NZ_QOYG01000018.1	95.394	1715	79	0	1	1715	79119	77405	0.0	2730	84413	NZ_QOYG01000018.1
ECOR44_PROKKA|ECOR44_02768:-:ECOR44_02768|ECOR44_02768	NZ_QOYG01000018.1	97.983	1735	34	1	1	1735	79119	77386	0.0	3009	84413	NZ_QOYG01000018.1
ECOR48_PROKKA|ECOR48_04245:-:ECOR48_04245|ECOR48_04245	NZ_QOYG01000018.1	99.021	1737	17	0	1	1737	79119	77383	0.0	3114	84413	NZ_QOYG01000018.1
ECOR4_PROKKA|ECOR4_02835:-:ECOR4_02835|ECOR4_02835	NZ_QOYG01000018.1	96.431	1737	62	0	1	1737	79119	77383	0.0	2865	84413	NZ_QOYG01000018.1
ECOR50_PROKKA|ECOR50_04652:-:ECOR50_04652|ECOR50_04652	NZ_QOYG01000018.1	98.790	1735	20	1	1	1735	79119	77386	0.0	3086	84413	NZ_QOYG01000018.1
ECOR51_PROKKA|ECOR51_01246:-:ECOR51_01246|ECOR51_01246	NZ_QOYG01000018.1	95.394	1715	79	0	1	1715	79119	77405	0.0	2730	84413	NZ_QOYG01000018.1
ECOR52_PROKKA|ECOR52_00870:-:ECOR52_00870|ECOR52_00870	NZ_QOYG01000018.1	95.394	1715	79	0	1	1715	79119	77405	0.0	2730	84413	NZ_QOYG01000018.1
