qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_813:yahK:HGG68_RS01985|2b84de5415a5ca9477dbe99a5510e5bf_813	NZ_QOYG01000023.1	98.000	1050	21	0	1	1050	12022	10973	0.0	1823	66849	NZ_QOYG01000023.1
ECOR11_PROKKA|ECOR11_04688:yahK:ECOR11_04688|ECOR11_04688	NZ_QOYG01000023.1	99.048	1050	10	0	1	1050	12022	10973	0.0	1884	66849	NZ_QOYG01000023.1
ECOR14_PROKKA|ECOR14_03968:yahK:ECOR14_03968|ECOR14_03968	NZ_QOYG01000023.1	99.048	1050	10	0	1	1050	12022	10973	0.0	1884	66849	NZ_QOYG01000023.1
ECOR23_PROKKA|ECOR23_00285:-:ECOR23_00285|ECOR23_00285	NZ_QOYG01000023.1	98.000	1050	21	0	1	1050	12022	10973	0.0	1823	66849	NZ_QOYG01000023.1
ECOR44_PROKKA|ECOR44_02932:-:ECOR44_02932|ECOR44_02932	NZ_QOYG01000023.1	97.238	1050	29	0	1	1050	12022	10973	0.0	1779	66849	NZ_QOYG01000023.1
ECOR48_PROKKA|ECOR48_04118:-:ECOR48_04118|ECOR48_04118	NZ_QOYG01000023.1	98.000	1050	21	0	1	1050	12022	10973	0.0	1823	66849	NZ_QOYG01000023.1
ECOR49_PROKKA|ECOR49_00939:-:ECOR49_00939|ECOR49_00939	NZ_QOYG01000023.1	98.571	1050	15	0	1	1050	12022	10973	0.0	1857	66849	NZ_QOYG01000023.1
ECOR4_PROKKA|ECOR4_01771:-:ECOR4_01771|ECOR4_01771	NZ_QOYG01000023.1	99.048	1050	10	0	1	1050	12022	10973	0.0	1884	66849	NZ_QOYG01000023.1
ECOR50_PROKKA|ECOR50_00146:-:ECOR50_00146|ECOR50_00146	NZ_QOYG01000023.1	98.667	1050	14	0	1	1050	12022	10973	0.0	1862	66849	NZ_QOYG01000023.1
ECOR51_PROKKA|ECOR51_00529:-:ECOR51_00529|ECOR51_00529	NZ_QOYG01000023.1	98.000	1050	21	0	1	1050	12022	10973	0.0	1823	66849	NZ_QOYG01000023.1
ECOR52_PROKKA|ECOR52_00331:-:ECOR52_00331|ECOR52_00331	NZ_QOYG01000023.1	98.000	1050	21	0	1	1050	12022	10973	0.0	1823	66849	NZ_QOYG01000023.1
