qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_8249:yibF:HGG68_RS20255|2b84de5415a5ca9477dbe99a5510e5bf_8249	contig_1	100.000	162	0	0	448	609	864137	864298	1.24e-81	300	5050178	contig_1
ECOR11_PROKKA|ECOR11_01165:yibF:ECOR11_01165|ECOR11_01165	contig_1	99.383	162	1	0	448	609	864137	864298	5.78e-80	294	5050178	contig_1
ECOR14_PROKKA|ECOR14_03725:yibF:ECOR14_03725|ECOR14_03725	contig_1	99.383	162	1	0	448	609	864137	864298	5.78e-80	294	5050178	contig_1
ECOR16_PROKKA|ECOR16_02760:yibF:ECOR16_02760|ECOR16_02760	contig_1	99.383	162	1	0	448	609	864137	864298	5.78e-80	294	5050178	contig_1
ECOR23_PROKKA|ECOR23_01107:-:ECOR23_01107|ECOR23_01107	contig_1	100.000	162	0	0	448	609	864137	864298	1.24e-81	300	5050178	contig_1
ECOR44_PROKKA|ECOR44_00657:-:ECOR44_00657|ECOR44_00657	contig_1	100.000	162	0	0	448	609	864137	864298	1.24e-81	300	5050178	contig_1
ECOR48_PROKKA|ECOR48_01964:-:ECOR48_01964|ECOR48_01964	contig_1	100.000	162	0	0	448	609	864137	864298	1.24e-81	300	5050178	contig_1
ECOR49_PROKKA|ECOR49_00483:-:ECOR49_00483|ECOR49_00483	contig_1	99.383	162	1	0	448	609	864137	864298	5.78e-80	294	5050178	contig_1
ECOR4_PROKKA|ECOR4_02435:-:ECOR4_02435|ECOR4_02435	contig_1	99.383	162	1	0	448	609	864137	864298	5.78e-80	294	5050178	contig_1
ECOR50_PROKKA|ECOR50_00574:-:ECOR50_00574|ECOR50_00574	contig_1	99.383	162	1	0	448	609	864137	864298	5.78e-80	294	5050178	contig_1
ECOR51_PROKKA|ECOR51_04027:-:ECOR51_04027|ECOR51_04027	contig_1	100.000	162	0	0	448	609	864137	864298	1.24e-81	300	5050178	contig_1
ECOR52_PROKKA|ECOR52_01163:-:ECOR52_01163|ECOR52_01163	contig_1	100.000	162	0	0	448	609	864137	864298	1.24e-81	300	5050178	contig_1
ECOR53_PROKKA|ECOR53_01068:-:ECOR53_01068|ECOR53_01068	contig_1	100.000	162	0	0	448	609	864137	864298	1.24e-81	300	5050178	contig_1
