qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3663:ydfJ:HGG68_RS08975|2b84de5415a5ca9477dbe99a5510e5bf_3663	NC_007779.1	97.986	1291	25	1	78	1368	1634005	1632716	0.0	2239	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR11_PROKKA|ECOR11_02086:ydfJ:ECOR11_02086|ECOR11_02086	NC_007779.1	100.000	1284	0	0	1	1284	1633999	1632716	0.0	2372	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR14_PROKKA|ECOR14_04442:ydfJ:ECOR14_04442|ECOR14_04442	NC_007779.1	99.844	1284	2	0	1	1284	1633999	1632716	0.0	2361	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR16_PROKKA|ECOR16_03307:ydfJ:ECOR16_03307|ECOR16_03307	NC_007779.1	98.676	1284	17	0	1	1284	1633999	1632716	0.0	2278	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR23_PROKKA|ECOR23_02482:-:ECOR23_02482|ECOR23_02482	NC_007779.1	97.986	1291	25	1	78	1368	1634005	1632716	0.0	2239	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR44_PROKKA|ECOR44_04534:-:ECOR44_04534|ECOR44_04534	NC_007779.1	97.211	1291	35	1	78	1368	1634005	1632716	0.0	2183	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR48_PROKKA|ECOR48_02533:-:ECOR48_02533|ECOR48_02533	NC_007779.1	97.664	1284	30	0	1	1284	1633999	1632716	0.0	2206	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR49_PROKKA|ECOR49_02633:-:ECOR49_02633|ECOR49_02633	NC_007779.1	97.819	1284	28	0	1	1284	1633999	1632716	0.0	2217	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR4_PROKKA|ECOR4_01674:-:ECOR4_01674|ECOR4_01674	NC_007779.1	99.922	1284	1	0	1	1284	1633999	1632716	0.0	2366	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR50_PROKKA|ECOR50_04905:-:ECOR50_04905|ECOR50_04905	NC_007779.1	97.819	1284	28	0	1	1284	1633999	1632716	0.0	2217	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR51_PROKKA|ECOR51_01901:-:ECOR51_01901|ECOR51_01901	NC_007779.1	98.053	1284	25	0	1	1284	1633999	1632716	0.0	2233	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR52_PROKKA|ECOR52_01581:-:ECOR52_01581|ECOR52_01581	NC_007779.1	97.986	1291	25	1	78	1368	1634005	1632716	0.0	2239	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR53_PROKKA|ECOR53_02293:-:ECOR53_02293|ECOR53_02293	NC_007779.1	97.754	1291	28	1	78	1368	1634005	1632716	0.0	2222	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR54_PROKKA|ECOR54_00986:-:ECOR54_00986|ECOR54_00986	NC_007779.1	98.053	1284	25	0	1	1284	1633999	1632716	0.0	2233	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR55_PROKKA|ECOR55_01610:-:ECOR55_01610|ECOR55_01610	NC_007779.1	98.053	1284	25	0	1	1284	1633999	1632716	0.0	2233	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR56_PROKKA|ECOR56_01709:-:ECOR56_01709|ECOR56_01709	NC_007779.1	98.053	1284	25	0	1	1284	1633999	1632716	0.0	2233	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR60_PROKKA|ECOR60_03642:-:ECOR60_03642|ECOR60_03642	NC_007779.1	97.754	1291	28	1	78	1368	1634005	1632716	0.0	2222	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR61_PROKKA|ECOR61_00503:-:ECOR61_00503|ECOR61_00503	NC_007779.1	96.787	249	8	0	1	249	1632964	1632716	4.08e-117	416	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR62_PROKKA|ECOR62_00058:-:ECOR62_00058|ECOR62_00058	NC_007779.1	96.787	249	8	0	1	249	1632964	1632716	4.08e-117	416	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR64_PROKKA|ECOR64_04435:-:ECOR64_04435|ECOR64_04435	NC_007779.1	98.064	1291	24	1	78	1368	1634005	1632716	0.0	2244	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR66_PROKKA|ECOR66_01852:-:ECOR66_01852|ECOR66_01852	NC_007779.1	98.064	1291	24	1	78	1368	1634005	1632716	0.0	2244	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR6_PROKKA|ECOR6_02139:-:ECOR6_02139|ECOR6_02139	NC_007779.1	99.922	1284	1	0	1	1284	1633999	1632716	0.0	2366	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
ECOR8_PROKKA|ECOR8_01932:-:ECOR8_01932|ECOR8_01932	NC_007779.1	100.000	1284	0	0	1	1284	1633999	1632716	0.0	2372	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE21|HKKLMMAK_00234:ydfJ:HKKLMMAK_00234|HKKLMMAK_00234	NC_007779.1	97.986	1291	25	1	78	1368	1634005	1632716	0.0	2239	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE24|FLBELDDJ_04211:ydfJ:FLBELDDJ_04211|FLBELDDJ_04211	NC_007779.1	97.754	1291	28	1	78	1368	1634005	1632716	0.0	2222	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE25|NKLEEENC_04678:ydfJ:NKLEEENC_04678|NKLEEENC_04678	NC_007779.1	97.986	1291	25	1	78	1368	1634005	1632716	0.0	2239	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE26|AFHKKBMH_02288:ydfJ:AFHKKBMH_02288|AFHKKBMH_02288	NC_007779.1	97.986	1291	25	1	78	1368	1634005	1632716	0.0	2239	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE4|NBLHDMPF_01913:ydfJ_1:NBLHDMPF_01913|NBLHDMPF_01913	NC_007779.1	97.754	1291	28	1	78	1368	1634005	1632716	0.0	2222	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE40|EEHHMH_12640:ydfJ:EEHHMH_12640|EEHHMH_12640	NC_007779.1	97.274	1284	35	0	1	1284	1633999	1632716	0.0	2178	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE41|PNKGMM_16285:ydfJ:PNKGMM_16285|PNKGMM_16285	NC_007779.1	98.064	1291	24	1	78	1368	1634005	1632716	0.0	2244	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE46|DADKIG_11460:ydfJ:DADKIG_11460|DADKIG_11460	NC_007779.1	99.065	1284	12	0	1	1284	1633999	1632716	0.0	2305	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE47|NHFOKF_23910:ydfJ:NHFOKF_23910|NHFOKF_23910	NC_007779.1	97.274	1284	35	0	1	1284	1633999	1632716	0.0	2178	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE48_PROKKA|KE48_04302:ydfJ_2:KE48_04302|KE48_04302	NC_007779.1	97.819	1284	28	0	1	1284	1633999	1632716	0.0	2217	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE50|OOFCCB_17925:ydfJ:OOFCCB_17925|OOFCCB_17925	NC_007779.1	97.986	1291	25	1	78	1368	1634005	1632716	0.0	2239	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE51|BHDFJC_14545:ydfJ:BHDFJC_14545|BHDFJC_14545	NC_007779.1	97.986	1291	25	1	78	1368	1634005	1632716	0.0	2239	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE54|NBPOCE_03185:ydfJ:NBPOCE_03185|NBPOCE_03185	NC_007779.1	97.986	1291	25	1	78	1368	1634005	1632716	0.0	2239	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE55|HDLJKA_11680:ydfJ:HDLJKA_11680|HDLJKA_11680	NC_007779.1	97.897	1284	27	0	1	1284	1633999	1632716	0.0	2222	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
KE58|FKGHDH_11940:ydfJ:FKGHDH_11940|FKGHDH_11940	NC_007779.1	99.922	1284	1	0	1	1284	1633999	1632716	0.0	2366	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
LRPF007|PGOAJBJE_01809:ydfJ:PGOAJBJE_01809|PGOAJBJE_01809	NC_007779.1	97.909	1291	26	1	78	1368	1634005	1632716	0.0	2233	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
LRPF62|CPONALDP_02637:ydfJ:CPONALDP_02637|CPONALDP_02637	NC_007779.1	97.986	1291	25	1	78	1368	1634005	1632716	0.0	2239	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
MG1655|9d38f563c3a26fdef9221ebcd767f53a_3327:ydfJ:b1543|9d38f563c3a26fdef9221ebcd767f53a_3327	NC_007779.1	100.000	1284	0	0	1	1284	1633999	1632716	0.0	2372	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
UTI89|a370e86af943a50f23d4c066bcb16592_3385:-:IFE20_RS08325|a370e86af943a50f23d4c066bcb16592_3385	NC_007779.1	96.591	264	9	0	1	264	1632979	1632716	9.29e-124	438	4646332	NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
