qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3881:sufD:HGG68_RS09500|2b84de5415a5ca9477dbe99a5510e5bf_3881	NZ_QOYM01000002.1	99.057	1272	12	0	1	1272	157624	156353	0.0	2283	573866	NZ_QOYM01000002.1
ECOR11_PROKKA|ECOR11_03461:sufD:ECOR11_03461|ECOR11_03461	NZ_QOYM01000002.1	97.327	1272	34	0	1	1272	157624	156353	0.0	2161	573866	NZ_QOYM01000002.1
ECOR14_PROKKA|ECOR14_00979:sufD:ECOR14_00979|ECOR14_00979	NZ_QOYM01000002.1	97.091	1272	37	0	1	1272	157624	156353	0.0	2145	573866	NZ_QOYM01000002.1
ECOR16_PROKKA|ECOR16_04227:sufD:ECOR16_04227|ECOR16_04227	NZ_QOYM01000002.1	97.170	1272	36	0	1	1272	157624	156353	0.0	2150	573866	NZ_QOYM01000002.1
ECOR23_PROKKA|ECOR23_02380:-:ECOR23_02380|ECOR23_02380	NZ_QOYM01000002.1	99.057	1272	12	0	1	1272	157624	156353	0.0	2283	573866	NZ_QOYM01000002.1
ECOR44_PROKKA|ECOR44_04430:-:ECOR44_04430|ECOR44_04430	NZ_QOYM01000002.1	96.934	1272	39	0	1	1272	157624	156353	0.0	2134	573866	NZ_QOYM01000002.1
ECOR48_PROKKA|ECOR48_03841:-:ECOR48_03841|ECOR48_03841	NZ_QOYM01000002.1	96.305	1272	47	0	1	1272	157624	156353	0.0	2089	573866	NZ_QOYM01000002.1
ECOR49_PROKKA|ECOR49_01038:-:ECOR49_01038|ECOR49_01038	NZ_QOYM01000002.1	97.091	1272	37	0	1	1272	157624	156353	0.0	2145	573866	NZ_QOYM01000002.1
ECOR4_PROKKA|ECOR4_03963:-:ECOR4_03963|ECOR4_03963	NZ_QOYM01000002.1	97.170	1272	36	0	1	1272	157624	156353	0.0	2150	573866	NZ_QOYM01000002.1
ECOR50_PROKKA|ECOR50_01551:-:ECOR50_01551|ECOR50_01551	NZ_QOYM01000002.1	97.091	1272	37	0	1	1272	157624	156353	0.0	2145	573866	NZ_QOYM01000002.1
