qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_8857:corA:HGG68_RS21735|2b84de5415a5ca9477dbe99a5510e5bf_8857	NZ_QOYG01000019.1	98.212	951	17	0	1	951	54682	55632	0.0	1663	80676	NZ_QOYG01000019.1
ECOR11_PROKKA|ECOR11_01733:corA:ECOR11_01733|ECOR11_01733	NZ_QOYG01000019.1	97.056	951	28	0	1	951	54682	55632	0.0	1602	80676	NZ_QOYG01000019.1
ECOR16_PROKKA|ECOR16_02265:corA:ECOR16_02265|ECOR16_02265	NZ_QOYG01000019.1	97.371	951	25	0	1	951	54682	55632	0.0	1618	80676	NZ_QOYG01000019.1
ECOR23_PROKKA|ECOR23_00581:-:ECOR23_00581|ECOR23_00581	NZ_QOYG01000019.1	98.212	951	17	0	1	951	54682	55632	0.0	1663	80676	NZ_QOYG01000019.1
ECOR44_PROKKA|ECOR44_01885:-:ECOR44_01885|ECOR44_01885	NZ_QOYG01000019.1	100.000	951	0	0	1	951	54682	55632	0.0	1757	80676	NZ_QOYG01000019.1
ECOR48_PROKKA|ECOR48_02091:-:ECOR48_02091|ECOR48_02091	NZ_QOYG01000019.1	98.423	951	15	0	1	951	54682	55632	0.0	1674	80676	NZ_QOYG01000019.1
ECOR49_PROKKA|ECOR49_01849:-:ECOR49_01849|ECOR49_01849	NZ_QOYG01000019.1	98.212	951	17	0	1	951	54682	55632	0.0	1663	80676	NZ_QOYG01000019.1
ECOR4_PROKKA|ECOR4_00584:-:ECOR4_00584|ECOR4_00584	NZ_QOYG01000019.1	97.371	951	25	0	1	951	54682	55632	0.0	1618	80676	NZ_QOYG01000019.1
ECOR50_PROKKA|ECOR50_03549:-:ECOR50_03549|ECOR50_03549	NZ_QOYG01000019.1	98.212	951	17	0	1	951	54682	55632	0.0	1663	80676	NZ_QOYG01000019.1
ECOR51_PROKKA|ECOR51_01090:-:ECOR51_01090|ECOR51_01090	NZ_QOYG01000019.1	98.212	951	17	0	1	951	54682	55632	0.0	1663	80676	NZ_QOYG01000019.1
ECOR52_PROKKA|ECOR52_00632:-:ECOR52_00632|ECOR52_00632	NZ_QOYG01000019.1	98.212	951	17	0	1	951	54682	55632	0.0	1663	80676	NZ_QOYG01000019.1
ECOR53_PROKKA|ECOR53_00891:-:ECOR53_00891|ECOR53_00891	NZ_QOYG01000019.1	97.687	951	22	0	1	951	54682	55632	0.0	1635	80676	NZ_QOYG01000019.1
ECOR54_PROKKA|ECOR54_00828:-:ECOR54_00828|ECOR54_00828	NZ_QOYG01000019.1	98.212	951	17	0	1	951	54682	55632	0.0	1663	80676	NZ_QOYG01000019.1
ECOR55_PROKKA|ECOR55_00665:-:ECOR55_00665|ECOR55_00665	NZ_QOYG01000019.1	98.212	951	17	0	1	951	54682	55632	0.0	1663	80676	NZ_QOYG01000019.1
ECOR56_PROKKA|ECOR56_00981:-:ECOR56_00981|ECOR56_00981	NZ_QOYG01000019.1	98.212	951	17	0	1	951	54682	55632	0.0	1663	80676	NZ_QOYG01000019.1
ECOR60_PROKKA|ECOR60_02866:-:ECOR60_02866|ECOR60_02866	NZ_QOYG01000019.1	97.687	951	22	0	1	951	54682	55632	0.0	1635	80676	NZ_QOYG01000019.1
ECOR61_PROKKA|ECOR61_03962:-:ECOR61_03962|ECOR61_03962	NZ_QOYG01000019.1	98.212	951	17	0	1	951	54682	55632	0.0	1663	80676	NZ_QOYG01000019.1
ECOR62_PROKKA|ECOR62_01454:-:ECOR62_01454|ECOR62_01454	NZ_QOYG01000019.1	98.212	951	17	0	1	951	54682	55632	0.0	1663	80676	NZ_QOYG01000019.1
ECOR64_PROKKA|ECOR64_01865:-:ECOR64_01865|ECOR64_01865	NZ_QOYG01000019.1	98.212	951	17	0	1	951	54682	55632	0.0	1663	80676	NZ_QOYG01000019.1
ECOR66_PROKKA|ECOR66_01046:-:ECOR66_01046|ECOR66_01046	NZ_QOYG01000019.1	96.425	951	34	0	1	951	54682	55632	0.0	1568	80676	NZ_QOYG01000019.1
