qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
ECOR11_PROKKA|ECOR11_03394:astA:ECOR11_03394|ECOR11_03394	NZ_QOYG01000001.1	98.164	1035	19	0	1	1035	249105	248071	0.0	1807	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_02577:astA:ECOR14_02577|ECOR14_02577	NZ_QOYG01000001.1	97.971	1035	21	0	1	1035	249105	248071	0.0	1796	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_01241:astA:ECOR16_01241|ECOR16_01241	NZ_QOYG01000001.1	97.971	1035	21	0	1	1035	249105	248071	0.0	1796	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02315:-:ECOR23_02315|ECOR23_02315	NZ_QOYG01000001.1	97.391	1035	27	0	1	1035	249105	248071	0.0	1762	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_02717:-:ECOR44_02717|ECOR44_02717	NZ_QOYG01000001.1	97.971	1035	21	0	1	1035	249105	248071	0.0	1796	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_03953:-:ECOR48_03953|ECOR48_03953	NZ_QOYG01000001.1	98.551	1035	15	0	1	1035	249105	248071	0.0	1829	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_00696:-:ECOR49_00696|ECOR49_00696	NZ_QOYG01000001.1	99.710	1035	3	0	1	1035	249105	248071	0.0	1895	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_02946:-:ECOR4_02946|ECOR4_02946	NZ_QOYG01000001.1	97.971	1035	21	0	1	1035	249105	248071	0.0	1796	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_01485:-:ECOR50_01485|ECOR50_01485	NZ_QOYG01000001.1	99.807	1035	2	0	1	1035	249105	248071	0.0	1901	782163	NZ_QOYG01000001.1
ECOR51_PROKKA|ECOR51_02423:-:ECOR51_02423|ECOR51_02423	NZ_QOYG01000001.1	97.391	1035	27	0	1	1035	249105	248071	0.0	1762	782163	NZ_QOYG01000001.1
ECOR52_PROKKA|ECOR52_01414:-:ECOR52_01414|ECOR52_01414	NZ_QOYG01000001.1	97.391	1035	27	0	1	1035	249105	248071	0.0	1762	782163	NZ_QOYG01000001.1
ECOR53_PROKKA|ECOR53_02462:-:ECOR53_02462|ECOR53_02462	NZ_QOYG01000001.1	97.101	1035	30	0	1	1035	249105	248071	0.0	1746	782163	NZ_QOYG01000001.1
ECOR54_PROKKA|ECOR54_02173:-:ECOR54_02173|ECOR54_02173	NZ_QOYG01000001.1	97.391	1035	27	0	1	1035	249105	248071	0.0	1762	782163	NZ_QOYG01000001.1
ECOR55_PROKKA|ECOR55_03864:-:ECOR55_03864|ECOR55_03864	NZ_QOYG01000001.1	97.391	1035	27	0	1	1035	249105	248071	0.0	1762	782163	NZ_QOYG01000001.1
ECOR56_PROKKA|ECOR56_03326:-:ECOR56_03326|ECOR56_03326	NZ_QOYG01000001.1	97.252	946	26	0	1	946	249105	248160	0.0	1604	782163	NZ_QOYG01000001.1
ECOR60_PROKKA|ECOR60_03474:-:ECOR60_03474|ECOR60_03474	NZ_QOYG01000001.1	97.101	1035	30	0	1	1035	249105	248071	0.0	1746	782163	NZ_QOYG01000001.1
ECOR61_PROKKA|ECOR61_00988:-:ECOR61_00988|ECOR61_00988	NZ_QOYG01000001.1	97.198	1035	29	0	1	1035	249105	248071	0.0	1751	782163	NZ_QOYG01000001.1
ECOR62_PROKKA|ECOR62_03065:-:ECOR62_03065|ECOR62_03065	NZ_QOYG01000001.1	97.198	1035	29	0	1	1035	249105	248071	0.0	1751	782163	NZ_QOYG01000001.1
ECOR64_PROKKA|ECOR64_04268:-:ECOR64_04268|ECOR64_04268	NZ_QOYG01000001.1	96.522	1035	36	0	1	1035	249105	248071	0.0	1712	782163	NZ_QOYG01000001.1
ECOR66_PROKKA|ECOR66_03437:-:ECOR66_03437|ECOR66_03437	NZ_QOYG01000001.1	97.295	1035	28	0	1	1035	249105	248071	0.0	1757	782163	NZ_QOYG01000001.1
ECOR6_PROKKA|ECOR6_02462:-:ECOR6_02462|ECOR6_02462	NZ_QOYG01000001.1	97.971	1035	21	0	1	1035	249105	248071	0.0	1796	782163	NZ_QOYG01000001.1
ECOR8_PROKKA|ECOR8_01343:-:ECOR8_01343|ECOR8_01343	NZ_QOYG01000001.1	98.164	1035	19	0	1	1035	249105	248071	0.0	1807	782163	NZ_QOYG01000001.1
KE21|HKKLMMAK_00408:astA:HKKLMMAK_00408|HKKLMMAK_00408	NZ_QOYG01000001.1	97.295	1035	28	0	1	1035	249105	248071	0.0	1757	782163	NZ_QOYG01000001.1
KE24|FLBELDDJ_03992:astA:FLBELDDJ_03992|FLBELDDJ_03992	NZ_QOYG01000001.1	97.101	1035	30	0	1	1035	249105	248071	0.0	1746	782163	NZ_QOYG01000001.1
KE25|NKLEEENC_04851:astA:NKLEEENC_04851|NKLEEENC_04851	NZ_QOYG01000001.1	97.295	1035	28	0	1	1035	249105	248071	0.0	1757	782163	NZ_QOYG01000001.1
KE26|AFHKKBMH_02462:astA:AFHKKBMH_02462|AFHKKBMH_02462	NZ_QOYG01000001.1	97.198	1035	29	0	1	1035	249105	248071	0.0	1751	782163	NZ_QOYG01000001.1
KE4|NBLHDMPF_01740:astA:NBLHDMPF_01740|NBLHDMPF_01740	NZ_QOYG01000001.1	97.198	1035	29	0	1	1035	249105	248071	0.0	1751	782163	NZ_QOYG01000001.1
KE40|EEHHMH_13840:astA:EEHHMH_13840|EEHHMH_13840	NZ_QOYG01000001.1	100.000	1035	0	0	1	1035	249105	248071	0.0	1912	782163	NZ_QOYG01000001.1
KE41|PNKGMM_15285:astA:PNKGMM_15285|PNKGMM_15285	NZ_QOYG01000001.1	96.522	1035	36	0	1	1035	249105	248071	0.0	1712	782163	NZ_QOYG01000001.1
KE46|DADKIG_10390:astA:DADKIG_10390|DADKIG_10390	NZ_QOYG01000001.1	97.778	1035	23	0	1	1035	249105	248071	0.0	1784	782163	NZ_QOYG01000001.1
KE47|NHFOKF_22710:astA:NHFOKF_22710|NHFOKF_22710	NZ_QOYG01000001.1	100.000	1035	0	0	1	1035	249105	248071	0.0	1912	782163	NZ_QOYG01000001.1
KE48_PROKKA|KE48_04080:astA:KE48_04080|KE48_04080	NZ_QOYG01000001.1	97.391	1035	27	0	1	1035	249105	248071	0.0	1762	782163	NZ_QOYG01000001.1
KE50|OOFCCB_17040:astA:OOFCCB_17040|OOFCCB_17040	NZ_QOYG01000001.1	97.198	1035	29	0	1	1035	249105	248071	0.0	1751	782163	NZ_QOYG01000001.1
KE51|BHDFJC_15435:astA:BHDFJC_15435|BHDFJC_15435	NZ_QOYG01000001.1	97.391	1035	27	0	1	1035	249105	248071	0.0	1762	782163	NZ_QOYG01000001.1
KE54|NBPOCE_04100:astA:NBPOCE_04100|NBPOCE_04100	NZ_QOYG01000001.1	97.295	1035	28	0	1	1035	249105	248071	0.0	1757	782163	NZ_QOYG01000001.1
KE55|HDLJKA_10515:astA:HDLJKA_10515|HDLJKA_10515	NZ_QOYG01000001.1	98.647	1035	14	0	1	1035	249105	248071	0.0	1834	782163	NZ_QOYG01000001.1
KE58|FKGHDH_10720:astA:FKGHDH_10720|FKGHDH_10720	NZ_QOYG01000001.1	98.164	1035	19	0	1	1035	249105	248071	0.0	1807	782163	NZ_QOYG01000001.1
