qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_3663:ydfJ:HGG68_RS08975|2b84de5415a5ca9477dbe99a5510e5bf_3663	NZ_QOYG01000001.1	97.149	1368	39	0	1	1368	71719	70352	0.0	2311	782163	NZ_QOYG01000001.1
ECOR11_PROKKA|ECOR11_02086:ydfJ:ECOR11_02086|ECOR11_02086	NZ_QOYG01000001.1	97.274	1284	35	0	1	1284	71635	70352	0.0	2178	782163	NZ_QOYG01000001.1
ECOR14_PROKKA|ECOR14_04442:ydfJ:ECOR14_04442|ECOR14_04442	NZ_QOYG01000001.1	97.274	1284	35	0	1	1284	71635	70352	0.0	2178	782163	NZ_QOYG01000001.1
ECOR16_PROKKA|ECOR16_03307:ydfJ:ECOR16_03307|ECOR16_03307	NZ_QOYG01000001.1	97.118	1284	37	0	1	1284	71635	70352	0.0	2167	782163	NZ_QOYG01000001.1
ECOR23_PROKKA|ECOR23_02482:-:ECOR23_02482|ECOR23_02482	NZ_QOYG01000001.1	97.149	1368	39	0	1	1368	71719	70352	0.0	2311	782163	NZ_QOYG01000001.1
ECOR44_PROKKA|ECOR44_04534:-:ECOR44_04534|ECOR44_04534	NZ_QOYG01000001.1	100.000	1368	0	0	1	1368	71719	70352	0.0	2527	782163	NZ_QOYG01000001.1
ECOR48_PROKKA|ECOR48_02533:-:ECOR48_02533|ECOR48_02533	NZ_QOYG01000001.1	99.377	1284	8	0	1	1284	71635	70352	0.0	2327	782163	NZ_QOYG01000001.1
ECOR49_PROKKA|ECOR49_02633:-:ECOR49_02633|ECOR49_02633	NZ_QOYG01000001.1	98.832	1284	15	0	1	1284	71635	70352	0.0	2289	782163	NZ_QOYG01000001.1
ECOR4_PROKKA|ECOR4_01674:-:ECOR4_01674|ECOR4_01674	NZ_QOYG01000001.1	97.352	1284	34	0	1	1284	71635	70352	0.0	2183	782163	NZ_QOYG01000001.1
ECOR50_PROKKA|ECOR50_04905:-:ECOR50_04905|ECOR50_04905	NZ_QOYG01000001.1	98.832	1284	15	0	1	1284	71635	70352	0.0	2289	782163	NZ_QOYG01000001.1
