qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_811:yahJ:HGG68_RS01980|2b84de5415a5ca9477dbe99a5510e5bf_811	NZ_QOYG01000023.1	95.806	1383	58	0	1	1383	18883	17501	0.0	2233	66849	NZ_QOYG01000023.1
ECOR11_PROKKA|ECOR11_04689:yahJ:ECOR11_04689|ECOR11_04689	NZ_QOYG01000023.1	95.662	1383	60	0	1	1383	18883	17501	0.0	2222	66849	NZ_QOYG01000023.1
ECOR14_PROKKA|ECOR14_03969:dadD:ECOR14_03969|ECOR14_03969	NZ_QOYG01000023.1	95.734	1383	59	0	1	1383	18883	17501	0.0	2228	66849	NZ_QOYG01000023.1
ECOR23_PROKKA|ECOR23_00286:-:ECOR23_00286|ECOR23_00286	NZ_QOYG01000023.1	95.806	1383	58	0	1	1383	18883	17501	0.0	2233	66849	NZ_QOYG01000023.1
ECOR44_PROKKA|ECOR44_02930:-:ECOR44_02930|ECOR44_02930	NZ_QOYG01000023.1	97.018	1375	41	0	1	1375	18883	17509	0.0	2313	66849	NZ_QOYG01000023.1
ECOR48_PROKKA|ECOR48_04112:-:ECOR48_04112|ECOR48_04112	NZ_QOYG01000023.1	97.975	1383	28	0	1	1383	18883	17501	0.0	2399	66849	NZ_QOYG01000023.1
ECOR49_PROKKA|ECOR49_00933:-:ECOR49_00933|ECOR49_00933	NZ_QOYG01000023.1	97.108	1383	40	0	1	1383	18883	17501	0.0	2333	66849	NZ_QOYG01000023.1
ECOR4_PROKKA|ECOR4_01772:-:ECOR4_01772|ECOR4_01772	NZ_QOYG01000023.1	95.517	1383	62	0	1	1383	18883	17501	0.0	2211	66849	NZ_QOYG01000023.1
ECOR50_PROKKA|ECOR50_00140:-:ECOR50_00140|ECOR50_00140	NZ_QOYG01000023.1	97.108	1383	40	0	1	1383	18883	17501	0.0	2333	66849	NZ_QOYG01000023.1
ECOR51_PROKKA|ECOR51_00530:-:ECOR51_00530|ECOR51_00530	NZ_QOYG01000023.1	95.806	1383	58	0	1	1383	18883	17501	0.0	2233	66849	NZ_QOYG01000023.1
ECOR52_PROKKA|ECOR52_00332:-:ECOR52_00332|ECOR52_00332	NZ_QOYG01000023.1	95.806	1383	58	0	1	1383	18883	17501	0.0	2233	66849	NZ_QOYG01000023.1
ECOR53_PROKKA|ECOR53_00022:-:ECOR53_00022|ECOR53_00022	NZ_QOYG01000023.1	96.240	1383	52	0	1	1383	18883	17501	0.0	2266	66849	NZ_QOYG01000023.1
ECOR54_PROKKA|ECOR54_00405:-:ECOR54_00405|ECOR54_00405	NZ_QOYG01000023.1	95.806	1383	58	0	1	1383	18883	17501	0.0	2233	66849	NZ_QOYG01000023.1
ECOR55_PROKKA|ECOR55_00391:-:ECOR55_00391|ECOR55_00391	NZ_QOYG01000023.1	95.806	1383	58	0	1	1383	18883	17501	0.0	2233	66849	NZ_QOYG01000023.1
ECOR56_PROKKA|ECOR56_00781:-:ECOR56_00781|ECOR56_00781	NZ_QOYG01000023.1	95.806	1383	58	0	1	1383	18883	17501	0.0	2233	66849	NZ_QOYG01000023.1
ECOR60_PROKKA|ECOR60_03990:-:ECOR60_03990|ECOR60_03990	NZ_QOYG01000023.1	96.240	1383	52	0	1	1383	18883	17501	0.0	2266	66849	NZ_QOYG01000023.1
ECOR61_PROKKA|ECOR61_03310:-:ECOR61_03310|ECOR61_03310	NZ_QOYG01000023.1	95.517	1383	62	0	1	1383	18883	17501	0.0	2211	66849	NZ_QOYG01000023.1
ECOR62_PROKKA|ECOR62_03612:-:ECOR62_03612|ECOR62_03612	NZ_QOYG01000023.1	95.517	1383	62	0	1	1383	18883	17501	0.0	2211	66849	NZ_QOYG01000023.1
ECOR64_PROKKA|ECOR64_03700:-:ECOR64_03700|ECOR64_03700	NZ_QOYG01000023.1	95.445	1383	63	0	1	1383	18883	17501	0.0	2206	66849	NZ_QOYG01000023.1
ECOR66_PROKKA|ECOR66_00592:-:ECOR66_00592|ECOR66_00592	NZ_QOYG01000023.1	95.228	1383	66	0	1	1383	18883	17501	0.0	2189	66849	NZ_QOYG01000023.1
ECOR6_PROKKA|ECOR6_02515:-:ECOR6_02515|ECOR6_02515	NZ_QOYG01000023.1	95.806	1383	58	0	1	1383	18883	17501	0.0	2233	66849	NZ_QOYG01000023.1
ECOR8_PROKKA|ECOR8_02872:-:ECOR8_02872|ECOR8_02872	NZ_QOYG01000023.1	95.806	1383	58	0	1	1383	18883	17501	0.0	2233	66849	NZ_QOYG01000023.1
KE21|HKKLMMAK_03886:HKKLMMAK_03886:HKKLMMAK_03886|HKKLMMAK_03886	NZ_QOYG01000023.1	96.168	1383	53	0	1	1383	18883	17501	0.0	2261	66849	NZ_QOYG01000023.1
KE24|FLBELDDJ_00548:FLBELDDJ_00548:FLBELDDJ_00548|FLBELDDJ_00548	NZ_QOYG01000023.1	96.963	1383	42	0	1	1383	18883	17501	0.0	2322	66849	NZ_QOYG01000023.1
KE25|NKLEEENC_00995:NKLEEENC_00995:NKLEEENC_00995|NKLEEENC_00995	NZ_QOYG01000023.1	95.517	1383	62	0	1	1383	18883	17501	0.0	2211	66849	NZ_QOYG01000023.1
KE26|AFHKKBMH_00971:AFHKKBMH_00971:AFHKKBMH_00971|AFHKKBMH_00971	NZ_QOYG01000023.1	96.168	1383	53	0	1	1383	18883	17501	0.0	2261	66849	NZ_QOYG01000023.1
KE4|NBLHDMPF_03374:NBLHDMPF_03374:NBLHDMPF_03374|NBLHDMPF_03374	NZ_QOYG01000023.1	96.240	1383	52	0	1	1383	18883	17501	0.0	2266	66849	NZ_QOYG01000023.1
KE40|EEHHMH_05240:yahJ:EEHHMH_05240|EEHHMH_05240	NZ_QOYG01000023.1	100.000	1383	0	0	1	1383	18883	17501	0.0	2555	66849	NZ_QOYG01000023.1
KE41|PNKGMM_22675:yahJ:PNKGMM_22675|PNKGMM_22675	NZ_QOYG01000023.1	95.445	1383	63	0	1	1383	18883	17501	0.0	2206	66849	NZ_QOYG01000023.1
KE46|DADKIG_17650:yahJ:DADKIG_17650|DADKIG_17650	NZ_QOYG01000023.1	94.866	1383	71	0	1	1383	18883	17501	0.0	2161	66849	NZ_QOYG01000023.1
KE47|NHFOKF_06355:yahJ:NHFOKF_06355|NHFOKF_06355	NZ_QOYG01000023.1	100.000	1383	0	0	1	1383	18883	17501	0.0	2555	66849	NZ_QOYG01000023.1
