qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_1864:potF:HGG68_RS04555|2b84de5415a5ca9477dbe99a5510e5bf_1864	NZ_QOYG01000008.1	94.519	1113	61	0	1	1113	98637	99749	0.0	1718	196976	NZ_QOYG01000008.1
ECOR11_PROKKA|ECOR11_03022:potF:ECOR11_03022|ECOR11_03022	NZ_QOYG01000008.1	95.418	1113	51	0	1	1113	98637	99749	0.0	1773	196976	NZ_QOYG01000008.1
ECOR14_PROKKA|ECOR14_02271:potF:ECOR14_02271|ECOR14_02271	NZ_QOYG01000008.1	94.969	1113	56	0	1	1113	98637	99749	0.0	1746	196976	NZ_QOYG01000008.1
ECOR16_PROKKA|ECOR16_01929:potF:ECOR16_01929|ECOR16_01929	NZ_QOYG01000008.1	94.429	1113	62	0	1	1113	98637	99749	0.0	1712	196976	NZ_QOYG01000008.1
ECOR23_PROKKA|ECOR23_03980:-:ECOR23_03980|ECOR23_03980	NZ_QOYG01000008.1	94.519	1113	61	0	1	1113	98637	99749	0.0	1718	196976	NZ_QOYG01000008.1
ECOR44_PROKKA|ECOR44_01506:-:ECOR44_01506|ECOR44_01506	NZ_QOYG01000008.1	98.473	1113	17	0	1	1113	98637	99749	0.0	1962	196976	NZ_QOYG01000008.1
ECOR48_PROKKA|ECOR48_03381:-:ECOR48_03381|ECOR48_03381	NZ_QOYG01000008.1	97.035	1113	33	0	1	1113	98637	99749	0.0	1873	196976	NZ_QOYG01000008.1
ECOR49_PROKKA|ECOR49_03512:-:ECOR49_03512|ECOR49_03512	NZ_QOYG01000008.1	98.473	1113	17	0	1	1113	98637	99749	0.0	1962	196976	NZ_QOYG01000008.1
ECOR4_PROKKA|ECOR4_00277:-:ECOR4_00277|ECOR4_00277	NZ_QOYG01000008.1	94.429	1113	62	0	1	1113	98637	99749	0.0	1712	196976	NZ_QOYG01000008.1
ECOR50_PROKKA|ECOR50_05206:-:ECOR50_05206|ECOR50_05206	NZ_QOYG01000008.1	98.383	1113	18	0	1	1113	98637	99749	0.0	1956	196976	NZ_QOYG01000008.1
ECOR51_PROKKA|ECOR51_03829:-:ECOR51_03829|ECOR51_03829	NZ_QOYG01000008.1	94.519	1113	61	0	1	1113	98637	99749	0.0	1718	196976	NZ_QOYG01000008.1
ECOR52_PROKKA|ECOR52_03366:-:ECOR52_03366|ECOR52_03366	NZ_QOYG01000008.1	94.519	1113	61	0	1	1113	98637	99749	0.0	1718	196976	NZ_QOYG01000008.1
ECOR53_PROKKA|ECOR53_04135:-:ECOR53_04135|ECOR53_04135	NZ_QOYG01000008.1	94.789	1113	58	0	1	1113	98637	99749	0.0	1735	196976	NZ_QOYG01000008.1
ECOR54_PROKKA|ECOR54_04099:-:ECOR54_04099|ECOR54_04099	NZ_QOYG01000008.1	94.519	1113	61	0	1	1113	98637	99749	0.0	1718	196976	NZ_QOYG01000008.1
ECOR55_PROKKA|ECOR55_02136:-:ECOR55_02136|ECOR55_02136	NZ_QOYG01000008.1	94.519	1113	61	0	1	1113	98637	99749	0.0	1718	196976	NZ_QOYG01000008.1
ECOR56_PROKKA|ECOR56_02298:-:ECOR56_02298|ECOR56_02298	NZ_QOYG01000008.1	94.519	1113	61	0	1	1113	98637	99749	0.0	1718	196976	NZ_QOYG01000008.1
ECOR60_PROKKA|ECOR60_01321:-:ECOR60_01321|ECOR60_01321	NZ_QOYG01000008.1	94.789	1113	58	0	1	1113	98637	99749	0.0	1735	196976	NZ_QOYG01000008.1
ECOR61_PROKKA|ECOR61_02836:-:ECOR61_02836|ECOR61_02836	NZ_QOYG01000008.1	94.789	1113	58	0	1	1113	98637	99749	0.0	1735	196976	NZ_QOYG01000008.1
ECOR62_PROKKA|ECOR62_03929:-:ECOR62_03929|ECOR62_03929	NZ_QOYG01000008.1	94.789	1113	58	0	1	1113	98637	99749	0.0	1735	196976	NZ_QOYG01000008.1
ECOR64_PROKKA|ECOR64_02858:-:ECOR64_02858|ECOR64_02858	NZ_QOYG01000008.1	94.609	1113	60	0	1	1113	98637	99749	0.0	1724	196976	NZ_QOYG01000008.1
ECOR66_PROKKA|ECOR66_02703:-:ECOR66_02703|ECOR66_02703	NZ_QOYG01000008.1	94.789	1113	58	0	1	1113	98637	99749	0.0	1735	196976	NZ_QOYG01000008.1
ECOR6_PROKKA|ECOR6_00843:-:ECOR6_00843|ECOR6_00843	NZ_QOYG01000008.1	95.418	1113	51	0	1	1113	98637	99749	0.0	1773	196976	NZ_QOYG01000008.1
ECOR8_PROKKA|ECOR8_01732:-:ECOR8_01732|ECOR8_01732	NZ_QOYG01000008.1	95.418	1113	51	0	1	1113	98637	99749	0.0	1773	196976	NZ_QOYG01000008.1
KE21|HKKLMMAK_04400:potF:HKKLMMAK_04400|HKKLMMAK_04400	NZ_QOYG01000008.1	94.519	1113	61	0	1	1113	98637	99749	0.0	1718	196976	NZ_QOYG01000008.1
KE25|NKLEEENC_00476:potF:NKLEEENC_00476|NKLEEENC_00476	NZ_QOYG01000008.1	94.609	1113	60	0	1	1113	98637	99749	0.0	1724	196976	NZ_QOYG01000008.1
KE26|AFHKKBMH_01486:potF:AFHKKBMH_01486|AFHKKBMH_01486	NZ_QOYG01000008.1	94.519	1113	61	0	1	1113	98637	99749	0.0	1718	196976	NZ_QOYG01000008.1
KE4|NBLHDMPF_02789:potF:NBLHDMPF_02789|NBLHDMPF_02789	NZ_QOYG01000008.1	94.789	1113	58	0	1	1113	98637	99749	0.0	1735	196976	NZ_QOYG01000008.1
KE40|EEHHMH_08680:potF:EEHHMH_08680|EEHHMH_08680	NZ_QOYG01000008.1	100.000	1113	0	0	1	1113	98637	99749	0.0	2056	196976	NZ_QOYG01000008.1
KE41|PNKGMM_20190:potF:PNKGMM_20190|PNKGMM_20190	NZ_QOYG01000008.1	94.609	1113	60	0	1	1113	98637	99749	0.0	1724	196976	NZ_QOYG01000008.1
KE46|DADKIG_14945:potF:DADKIG_14945|DADKIG_14945	NZ_QOYG01000008.1	96.137	1113	43	0	1	1113	98637	99749	0.0	1818	196976	NZ_QOYG01000008.1
KE47|NHFOKF_03000:potF:NHFOKF_03000|NHFOKF_03000	NZ_QOYG01000008.1	100.000	1113	0	0	1	1113	98637	99749	0.0	2056	196976	NZ_QOYG01000008.1
KE48_PROKKA|KE48_00435:potF:KE48_00435|KE48_00435	NZ_QOYG01000008.1	94.519	1113	61	0	1	1113	98637	99749	0.0	1718	196976	NZ_QOYG01000008.1
KE50|OOFCCB_21540:potF:OOFCCB_21540|OOFCCB_21540	NZ_QOYG01000008.1	94.519	1113	61	0	1	1113	98637	99749	0.0	1718	196976	NZ_QOYG01000008.1
KE51|BHDFJC_18305:potF:BHDFJC_18305|BHDFJC_18305	NZ_QOYG01000008.1	94.519	1113	61	0	1	1113	98637	99749	0.0	1718	196976	NZ_QOYG01000008.1
KE54|NBPOCE_25505:potF:NBPOCE_25505|NBPOCE_25505	NZ_QOYG01000008.1	94.519	1113	61	0	1	1113	98637	99749	0.0	1718	196976	NZ_QOYG01000008.1
KE55|HDLJKA_15405:potF:HDLJKA_15405|HDLJKA_15405	NZ_QOYG01000008.1	98.203	1113	20	0	1	1113	98637	99749	0.0	1945	196976	NZ_QOYG01000008.1
KE58|FKGHDH_15535:potF:FKGHDH_15535|FKGHDH_15535	NZ_QOYG01000008.1	95.418	1113	51	0	1	1113	98637	99749	0.0	1773	196976	NZ_QOYG01000008.1
LRPF007|PGOAJBJE_01123:potF:PGOAJBJE_01123|PGOAJBJE_01123	NZ_QOYG01000008.1	94.789	1113	58	0	1	1113	98637	99749	0.0	1735	196976	NZ_QOYG01000008.1
LRPF62|CPONALDP_03363:potF:CPONALDP_03363|CPONALDP_03363	NZ_QOYG01000008.1	94.609	1113	60	0	1	1113	98637	99749	0.0	1724	196976	NZ_QOYG01000008.1
MG1655|9d38f563c3a26fdef9221ebcd767f53a_1837:potF:b0854|9d38f563c3a26fdef9221ebcd767f53a_1837	NZ_QOYG01000008.1	95.418	1113	51	0	1	1113	98637	99749	0.0	1773	196976	NZ_QOYG01000008.1
UTI89|a370e86af943a50f23d4c066bcb16592_1652:potF:IFE20_RS04045|a370e86af943a50f23d4c066bcb16592_1652	NZ_QOYG01000008.1	94.789	1113	58	0	1	1113	98637	99749	0.0	1735	196976	NZ_QOYG01000008.1
W3110|a99aee7d8774ee1318b35b64abeb3eab_1780:potF:Y75_RS04450|a99aee7d8774ee1318b35b64abeb3eab_1780	NZ_QOYG01000008.1	95.418	1113	51	0	1	1113	98637	99749	0.0	1773	196976	NZ_QOYG01000008.1
