qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_4438:yodC:HGG68_RS10880|2b84de5415a5ca9477dbe99a5510e5bf_4438	NZ_CP062228.1	99.454	183	1	0	1	183	2054468	2054286	3.28e-92	333	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR11_PROKKA|ECOR11_04728:yodC:ECOR11_04728|ECOR11_04728	NZ_CP062228.1	98.361	183	3	0	1	183	2054468	2054286	7.09e-89	322	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR14_PROKKA|ECOR14_02104:-:ECOR14_02104|ECOR14_02104	NZ_CP062228.1	98.361	183	3	0	1	183	2054468	2054286	7.09e-89	322	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR16_PROKKA|ECOR16_00134:-:ECOR16_00134|ECOR16_00134	NZ_CP062228.1	98.907	183	2	0	1	183	2054468	2054286	1.52e-90	327	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR23_PROKKA|ECOR23_02114:-:ECOR23_02114|ECOR23_02114	NZ_CP062228.1	99.454	183	1	0	1	183	2054468	2054286	3.28e-92	333	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR44_PROKKA|ECOR44_02511:-:ECOR44_02511|ECOR44_02511	NZ_CP062228.1	98.361	183	3	0	1	183	2054468	2054286	7.09e-89	322	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR48_PROKKA|ECOR48_04572:-:ECOR48_04572|ECOR48_04572	NZ_CP062228.1	98.361	183	3	0	1	183	2054468	2054286	7.09e-89	322	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR49_PROKKA|ECOR49_03216:-:ECOR49_03216|ECOR49_03216	NZ_CP062228.1	98.361	183	3	0	1	183	2054468	2054286	7.09e-89	322	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR4_PROKKA|ECOR4_03262:-:ECOR4_03262|ECOR4_03262	NZ_CP062228.1	97.814	183	4	0	1	183	2054468	2054286	3.30e-87	316	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR50_PROKKA|ECOR50_01971:-:ECOR50_01971|ECOR50_01971	NZ_CP062228.1	98.361	183	3	0	1	183	2054468	2054286	7.09e-89	322	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR51_PROKKA|ECOR51_02623:-:ECOR51_02623|ECOR51_02623	NZ_CP062228.1	99.454	183	1	0	1	183	2054468	2054286	3.28e-92	333	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR52_PROKKA|ECOR52_01213:-:ECOR52_01213|ECOR52_01213	NZ_CP062228.1	99.454	183	1	0	1	183	2054468	2054286	3.28e-92	333	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR53_PROKKA|ECOR53_02675:-:ECOR53_02675|ECOR53_02675	NZ_CP062228.1	99.454	183	1	0	1	183	2054468	2054286	3.28e-92	333	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR54_PROKKA|ECOR54_02373:-:ECOR54_02373|ECOR54_02373	NZ_CP062228.1	99.454	183	1	0	1	183	2054468	2054286	3.28e-92	333	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR55_PROKKA|ECOR55_01747:-:ECOR55_01747|ECOR55_01747	NZ_CP062228.1	99.454	183	1	0	1	183	2054468	2054286	3.28e-92	333	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR56_PROKKA|ECOR56_03527:-:ECOR56_03527|ECOR56_03527	NZ_CP062228.1	99.454	183	1	0	1	183	2054468	2054286	3.28e-92	333	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR60_PROKKA|ECOR60_03276:-:ECOR60_03276|ECOR60_03276	NZ_CP062228.1	99.454	183	1	0	1	183	2054468	2054286	3.28e-92	333	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR61_PROKKA|ECOR61_01186:-:ECOR61_01186|ECOR61_01186	NZ_CP062228.1	98.361	183	3	0	1	183	2054468	2054286	7.09e-89	322	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR62_PROKKA|ECOR62_02866:-:ECOR62_02866|ECOR62_02866	NZ_CP062228.1	98.361	183	3	0	1	183	2054468	2054286	7.09e-89	322	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR64_PROKKA|ECOR64_00475:-:ECOR64_00475|ECOR64_00475	NZ_CP062228.1	99.454	183	1	0	1	183	2054468	2054286	3.28e-92	333	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR66_PROKKA|ECOR66_01737:-:ECOR66_01737|ECOR66_01737	NZ_CP062228.1	99.454	183	1	0	1	183	2054468	2054286	3.28e-92	333	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR6_PROKKA|ECOR6_04121:-:ECOR6_04121|ECOR6_04121	NZ_CP062228.1	96.175	183	7	0	1	183	2054468	2054286	3.32e-82	300	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
ECOR8_PROKKA|ECOR8_01134:-:ECOR8_01134|ECOR8_01134	NZ_CP062228.1	98.361	183	3	0	1	183	2054468	2054286	7.09e-89	322	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
KE21|HKKLMMAK_00675:HKKLMMAK_00675:HKKLMMAK_00675|HKKLMMAK_00675	NZ_CP062228.1	98.361	183	3	0	1	183	2054468	2054286	7.09e-89	322	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
KE24|FLBELDDJ_03784:FLBELDDJ_03784:FLBELDDJ_03784|FLBELDDJ_03784	NZ_CP062228.1	99.454	183	1	0	1	183	2054468	2054286	3.28e-92	333	5065741	NZ_CP062228.1 Escherichia coli strain UTI89 chromosome, complete genome
