qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_9332:yjbB:HGG68_RS22875|2b84de5415a5ca9477dbe99a5510e5bf_9332	NZ_QOYG01000018.1	96.569	1632	56	0	1	1632	69984	68353	0.0	2704	84413	NZ_QOYG01000018.1
ECOR11_PROKKA|ECOR11_00150:yjbB:ECOR11_00150|ECOR11_00150	NZ_QOYG01000018.1	96.998	1632	49	0	1	1632	69984	68353	0.0	2743	84413	NZ_QOYG01000018.1
ECOR14_PROKKA|ECOR14_00453:-:ECOR14_00453|ECOR14_00453	NZ_QOYG01000018.1	97.059	1632	48	0	1	1632	69984	68353	0.0	2748	84413	NZ_QOYG01000018.1
ECOR16_PROKKA|ECOR16_01208:-:ECOR16_01208|ECOR16_01208	NZ_QOYG01000018.1	97.243	1632	45	0	1	1632	69984	68353	0.0	2765	84413	NZ_QOYG01000018.1
ECOR23_PROKKA|ECOR23_00813:-:ECOR23_00813|ECOR23_00813	NZ_QOYG01000018.1	96.569	1632	56	0	1	1632	69984	68353	0.0	2704	84413	NZ_QOYG01000018.1
ECOR44_PROKKA|ECOR44_02773:-:ECOR44_02773|ECOR44_02773	NZ_QOYG01000018.1	97.794	1632	36	0	1	1632	69984	68353	0.0	2815	84413	NZ_QOYG01000018.1
ECOR48_PROKKA|ECOR48_04249:-:ECOR48_04249|ECOR48_04249	NZ_QOYG01000018.1	98.346	1632	27	0	1	1632	69984	68353	0.0	2865	84413	NZ_QOYG01000018.1
ECOR4_PROKKA|ECOR4_02831:-:ECOR4_02831|ECOR4_02831	NZ_QOYG01000018.1	97.059	1632	48	0	1	1632	69984	68353	0.0	2748	84413	NZ_QOYG01000018.1
ECOR50_PROKKA|ECOR50_04648:-:ECOR50_04648|ECOR50_04648	NZ_QOYG01000018.1	99.203	1632	13	0	1	1632	69984	68353	0.0	2942	84413	NZ_QOYG01000018.1
ECOR51_PROKKA|ECOR51_01251:-:ECOR51_01251|ECOR51_01251	NZ_QOYG01000018.1	96.569	1632	56	0	1	1632	69984	68353	0.0	2704	84413	NZ_QOYG01000018.1
ECOR52_PROKKA|ECOR52_00865:-:ECOR52_00865|ECOR52_00865	NZ_QOYG01000018.1	96.569	1632	56	0	1	1632	69984	68353	0.0	2704	84413	NZ_QOYG01000018.1
ECOR53_PROKKA|ECOR53_01851:-:ECOR53_01851|ECOR53_01851	NZ_QOYG01000018.1	96.630	1632	55	0	1	1632	69984	68353	0.0	2710	84413	NZ_QOYG01000018.1
ECOR54_PROKKA|ECOR54_03610:-:ECOR54_03610|ECOR54_03610	NZ_QOYG01000018.1	96.569	1632	56	0	1	1632	69984	68353	0.0	2704	84413	NZ_QOYG01000018.1
ECOR55_PROKKA|ECOR55_01038:-:ECOR55_01038|ECOR55_01038	NZ_QOYG01000018.1	96.569	1632	56	0	1	1632	69984	68353	0.0	2704	84413	NZ_QOYG01000018.1
ECOR56_PROKKA|ECOR56_01211:-:ECOR56_01211|ECOR56_01211	NZ_QOYG01000018.1	96.569	1632	56	0	1	1632	69984	68353	0.0	2704	84413	NZ_QOYG01000018.1
ECOR60_PROKKA|ECOR60_00563:-:ECOR60_00563|ECOR60_00563	NZ_QOYG01000018.1	96.630	1632	55	0	1	1632	69984	68353	0.0	2710	84413	NZ_QOYG01000018.1
ECOR61_PROKKA|ECOR61_02508:-:ECOR61_02508|ECOR61_02508	NZ_QOYG01000018.1	96.691	1632	54	0	1	1632	69984	68353	0.0	2715	84413	NZ_QOYG01000018.1
ECOR62_PROKKA|ECOR62_01343:-:ECOR62_01343|ECOR62_01343	NZ_QOYG01000018.1	96.691	1632	54	0	1	1632	69984	68353	0.0	2715	84413	NZ_QOYG01000018.1
ECOR64_PROKKA|ECOR64_01015:-:ECOR64_01015|ECOR64_01015	NZ_QOYG01000018.1	96.569	1632	56	0	1	1632	69984	68353	0.0	2704	84413	NZ_QOYG01000018.1
ECOR66_PROKKA|ECOR66_04196:-:ECOR66_04196|ECOR66_04196	NZ_QOYG01000018.1	96.691	1632	54	0	1	1632	69984	68353	0.0	2715	84413	NZ_QOYG01000018.1
ECOR6_PROKKA|ECOR6_00131:-:ECOR6_00131|ECOR6_00131	NZ_QOYG01000018.1	97.181	1632	46	0	1	1632	69984	68353	0.0	2760	84413	NZ_QOYG01000018.1
ECOR8_PROKKA|ECOR8_04602:-:ECOR8_04602|ECOR8_04602	NZ_QOYG01000018.1	97.059	1632	48	0	1	1632	69984	68353	0.0	2748	84413	NZ_QOYG01000018.1
KE21|HKKLMMAK_02985:HKKLMMAK_02985:HKKLMMAK_02985|HKKLMMAK_02985	NZ_QOYG01000018.1	96.507	1632	57	0	1	1632	69984	68353	0.0	2699	84413	NZ_QOYG01000018.1
KE24|FLBELDDJ_01540:FLBELDDJ_01540:FLBELDDJ_01540|FLBELDDJ_01540	NZ_QOYG01000018.1	96.507	1632	57	0	1	1632	69984	68353	0.0	2699	84413	NZ_QOYG01000018.1
KE25|NKLEEENC_02834:NKLEEENC_02834:NKLEEENC_02834|NKLEEENC_02834	NZ_QOYG01000018.1	96.507	1632	57	0	1	1632	69984	68353	0.0	2699	84413	NZ_QOYG01000018.1
KE26|AFHKKBMH_00151:AFHKKBMH_00151:AFHKKBMH_00151|AFHKKBMH_00151	NZ_QOYG01000018.1	96.507	1632	57	0	1	1632	69984	68353	0.0	2699	84413	NZ_QOYG01000018.1
KE4|NBLHDMPF_04370:NBLHDMPF_04370:NBLHDMPF_04370|NBLHDMPF_04370	NZ_QOYG01000018.1	96.630	1632	55	0	1	1632	69984	68353	0.0	2710	84413	NZ_QOYG01000018.1
KE40|EEHHMH_00940:yjbB:EEHHMH_00940|EEHHMH_00940	NZ_QOYG01000018.1	100.000	1632	0	0	1	1632	69984	68353	0.0	3014	84413	NZ_QOYG01000018.1
KE41|PNKGMM_01870:yjbB:PNKGMM_01870|PNKGMM_01870	NZ_QOYG01000018.1	96.569	1632	56	0	1	1632	69984	68353	0.0	2704	84413	NZ_QOYG01000018.1
KE46|DADKIG_21870:yjbB:DADKIG_21870|DADKIG_21870	NZ_QOYG01000018.1	96.998	1632	49	0	1	1632	69984	68353	0.0	2743	84413	NZ_QOYG01000018.1
KE47|NHFOKF_10385:yjbB:NHFOKF_10385|NHFOKF_10385	NZ_QOYG01000018.1	100.000	1632	0	0	1	1632	69984	68353	0.0	3014	84413	NZ_QOYG01000018.1
KE48_PROKKA|KE48_03064:-:KE48_03064|KE48_03064	NZ_QOYG01000018.1	96.569	1632	56	0	1	1632	69984	68353	0.0	2704	84413	NZ_QOYG01000018.1
KE50|OOFCCB_03995:yjbB:OOFCCB_03995|OOFCCB_03995	NZ_QOYG01000018.1	96.507	1632	57	0	1	1632	69984	68353	0.0	2699	84413	NZ_QOYG01000018.1
KE51|BHDFJC_25880:yjbB:BHDFJC_25880|BHDFJC_25880	NZ_QOYG01000018.1	96.569	1632	56	0	1	1632	69984	68353	0.0	2704	84413	NZ_QOYG01000018.1
KE54|NBPOCE_17510:yjbB:NBPOCE_17510|NBPOCE_17510	NZ_QOYG01000018.1	96.507	1632	57	0	1	1632	69984	68353	0.0	2699	84413	NZ_QOYG01000018.1
KE55|HDLJKA_21785:yjbB:HDLJKA_21785|HDLJKA_21785	NZ_QOYG01000018.1	99.081	1632	15	0	1	1632	69984	68353	0.0	2931	84413	NZ_QOYG01000018.1
KE58|FKGHDH_22080:yjbB:FKGHDH_22080|FKGHDH_22080	NZ_QOYG01000018.1	97.059	1632	48	0	1	1632	69984	68353	0.0	2748	84413	NZ_QOYG01000018.1
LRPF007|PGOAJBJE_04196:PGOAJBJE_04196:PGOAJBJE_04196|PGOAJBJE_04196	NZ_QOYG01000018.1	96.630	1632	55	0	1	1632	69984	68353	0.0	2710	84413	NZ_QOYG01000018.1
