qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	slen	stitle
CFT073|2b84de5415a5ca9477dbe99a5510e5bf_5459:fryC:HGG68_RS13415|2b84de5415a5ca9477dbe99a5510e5bf_5459	NZ_QOYG01000007.1	96.234	1248	47	0	1	1248	109365	110612	0.0	2045	205005	NZ_QOYG01000007.1
ECOR11_PROKKA|ECOR11_01435:fryC:ECOR11_01435|ECOR11_01435	NZ_QOYG01000007.1	97.035	1248	37	0	1	1248	109365	110612	0.0	2100	205005	NZ_QOYG01000007.1
ECOR14_PROKKA|ECOR14_01228:fryC:ECOR14_01228|ECOR14_01228	NZ_QOYG01000007.1	97.035	1248	37	0	1	1248	109365	110612	0.0	2100	205005	NZ_QOYG01000007.1
ECOR16_PROKKA|ECOR16_03125:fryC:ECOR16_03125|ECOR16_03125	NZ_QOYG01000007.1	96.715	1248	41	0	1	1248	109365	110612	0.0	2078	205005	NZ_QOYG01000007.1
ECOR23_PROKKA|ECOR23_01291:-:ECOR23_01291|ECOR23_01291	NZ_QOYG01000007.1	96.234	1248	47	0	1	1248	109365	110612	0.0	2045	205005	NZ_QOYG01000007.1
ECOR44_PROKKA|ECOR44_02832:-:ECOR44_02832|ECOR44_02832	NZ_QOYG01000007.1	98.478	1248	19	0	1	1248	109365	110612	0.0	2200	205005	NZ_QOYG01000007.1
ECOR49_PROKKA|ECOR49_04088:-:ECOR49_04088|ECOR49_04088	NZ_QOYG01000007.1	99.439	1248	7	0	1	1248	109365	110612	0.0	2266	205005	NZ_QOYG01000007.1
ECOR4_PROKKA|ECOR4_03339:-:ECOR4_03339|ECOR4_03339	NZ_QOYG01000007.1	97.816	641	14	0	1	641	109365	110005	0.0	1107	205005	NZ_QOYG01000007.1
ECOR50_PROKKA|ECOR50_02363:-:ECOR50_02363|ECOR50_02363	NZ_QOYG01000007.1	99.439	1248	7	0	1	1248	109365	110612	0.0	2266	205005	NZ_QOYG01000007.1
ECOR51_PROKKA|ECOR51_01664:-:ECOR51_01664|ECOR51_01664	NZ_QOYG01000007.1	96.234	1248	47	0	1	1248	109365	110612	0.0	2045	205005	NZ_QOYG01000007.1
ECOR52_PROKKA|ECOR52_02209:-:ECOR52_02209|ECOR52_02209	NZ_QOYG01000007.1	96.234	1248	47	0	1	1248	109365	110612	0.0	2045	205005	NZ_QOYG01000007.1
ECOR53_PROKKA|ECOR53_01423:-:ECOR53_01423|ECOR53_01423	NZ_QOYG01000007.1	96.795	1248	40	0	1	1248	109365	110612	0.0	2084	205005	NZ_QOYG01000007.1
ECOR54_PROKKA|ECOR54_01488:-:ECOR54_01488|ECOR54_01488	NZ_QOYG01000007.1	96.234	1248	47	0	1	1248	109365	110612	0.0	2045	205005	NZ_QOYG01000007.1
ECOR55_PROKKA|ECOR55_01269:-:ECOR55_01269|ECOR55_01269	NZ_QOYG01000007.1	96.234	1248	47	0	1	1248	109365	110612	0.0	2045	205005	NZ_QOYG01000007.1
ECOR56_PROKKA|ECOR56_01236:-:ECOR56_01236|ECOR56_01236	NZ_QOYG01000007.1	96.234	1248	47	0	1	1248	109365	110612	0.0	2045	205005	NZ_QOYG01000007.1
ECOR60_PROKKA|ECOR60_02398:-:ECOR60_02398|ECOR60_02398	NZ_QOYG01000007.1	96.795	1248	40	0	1	1248	109365	110612	0.0	2084	205005	NZ_QOYG01000007.1
ECOR61_PROKKA|ECOR61_01640:-:ECOR61_01640|ECOR61_01640	NZ_QOYG01000007.1	96.795	1248	40	0	1	1248	109365	110612	0.0	2084	205005	NZ_QOYG01000007.1
ECOR62_PROKKA|ECOR62_01957:-:ECOR62_01957|ECOR62_01957	NZ_QOYG01000007.1	96.795	1248	40	0	1	1248	109365	110612	0.0	2084	205005	NZ_QOYG01000007.1
ECOR64_PROKKA|ECOR64_01289:-:ECOR64_01289|ECOR64_01289	NZ_QOYG01000007.1	96.715	1248	41	0	1	1248	109365	110612	0.0	2078	205005	NZ_QOYG01000007.1
ECOR66_PROKKA|ECOR66_01296:-:ECOR66_01296|ECOR66_01296	NZ_QOYG01000007.1	97.035	1248	37	0	1	1248	109365	110612	0.0	2100	205005	NZ_QOYG01000007.1
ECOR6_PROKKA|ECOR6_03550:-:ECOR6_03550|ECOR6_03550	NZ_QOYG01000007.1	96.955	1248	38	0	1	1248	109365	110612	0.0	2095	205005	NZ_QOYG01000007.1
ECOR8_PROKKA|ECOR8_02491:-:ECOR8_02491|ECOR8_02491	NZ_QOYG01000007.1	97.035	1248	37	0	1	1248	109365	110612	0.0	2100	205005	NZ_QOYG01000007.1
KE21|HKKLMMAK_01156:fryC:HKKLMMAK_01156|HKKLMMAK_01156	NZ_QOYG01000007.1	97.196	1248	35	0	1	1248	109365	110612	0.0	2111	205005	NZ_QOYG01000007.1
KE24|FLBELDDJ_03323:fryC:FLBELDDJ_03323|FLBELDDJ_03323	NZ_QOYG01000007.1	96.394	1248	45	0	1	1248	109365	110612	0.0	2056	205005	NZ_QOYG01000007.1
KE25|NKLEEENC_03808:fryC:NKLEEENC_03808|NKLEEENC_03808	NZ_QOYG01000007.1	97.115	1248	36	0	1	1248	109365	110612	0.0	2106	205005	NZ_QOYG01000007.1
KE26|AFHKKBMH_03203:fryC:AFHKKBMH_03203|AFHKKBMH_03203	NZ_QOYG01000007.1	97.196	1248	35	0	1	1248	109365	110612	0.0	2111	205005	NZ_QOYG01000007.1
KE4|NBLHDMPF_00992:fryC:NBLHDMPF_00992|NBLHDMPF_00992	NZ_QOYG01000007.1	96.795	1248	40	0	1	1248	109365	110612	0.0	2084	205005	NZ_QOYG01000007.1
KE40|EEHHMH_17750:fryC:EEHHMH_17750|EEHHMH_17750	NZ_QOYG01000007.1	97.436	1248	32	0	1	1248	109365	110612	0.0	2128	205005	NZ_QOYG01000007.1
KE41|PNKGMM_11690:fryC:PNKGMM_11690|PNKGMM_11690	NZ_QOYG01000007.1	96.715	1248	41	0	1	1248	109365	110612	0.0	2078	205005	NZ_QOYG01000007.1
KE46|DADKIG_07135:fryC:DADKIG_07135|DADKIG_07135	NZ_QOYG01000007.1	97.196	1248	35	0	1	1248	109365	110612	0.0	2111	205005	NZ_QOYG01000007.1
KE47|NHFOKF_19300:fryC:NHFOKF_19300|NHFOKF_19300	NZ_QOYG01000007.1	97.436	1248	32	0	1	1248	109365	110612	0.0	2128	205005	NZ_QOYG01000007.1
